8f9d59e79638d5fe3a88203756f394dffd68b97345b8372e0f10677e16ac9a9a,b695f91079be4e65e5b8fce65e6c8d49ef3196337b603106ad9bdff115279c75,e820fae8548a456be93514ca23d6d03372ce36d1f516fb895d6a4b06d9e60771,89929fe87e4380abf63c8c0503befa156ba969758ff8ec1a3b11df051a99627b,d108f2a67d235b669b144a5aa850da8709a42df8c2b615b2aa427008631e9ae3,1de25ea212e1793a10c6a34d814a52c351c077e426978e564c1cc8800e1b7ba5,a94bbfb09c2641d5096ab451c6f41c7b55583fc10870d23800632378b95b07a8,1fa2abd9042f6a766f5af46b41f5f64b7407f577b1fdc26a7283803936a0a57d,ea72160372f6aeef29f895b0572d7bbf1775e11ce9d6ca4904bc58f9e18a9c68,0922989bbc7526a607289ca5d8a79f635e4a279266e5ad6ffcf8ed5587337cef,f4c047383930f84368c2b1f90f67bc94863ae525e36cdbe8958cecab3fcf61fd,181142540301063996b1a443b53ff33aaf584bf7d1ab3aada68e3db3e188fc92,6cce88911bf683b7f2422240d54938e102637677884a558ce3c3b6bed84e478f,567a3b576184633ff5e2ec60787bd39ef1aba04d629b73220169b45171dbf028,f901a30f791b3565b88cca65aae7c61620bc0809828f56d184986866cd961c45,cc0fc9ab04329f34b6b8c4f54b4f8ce24eed0272a73b70bf1169ed7b77184ad4,acdfd9b055280adccc27384514461ca53559d3dc60d82b85604d0dc6bc135bdb,713392d2631b73eedfc284f0e5df3105f6d282ffedb13fed59b3cbfec52f8711
"1","91002","8","5","5","0","2","22003","150000","94002","0","150","20003","0","20","12","1","2"
"6","91002","8","2","9","0","2","22003","100000","94002","0","145","20003","0","15","12","2","2"
"10","91002","8","5","19","0","2","22002","80000","94002","0","140","20003","0","11","12","3","2"
"20","91002","8","5","29","0","2","22002","80000","94002","0","130","20003","0","10","12","4","2"
"30","91002","8","4","39","0","2","22002","70000","94002","0","120","20003","0","9","12","5","2"
"40","91002","8","4","49","0","2","22002","70000","94002","0","110","20003","0","8","12","6","2"
"50","91002","8","3","99","0","2","22002","60000","94002","0","100","20003","0","7","12","7","2"
"100","91002","8","2","499","0","2","22002","40000","94002","0","80","20003","0","2","12","8","2"
"500","91002","8","1","999","0","2","22002","20000","94002","0","50","20002","0","7","12","9","2"
"1000","91002","8","3","4999","0","2","22001","16000","94002","0","20","20002","0","4","12","10","2"
"5000","91002","8","2","9999","0","2","22001","9000","94002","0","15","20002","0","3","12","11","2"
"10000","91002","8","1","11999","0","2","22001","4000","94002","0","10","20001","0","8","12","12","2"
"12000","91002","8","1","13999","0","2","22001","3000","94002","0","5","20001","0","7","12","13","2"
"14000","91002","8","1","14999","0","2","22001","2000","94002","0","4","20001","0","6","12","14","2"
"15000","91002","8","1","30000","0","2","22001","1800","94002","0","3","20001","0","5","12","15","2"
