8b0ec6de6b53e0863c6b1260724f34896da329c43226a7bee9159d1aaac6a492,efce1d767a0d629d1ba2a42034a221c4ccdadb391f0c4f92baa0786fdbf5388e,3d7dc7d55a4c7509050d9b23e275973558fc463bb27d6eaf23ecfe8633109343,50696fae5481d4c372ec9e1da52bc344a3bbcd58b58a2c466bc3cf7e0ca209cd,e9c62f2d5a5a0d6e625d708816a62138c532b08dd27b7bd148d20c29adf1713b,83d575c01e6fb8c0ddfe462624c93cde6579fa4732109f8c3d39c9fb19990768,994933a8f6cef03505f22c720114a6da8de55442542aba6b3e3fe2633748cba2
"料理入手イベント","0","3","0","0","1","1"
"ダイス入手イベント1","0","1","0","0","2","2"
"ダイス入手イベント2","0","2","0","0","3","2"
"ターン数カウントスキップ","1","0","0","3","4","3"
"マイル+100%","0","100","1","2","5","4"
"ミニゲームマイル+100%","0","100","1","2","6","5"
"ショップ割引イベント","0","300","1","3","7","6"
"ターン数カウントスキップ1","2","0","0","3","98001","3"
"ターン数カウントスキップ1","1","0","0","3","98011","3"
"ターン数カウントスキップ2","2","0","0","3","98012","3"
