7d865112bfe7530f4dbd5d495970b3c67cd546330cf85bc3bb5dd444a31947ef,ec50f1022498b909de63aaadd110911098bc3480cb357d9e25704a44221a3f6f,42a0ba0a9d928bc474626b3c756616119d4b37df4805670401f740b669396dd4,88a324d16c329f5d8d5affcce0d0960643ac0175fe76b5baf8c9f7167f710f6d,a27f5ef2aeb018952bc27f9e1c211e85a86f5333c444946ca0130b0a81b7f4d4
"803100201","0","3001","1","3"
"803100202","0","3001","2","3"
"803100203","0","3001","3","3"
"803100204","0","3002","1","3"
"803100205","0","3002","2","3"
"803100206","0","3002","3","3"
"803100207","0","3003","1","3"
"803100208","0","3003","2","3"
"803100209","0","3003","3","3"
"803100210","0","3004","1","3"
"803100211","0","3004","2","3"
"803100212","0","3004","3","3"
"803100213","0","3005","1","3"
"803100214","0","3005","2","3"
"803100215","0","3005","3","3"
"803100216","0","3006","1","3"
"803100217","0","3006","2","3"
"803100218","0","3006","3","3"
"803100219","0","3007","1","3"
"803100220","0","3007","2","3"
"803100221","0","3007","3","3"
