42edb19bf10120e5edb0a9f5751f2c82ad3ebd4ada003d03c3030b859c5da1ec,cc00202084df417a3f4e26c6533d3fdddede57a60635a726a557b810a400ac10,d9fa6a754c1886697c60db154eea5e0f0f730432dc628a029d6f8152620e1807
"114601","1","1"
"114701","2","2"
"115601","3","3"
"115801","4","5"
"116801","5","6"
"117401","6","7"
"117801","7","8"
"119201","8","9"
"120801","9","10"
"121201","10","12"
"122101","11","13"
"122401","12","14"
"122801","13","15"
"123501","14","16"
"124101","15","17"
"124701","16","20"
"124901","17","21"
"125701","18","22"
"126701","19","24"
"127001","20","25"
"128301","21","27"
"128801","22","28"
"105801","23","29"
"105901","24","30"
"106001","25","31"
"106401","26","32"
