df1d5088ebe0c7476b66c793a1608da74ef53236b021379446dd2d374b9d9de3,417cc3146bb56077bcc41c926018260986f3b958adb47ff1a9ee78251206ce2f,5905ece43309e7761f3db25440e096446f986b9ea3f85f866a2eb6bfb7990d13,1a51a32b2d87b60ad5f8a0ce70e606af50419d800419893dfb2262c70e763b39,0609d2aba723b8a371783b9ad72f5f3a9a88f92bd3bb4247e9c677f54cf13384,defc9e5a1315920b7dc51d570efea9fec86c79eeda5b400654d62d8f8a9c2251
"#76C5FD","#3F75C7","1","1","#2B5BAA","1"
"#FEAC7B","#BA5E36","3","2","#AA552B","2"
"#B3C0DF","#616593","6","4","#64737E","3"
"#FFD200","#CC8200","10","7","#A37B10","4"
"#f374ff","#95289f","17","11","#7b318a","5"
"#ff5c77","#CE0030","20","18","#a60134","6"
"#2db075","#31635c","23","21","#2c824e","7"
"#ffae00","#cc2200","27","24","#b6401f","8"
"#6EB6C4","#027FE9","31","28","#0082E4","9"
"#ffb193","#f2523d","39","32","#ea6363","10"
"#c0d400","#606820","50","40","#8c941a","11"
