ef567769c2d9fd174150458b6a436eb6f8d10143660e38e1ae494b3c9b51ae9d,3c4b590903226f2932d877e3eeef5973b4ae079c1c3ec8f02f38d6b6fed59990,171460c23e2626b3e8c8bef4400c19ae2e2858631cc1953770a0ea7f0ea05f5d,f3658180bb03b80dd59942dce268315b68a069a34304a89c65305e6adf5954ad,5f57b8722870972790a579827c9091715ac0489fa0ad419d162dff38b3e51e7c,c507d9a4bc501b067185817f410f861142de51d6c0d1265c01d3abbef5c59721,8665f9e1b2b33e472cc0d25d0c492cf238082a8ada75d7b97815b5ddae08e18d
"1000101","ふっふっふ、これでカヤぴぃとボスを見返してやるです！","vo_minigame_1004_top_1_000","1","vo_minigame_1004","2","10001"
"1000201","しりとりでの戦い、お兄さんにも手伝ってもらうです","vo_minigame_1004_top_1_003","1","vo_minigame_1004","2","10002"
"1000301","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","vo_minigame_1004_top_1_004","2","vo_minigame_1004","1","10003"
"1000401","石板でしりとりか……イノリのヤツおもしろいこと考えるな","vo_minigame_1004_top_1_005","2","vo_minigame_1004","1","10004"
"1000501","しりとりだろうがなんだろうが返り討ちにしてやるぜ","vo_minigame_1004_top_1_006","2","vo_minigame_1004","1","10005"
"1000601","ぐもも……（オデ、ハラヘッタ）","vo_minigame_1004_top_1_007","3","vo_minigame_1004","2","10006"
"1000701","ぐもももも（シリトリ タノシイ）","vo_minigame_1004_top_1_008","3","vo_minigame_1004","2","10007"
"1000801","ぐもももも！（イノリ イイヤツ）","vo_minigame_1004_top_1_009","3","vo_minigame_1004","2","10008"
"1000901","カヤぴぃ相手でも手加減しないです","vo_minigame_1004_top_2_010","1","vo_minigame_1004","2","10009"
"1000902","上等だ！やるからには本気で来いよな","vo_minigame_1004_top_2_011","2","vo_minigame_1004","1","10009"
"1001001","カヤぴぃ、謝るなら今のうちです","vo_minigame_1004_top_2_012","1","vo_minigame_1004","2","10010"
"1001002","イノリこそ泣きを入れるなら今のうちだぜ？","vo_minigame_1004_top_2_013","2","vo_minigame_1004","1","10010"
"1001101","カヤぴぃ、これからは知性の時代ですよ？","vo_minigame_1004_top_2_014","1","vo_minigame_1004","2","10011"
"1001102","待て！オレがバカみたいにいうな！！","vo_minigame_1004_top_2_015","2","vo_minigame_1004","1","10011"
"1001201","さあ、あたしたちの力を見せてやるです","vo_minigame_1004_top_2_016","1","vo_minigame_1004","1","10012"
"1001202","ぐも！（マカセロ！）","vo_minigame_1004_top_2_017","3","vo_minigame_1004","2","10012"
"1001301","よしよし、いいですようまくできたらチョコをあげるです！","vo_minigame_1004_top_2_018","1","vo_minigame_1004","1","10013"
"1001302","ぐも！（オデ チョコスキ）","vo_minigame_1004_top_2_019","3","vo_minigame_1004","2","10013"
"1001401","なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004_top_2_023","2","vo_minigame_1004","1","10014"
"1001402","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004_top_2_024","1","vo_minigame_1004","2","10014"
"1001501","いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004_top_2_025","2","vo_minigame_1004","1","10015"
"1001502","望むところです手加減はなしですよ","vo_minigame_1004_top_2_026","1","vo_minigame_1004","2","10015"
"1001601","へっ、なかなかやるじゃねえか","vo_minigame_1004_top_2_027","2","vo_minigame_1004","1","10016"
"1001602","カヤぴぃも思ったよりやるですね！","vo_minigame_1004_top_2_028","1","vo_minigame_1004","2","10016"
"1001701","お～い、ドラゴンもどき？","vo_minigame_1004_top_2_029","2","vo_minigame_1004","1","10017"
"1001702","ぐもっ！？（ヒッ！）","vo_minigame_1004_top_2_030","3","vo_minigame_1004","2","10017"
"1001801","いやあ、あんときは悪かったなはっはっは","vo_minigame_1004_top_2_031","2","vo_minigame_1004","1","10018"
"1001802","ぐももも……（かやピィ コワカッタ）","vo_minigame_1004_top_2_032","3","vo_minigame_1004","2","10018"
"1001901","お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004_top_2_033","2","vo_minigame_1004","1","10019"
"1001902","ぐも……（オマエガ イウカ）","vo_minigame_1004_top_2_034","3","vo_minigame_1004","2","10019"
"1002001","ぐも……（ハラヘッタ チョコホシイ）","vo_minigame_1004_top_2_044","3","vo_minigame_1004","2","10020"
"1002002","なんだ？眠いのか？","vo_minigame_1004_top_2_045","2","vo_minigame_1004","1","10020"
"1002101","ぐもも（コイツ……キケン）","vo_minigame_1004_top_2_046","3","vo_minigame_1004","2","10021"
"1002102","うん？　なんだ？オレの舎弟にでもなりたいのか？","vo_minigame_1004_top_2_047","2","vo_minigame_1004","1","10021"
"1002201","ぐも…（かやピィノウキン）","vo_minigame_1004_top_2_048","3","vo_minigame_1004","2","10022"
"1002202","おい、今失礼なこと考えてるだろ？","vo_minigame_1004_top_2_049","2","vo_minigame_1004","1","10022"
"1002301","なあ、これいつまで続けるんだ？","vo_minigame_1004_top_3_058","2","vo_minigame_1004","1","10023"
"1002302","カヤぴぃが降参するまでです！","vo_minigame_1004_top_3_059","1","vo_minigame_1004","2","10023"
"1002303","ぐもも！（コウサンシロ！）","vo_minigame_1004_top_3_060","3","vo_minigame_1004","2","10023"
"1002401","ぐも！（イノリ チョコホシイ）","vo_minigame_1004_top_3_065","3","vo_minigame_1004","2","10024"
"1002402","しょうがないですね、食べ過ぎはダメですよ","vo_minigame_1004_top_3_066","1","vo_minigame_1004","1","10024"
"1002403","土産のチョコ、そうとう気に入ったみたいだな","vo_minigame_1004_top_3_067","2","vo_minigame_1004","1","10024"
"1002501","ぐも！（かやピィニハ マケナイ！）","vo_minigame_1004_top_3_068","3","vo_minigame_1004","2","10025"
"1002502","お？なんだ？腹でも減ってるのか？","vo_minigame_1004_top_3_069","2","vo_minigame_1004","1","10025"
"1002503","……全然話が通じてないです","vo_minigame_1004_top_3_070","1","vo_minigame_1004","2","10025"
