bf758f0e6df55026a6d61c552543b116525ca4b85ce218052237557c6df1beb1,20ae1bff2297ea87cc1dc8d20cebbea52ec0b128972f1947f2ed107086d22a3d,b752acf48e15fbd5e7bd91452afd2084db242eeac04c1ccbf8b59704936a22b0
"106101","通常時","装備中"
"106701","通常時","特殊スキル"
"106801","通常時","権能解放中"
"106901","通常時","特殊スキル"
"115801","通常時","変身中"
"116401","通常時","特殊スキル"
"118201","通常時","特殊スキル"
"118501","通常時","特殊スキル"
"120801","通常時","初回発動時"
"122001","通常時","特殊スキル"
"122301","通常時","共闘中"
"122701","通常時","特殊スキル"
"123001","通常時","特殊スキル"
"125001","通常時","共闘中"
"125801","通常時","特殊スキル"
"126001","通常時","特殊スキル"
"126101","通常時","特殊スキル"
"126201","通常時","特殊スキル"
"126401","通常時","【フルチャージ】中"
"126501","通常時","特殊スキル"
"129001","通常時","特殊スキル"
"129301","通常時","特殊スキル"
"129401","通常時","特殊スキル"
"129601","通常時","特殊スキル"
