6942b21f5a94d7a213e0cfbb3f330db52adfb1884469eebde0826adb5b515b2a,2b2cc9134ee5fae39aaf9cfe1ec156c31188a70e1475b15e59c716c2532eafab,62b5cfde51d52fcb465342aa2b8e3aa4c8e35362ee9f26a0f350ea0f94525f1e,d04c5451bf637482fb53f3517870dec2684c635a7c1da344949f0a4d1b2d840b,505a64b9c16a75bb6cfa0ab8bba91ec678e1faeff3fb127149355e2b070923a9,eabd2d79c0d53eb23159842dd70977d6b4b0f7bb037bb9e09613278e72ce1cd0,9c38506562a001b3e97fd5ea0771e68f0aac398a4fb6f4f3f2bc40807b881d00
"5201401","10201101","2025/01/31 12:00:00","10201","10201101","0","1"
"5201402","10201102","2025/02/06 12:00:00","10201","10201151","0","1"
"5201411","10201201","2025/01/31 12:00:00","10201","23","5201010","2"
"5201601","10201401","2025/02/06 12:00:00","10201","0","0","3"
"5202401","10202101","2025/02/28 12:00:00","10202","10202101","0","1"
"5202411","10202201","2025/02/28 12:00:00","10202","23","0","2"
"5203401","10203101","2025/03/31 12:00:00","10203","10203101","0","1"
"5203411","10203201","2025/03/31 12:00:00","10203","23","5203007","2"
"5204401","10204101","2025/04/30 12:00:00","10204","10204101","0","1"
"5204411","10204201","2025/04/30 12:00:00","10204","23","5204006","2"
"5205401","10205101","2025/05/31 12:00:00","10205","10205101","0","1"
"5205411","10205201","2025/05/31 12:00:00","10205","23","0","2"
"5206401","10206101","2025/06/30 12:00:00","10206","10206101","0","1"
"5206411","10206201","2025/06/30 12:00:00","10206","23","5206007","2"
"5207401","10207101","2025/07/31 12:00:00","10207","10207101","0","1"
"5207411","10207201","2025/07/31 12:00:00","10207","23","5207007","2"
"5208401","10208101","2025/08/31 12:00:00","10208","10208101","0","1"
"5208411","10208201","2025/08/31 12:00:00","10208","23","5208007","2"
"5209401","10209101","2025/09/30 12:00:00","10209","10209101","0","1"
"5209411","10209201","2025/09/30 12:00:00","10209","23","5209007","2"
"5210401","10210101","2025/10/31 12:00:00","10210","10210101","0","1"
"5210411","10210201","2025/10/31 12:00:00","10210","23","5210000","2"
"5211401","10211101","2025/11/30 12:00:00","10211","10211101","0","1"
"5211411","10211201","2025/11/30 12:00:00","10211","23","5211006","2"
"5212401","10212101","2025/12/31 12:00:00","10212","10212101","0","1"
"5212411","10212201","2025/12/31 12:00:00","10212","23","5212007","2"
"5213401","10213101","2026/01/31 12:00:00","10213","10213101","0","1"
"5213402","10213102","2026/02/12 12:00:00","10213","10213151","0","1"
"5213411","10213201","2026/01/31 12:00:00","10213","23","5213013","2"
"5213602","10213302","2026/02/12 12:00:00","10213","0","0","3"
