6d7e5dae6eb160d9ad7725ea1ea2c1e4efded20ed5dcabe34106fced37bbee41,92a9a0968a0844f790537e7782739f4a242b79fb4281e86f676db902f71a4368,edd230b756912ad62b9bc17fd6f76edb7549f9dff8717496a7a5621f007af82b,ecf4f5030c0576b168abb73fafbf9a6b21e096521b48c5d2066d2560ece09184,adb21d09c6329e72967a5fc2cbb411d99f8a92b09b955a2afc8147d85195bcee,c6f6f821de83e331c5da7374adf63e0bcb1f86495696200ad75de82060e44243,34530bb3a7f0ed058d8417c829ec1f2acfee15485361749b29b9f77632cb177d,f35adb4e0463ca29963b8b44a882ca097f0f2f34b9fb410c878d66854d6f728a,af658d87e5e48a6e5b0ae5d78a5f71c8da0c8a771edef09ab10ff8f0c93e555d,f618a76132abe8eb82732da8dbfd9a08ade0a86e119c39c2ddc7b30d1bb32fa4,d7e4ccb8a4731f2e24ed85c4427ad0ee84976afc051a88cbebae8b6932b0d6f2
"1.65","taq_karin_idle","1","1","-194","1001","100","1","1","72","118511"
"","","21","","","1002","0","vo_minigame_1009","1","0","vo_minigame_1009_top_001"
"0","0","11","0","0","1003","8","118511","1","0","賞品も用意して\nいますので頑張って\nくださいね♪"
"0.2","","3","","","1004","1","118511","1","","taq_karin_talk_normal"
"","","91","","","1005","","1003","1","",""
"0.2","","3","","","1006","1","118511","1","","taq_karin_idle"
"1.65","taq_karin_idle","1","1","-194","2001","100","1","2","72","118511"
"","","21","","","2002","0","vo_minigame_1009","2","0","vo_minigame_1009_top_002"
"0","0","11","0","0","2003","8","118511","2","0","みなさんの知識が\n試されますよ"
"0.2","","3","","","2004","1","118511","2","","taq_karin_talk_thinking"
"","","91","","","2005","","2003","2","",""
"0.2","","3","","","2006","1","118511","2","","taq_karin_idle"
"1.65","taq_karin_idle","1","1","-194","3001","100","1","3","72","118511"
"","","21","","","3002","0","vo_minigame_1009","3","0","vo_minigame_1009_top_003"
"0","0","11","0","0","3003","8","118511","3","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね"
"0.2","","3","","","3004","1","118511","3","","taq_karin_talk_surprise"
"","","91","","","3005","","3003","3","",""
"0.2","","3","","","3006","1","118511","3","","taq_karin_idle"
"1.65","taq_karin_idle","1","1","-194","4001","100","1","4","72","118511"
"","","21","","","4002","0","vo_minigame_1009","4","0","vo_minigame_1009_top_004"
"0","0","11","0","0","4003","8","118511","4","0","わからないときは\n勘に頼ってみても\nいいと思います"
"0.2","","3","","","4004","1","118511","4","","taq_karin_talk_normal2"
"","","91","","","4005","","4003","4","",""
"0.2","","3","","","4006","1","118511","4","","taq_karin_idle"
"1.65","taq_karin_idle","1","1","-194","5001","100","1","5","72","118511"
"","","21","","","5002","0","vo_minigame_1009","5","0","vo_minigame_1009_top_005"
"0","0","11","0","0","5003","7","118511","5","0","仲よく協力して\n全問正解を\n目指してくださいね♪"
"0.2","","3","","","5004","1","118511","5","","taq_karin_talk_joy3"
"","","91","","","5005","","5003","5","",""
"0.2","","3","","","5006","1","118511","5","","taq_karin_idle"
