e911177a17715a8d7e3ab8c642696efb4df08f8ab1598ec14a26cfbff03ea754,057ec5f56491e044b2d48487a5a4783de820ceee5fa69cd12454a5a90d724bd3,e350e7c3886fc887579c0032d115aa1446392d9da6f6db56ea0ea5091c5a1e4c,5cb246f3ff4587681e9e40fca9f944e7b7e76517f78cb7636606f8601bd7e675,59955c9aac2b43522f61ad725c6be1dfaf711d8dc3cde4b1e3a5408497907373,2a49fa313b2a8941d32905037013a4e5f3990f492f83c50de6badb04005fe3f1,ee140a19ee49288b66764a6894bf57c62af9828ade09db1ba27b71f1565a041f
"2","11012","0","11011","1101","2","ギルド管理協会です！どんなお仲間をお探しですか？"
"2","11022","0","11021","1102","2","ギルド管理協会です！どんなお仲間をお探しですか？"
"2","11032","0","11031","1103","2","ギルド管理協会です！どんなお仲間をお探しですか？"
"2","11042","0","11041","1104","2","ギルド管理協会です！どんなお仲間をお探しですか？"
"4","11052","0","11051","1105","4","魔物たちが集まる闘技場を見つけた！"
"7","11072","11071","11073","1107","7","不思議な石板を発見！どうする？"
"8","11081","0","11082","1108","8","ダンジョンで迷った！どっちに進む？"
"4","11092","0","11091","1109","4","魔物たちが集まる闘技場を見つけた！"
"3","11102","11103","11101","1110","3","じゃんけん……ぽん！"
"10","11112","0","11111","1111","10","箱の中から声が聞こえる……"
"11","11122","0","11121","1112","11","イベント会場に魔物が現れた！"
"4","11132","0","11131","1113","4","魔物たちが集まる闘技場を見つけた！"
"4","11172","0","11171","1117","4","魔物たちが集まる闘技場を見つけた！"
"5","0","0","13141","1314","5","釣りスポットを発見！"
"9","0","0","13151","1315","9","絶好のピクニック日和だ！"
"6","0","0","13161","1316","6","スロットマシンだ！挑戦する？"
"5","0","0","23141","2314","5","ラッキー！もう一回釣れるぞ！"
"9","23151","0","23152","2315","9","料理ができた！でも、まだ材料はあるぞ！"
"6","23161","0","23162","2316","6","もう一勝負だ！"
"5","0","0","33141","3314","5","ラストもう一回！"
"9","33151","0","33152","3315","9","完璧！でも、まだまだ材料はあるぞ！"
"6","33161","0","33162","3316","6","ラスト一発！"
