d5413d2498929c7ed4a09d41d4fb4df46dbe09bb16002060c992ce298a0ab1ef,d55c2ae9a81a88040473f94ffcc00689db09321f4cadd5a64a1acbc8c1bdf58d,5df3cdcaaab6c6aea4f3d67ebdbc3c86c90f6a346f2f2854bbbd8d84d70d13e2,a3f7cba07a98d1505e1158ce6cef3ac117b660acfc03a795b555c35c5b1b741b,5b5a0a00338d53caac6c1c38723bb14fdadbbb8c2a46433fb6031e2f37016559,92a44b67e2d32388d1b1a8b9047fe755147eecdea49f990e08fed070a7bb70f5,fd4a5ee15f2f4fc060c227281112bc7bc85bf693d933c2d299e13aeee243100e,5c65ed0e740cc94b7e879bdcb34598cc36e6bb4379538ca04dde8082bee207d2,368283ae694123aadcbbdc75ea63ba94549ff6549c0ec961e29db28c4d21954f,a7162c1468e8b6dc80899d395101e75e62b4e15020d0b1ceb2a000a3bcb4d12d
"10001","0","0","0","0","2019/02/15 14:59:59","2018/01/01 15:00:00","0","0","0"
"10002","1","1001","0","1001","2019/02/28 11:59:59","2019/02/15 15:00:00","1","1001","0"
"10003","1","1001","0","0","2020/02/15 14:59:59","2019/02/28 12:00:00","1","0","0"
"10004","1","1001","1002","1002","2020/02/29 11:59:59","2020/02/15 15:00:00","1","1002","0"
"10005","2","1002","1002","1002","2020/02/29 11:59:59","2020/02/15 15:00:00","2","1002","2015009"
"10006","1","1001","0","0","2020/08/15 14:59:59","2020/02/29 12:00:00","1","0","0"
"10007","2","1002","0","0","2020/08/15 14:59:59","2020/02/29 12:00:00","2","0","2015009"
"10008","1","1001","1003","0","2020/08/31 11:59:59","2020/08/15 15:00:00","1","0","0"
"10009","2","1002","1003","0","2020/08/31 11:59:59","2020/08/15 15:00:00","2","0","2015009"
"10010","1","1001","0","0","2021/02/15 14:59:59","2020/08/31 12:00:00","1","0","0"
"10011","2","1002","0","0","2021/02/15 14:59:59","2020/08/31 12:00:00","2","0","2015009"
"10012","1","1001","1004","1003","2021/02/28 11:59:59","2021/02/15 15:00:00","1","1003","0"
