ba1500c9aab73d5788888a3713be248686da9cb0b9f0e5c65368b80a1cbfab48,368349e2dc62175b8b3706e74c98b52455cd88f2e4c6065ad2311951ec38bdb3,91bb25120386545ae077a6852d238946516ba1e541465f2e8820659fc18f8a18
"106101","通常時","装備中"
"106701","通常時","特殊スキル"
"106801","通常時","権能解放中"
"106901","通常時","特殊スキル"
"115801","通常時","変身中"
"116401","通常時","特殊スキル"
"118201","通常時","特殊スキル"
"118501","通常時","特殊スキル"
"118601","通常時","特殊スキル"
"120801","通常時","初回発動時"
"122001","通常時","特殊スキル"
"122301","通常時","共闘中"
"122701","通常時","特殊スキル"
"123001","通常時","特殊スキル"
"125001","通常時","共闘中"
"125801","通常時","特殊スキル"
"126001","通常時","特殊スキル"
"126101","通常時","特殊スキル"
"126201","通常時","特殊スキル"
"126401","通常時","【フルチャージ】中"
"126501","通常時","特殊スキル"
"129001","通常時","特殊スキル"
"129301","通常時","特殊スキル"
"129401","通常時","特殊スキル"
"129601","通常時","特殊スキル"
"129701","通常時","特殊スキル"
"130001","通常時","特殊スキル"
"130101","通常時","特殊スキル"
"131201","通常時","特殊スキル"
"131801","通常時","特殊スキル"
"132001","通常時","特殊スキル"
"132101","通常時","鬼化中"
"181201","通常時","特殊スキル"
