836206b21bf76a63f5b25de424b5745385423a3bc4f10ab7503224226676791a,8b74c159ad6711be516c6ef388acb68d51953a3a6ca8761a7709cd313ef74149,8c3f862867bb794f60c2ec1c8875dda68f037c85cd7734a436f68428816a1557,9ab41e7d673f7528638be4b2291c471ceb9c6da402d107d06871b196eee4c606,f7b8e828a244a2dbd5ba3aac86973899cb67c3a54c12c825d9dc5ac51b98def4,c56525fd0a625f52ebd547e3f9d94bcf2bc4ddd5beb84b75da2dfa96eb9d247a,c39f5b7db52980e2617efed75f7710e73a848ef374ce08d92de7d29985762206,5159f6265bfecbbb3a6abd9f877aebff6af864ba3e05d64b5d36caeef890fe94,4334841b7ecbf41374f870a526cb8c393c88f2c2704ad824a691e0ae7f67946b,04c612161234482587567941de9c75f57cf421e57e603f06eba105031c8a09e8,421cba497868a5ecc98f118649774bd75cab69ebfd0f15b59d2cf3a50a648445
"1","382","-280","110","1.55","1","1","idle_normal","5152061","61001","110311"
"1","145","-210","106","1.55","1","0","idle_normal","5152061","61002","131911"
"1","-50","-225","107","1.55","1","0","joy_idle_normal","5152061","61003","102311"
"1","-245","-240","108","1.55","1","0","wish_idle","5152061","61004","102111"
"1","-440","-255","109","1.55","1","0","idle_normal","5152061","61005","107711"
"1","40","-105","103","1.45","1","0","doya_idle","5152061","61006","122811"
"1","-160","-120","104","1.45","1","0","idle_normal","5152061","61007","122911"
"1","-355","-135","105","1.45","1","0","idle_normal","5152061","61008","122711"
"13","","","","","110311","","","5152061","61009","210"
"13","","","","","131911","","","5152061","61010","206"
"13","","","","","107711","","","5152061","61011","209"
"13","","","","","122711","","","5152061","61012","205"
"13","","","","","122811","","","5152061","61013","203"
"13","","","","","122911","","","5152061","61014","204"
"13","","","","","102111","","","5152061","61015","208"
"13","","","","","102311","","","5152061","61016","207"
"5","-110","160","210","0.75","2","0","empty","5152061","61017","2"
"5","352","-45","210","1","3","0","empty","5152061","61018","3"
"31","0","1","0","1","1","","","5152061","61019","1"
