b1486df4eda571fca9abb8f6945270142e4b7e44be57c8bde4ccc7f815dbe6a3,5d01e74cd0447683486551fd8a5fa2da20d003896c815986e6d8af948c11abd1,65395ca24adb72896a467d7c6a20e38d4c6de96ecee88a1800b6dcd7bf98c700,4839beeddbe70a4ef8b5ad2ef873b19184589f29ed2a2494050d5533e85bef8e,39f7e2e7b5a68ed134aa8202c0f0ef7fc090f36f8a3655afdb1ef052e675cba7,2263979595adc905c0ab7e5487769d4003b8bd0171c8658de08e154f0264aa0e,d245df6d23401138d0513c91b349300891e1fff348af72aee046548a7cf5e465,ef89a2bd04f81a566c0e503743be4a28f677a1739cefbb569fe9ff85edc4e39b
"1","0","【料理】ダイスが2個に増える","52001","1","0","1","1"
"1","0","【料理】ダイスの目が必ず「1」になる","52002","1","0","1","2"
"1","0","【料理】次のターン数のカウントをスキップする","52002","2","0","3","3"
"1","0","【料理】ダイスの目が必ず「4」になる","52004","1","0","1","4"
"1","0","【料理】ダイスの目が\n「4・5・6」のみになる","52006","1","0","1","5"
"1","0","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","52007","1","0","1","6"
"1","0","【料理】ダイスの目が必ず「5」になる","52003","1","0","1","7"
"1","0","【料理】マイルマスの獲得マイルが200%アップする","52008","7","0","2","8"
"2","0","【イベント】次のターン数のカウントをスキップする","4","2","0","3","9"
"2","0","【イベント】マイルマスの獲得マイルが100%アップする","5","3","0","2","10"
"2","0","【イベント】ミニゲームの獲得マイルが100%アップする","6","5","0","2","11"
"2","0","【イベント】マイルショップの全商品が20%以上割引される","7","4","0","3","12"
"1","0","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","52009","1","0","1","13"
"1","0","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","52010","6","0","2","14"
"1","0","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","52011","1","0","1","15"
"1","0","【料理】ダイスの目が\n「1・2・3」のみになる","52012","1","0","1","16"
"1","0","【料理】次のターン数のカウントをスキップする","52012","2","0","3","17"
"1","0","【料理】移動時にマイルマスをスキップできる","52014","8","0","1","18"
"1","0","【料理】次回移動時に1マス分多く進める","52005","1","0","1","19"
"1","2","【料理】次回移動時に1マス分多く進める","52014","1","2","1","20"
"1","0","【料理】ダイスが2個に増える","52015","1","0","1","21"
"1","0","【料理】次回移動時に1マス分多く進める","52015","1","0","1","22"
"1","0","【料理】ダイスの目が必ず「6」になる","52016","1","0","1","23"
"1","0","【料理】移動系カテゴリーの料理が食べられなくなる","52017","9","0","1","24"
"1","0","【料理】ダイスの目が必ず「3」になる","52018","1","0","1","25"
"1","0","【料理】ダイスの目が必ず「8」になる","52019","1","0","1","26"
"2","0","【イベント】次のターン数のカウントをスキップする","98011","2","0","3","27"
"2","0","【イベント】次のターン数のカウントをスキップする","98012","2","0","3","28"
"1","0","【料理】移動時にマイルマスをスキップできる","52020","10","0","2","29"
"1","2","【料理】次回移動時に1マス分多く進める","52020","1","2","1","30"
"1","0","【料理】移動時にトレジャーマスをスキップできる","52021","10","0","2","31"
"1","0","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","52022","1","0","1","32"
"1","0","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","52023","1","0","1","33"
"1","0","【料理】次回移動時に3マス分多く進める","52024","1","0","1","34"
