82507ceef476684ede62cf848441a61cfc8981da1ac4100bba9a5aaccfe941d8,6a86ff1f996a6e34f2e258649a4c98abe029d4c88e3c005e1a5b8f96de2db900,7dc16caa5ddd17a7bc95ebaffcd45ce4e1bf57ef2e77bf05e07d55e9fc0110f7
"20001","31012","31038"
"20002","31020","31004"
"20003","31010","31017"
"20004","31076","31028"
"20005","31080","31032"
"20006","31047","31034"
"20007","31082","31022"
"20008","31009","31051"
"20009","31085","31029"
"20010","31089","31002"
"20011","31090","31011"
"20012","31043","31008"
"20013","31093","31018"
"20014","31053","31045"
"20015","31101","31050"
"20016","31105","31014"
"20017","31056","31040"
"20018","31112","31036"
"20019","31037","31005"
"20020","31116","31044"
"20021","31121","31021"
"20022","31123","31049"
"20023","31107","31046"
"20024","31028","31033"
"20025","31130","31065"
"20026","31132","31027"
"20027","31135","31023"
"20028","31016","31013"
"20029","31141","31054"
"20030","31014","31037"
"20031","31146","31048"
"20032","31147","31060"
"20033","31156","31003"
"20034","31156","31003"
"20035","31158","31010"
"20036","31032","31031"
"20037","31065","31015"
"20038","31168","31040"
"20039","31018","31050"
"20040","31174","31109"
"20041","31096","31051"
"20042","31178","31047"
"20043","31053","31055"
"20044","31192","31006"
"20045","31208","31044"
"20046","31059","31060"
"20047","31212","31058"
"20048","31128","31026"
"20049","31065","31046"
"20050","31014","31031"
"20051","31221","31034"
"20052","31224","31002"
"20053","31228","31036"
"20054","31010","31023"
"20055","31235","31013"
"20056","31037","31005"
"20057","31241","31047"
"20058","31247","31066"
"20059","31249","31029"
"20060","31249","31042"
"20061","31053","31046"
"20062","31012","31038"
"20063","31257","31057"
"20064","31044","31008"
"20065","31267","31048"
"20066","31270","31031"
"20067","31288","31002"
"20068","31288","31001"
"20069","31011","31060"
"20070","31056","31042"
"20071","31018","31054"
"20072","31028","31058"
"20073","31283","31014"
"20074","31110","31034"
"20075","31043","31027"
