dd454d8d5f0e563626d403b31f4be839df6c30685ac05005586698d56bf31819,093088ca02c458d0c4dbdc83fe5d3983d75187c114ede9ed8eef3f972bfe7c58,130629e19e591fd7457cfcb14f51a422efe9f4fce54a1050800f1d2137c1a800,08fc84d4cf6560baa14620d62b1cbbf697cee6da7838b47425749dfe7407f2d1
"1000","100","8","91002"
"2000","500","2","23003"
"3000","5000","2","25011"
"4000","5000","2","25012"
"5000","5000","2","25013"
"6000","5000","2","25014"
"7000","5000","2","25015"
"8000","2500","2","25021"
"9000","100","8","91002"
"10000","1","2","21953"
"12000","50","2","90005"
"14000","500","2","23003"
"16000","5000","2","25011"
"18000","5000","2","25012"
"20000","5000","2","25013"
"23000","5000","2","25014"
"26000","5000","2","25015"
"29000","2500","2","25021"
"32000","100","8","91002"
"35000","1","2","41000"
"39000","50","2","90005"
"43000","500","2","23003"
"47000","5000","2","25011"
"51000","5000","2","25012"
"55000","5000","2","25013"
"60000","5000","2","25014"
"65000","5000","2","25015"
"70000","2500","2","25021"
"75000","100","8","91002"
"80000","1","2","26203"
"90000","50","2","90005"
"100000","500","2","23003"
"150000","5000","2","25011"
"200000","5000","2","25012"
"250000","5000","2","25013"
"300000","5000","2","25014"
"350000","5000","2","25015"
"400000","2500","2","25021"
"450000","100","8","91002"
"500000","1","2","21953"
"550000","50","2","90005"
"600000","500","2","23003"
"650000","5000","2","25011"
"700000","5000","2","25012"
"750000","5000","2","25013"
"800000","5000","2","25014"
"850000","5000","2","25015"
"900000","2500","2","25021"
"950000","100","8","91002"
"1000000","1","2","25101"
"1050000","50","2","90005"
"1100000","500","2","23003"
"1150000","5000","2","25011"
"1200000","5000","2","25012"
"1250000","5000","2","25013"
"1300000","5000","2","25014"
"1350000","5000","2","25015"
"1400000","2500","2","25021"
"1450000","100","8","91002"
"1500000","1","2","26203"
"1550000","50","2","90005"
"1600000","500","2","23003"
"1650000","5000","2","25011"
"1700000","5000","2","25012"
"1750000","5000","2","25013"
"1800000","5000","2","25014"
"1850000","5000","2","25015"
"1900000","2500","2","25021"
"1950000","100","8","91002"
"2000000","1","2","41000"
"2050000","50","2","90005"
"2100000","500","2","23003"
"2150000","5000","2","25011"
"2200000","5000","2","25012"
"2250000","5000","2","25013"
"2300000","5000","2","25014"
"2350000","5000","2","25015"
"2400000","2500","2","25021"
"2450000","100","8","91002"
"2500000","1","2","26203"
"2550000","50","2","90005"
"2600000","500","2","23003"
"2650000","10000","2","25011"
"2700000","10000","2","25012"
"2750000","10000","2","25013"
"2800000","10000","2","25014"
"2850000","10000","2","25015"
"2900000","5000","2","25021"
"2950000","100","8","91002"
"3000000","1","2","21953"
"3050000","50","2","90005"
"3100000","500","2","23003"
"3150000","10000","2","25011"
"3200000","10000","2","25012"
"3250000","10000","2","25013"
"3300000","10000","2","25014"
"3350000","10000","2","25015"
"3400000","5000","2","25021"
"3450000","100","8","91002"
"3500000","1","2","26203"
"3550000","50","2","90005"
"3600000","500","2","23003"
"3650000","10000","2","25011"
"3700000","10000","2","25012"
"3750000","10000","2","25013"
"3800000","10000","2","25014"
"3850000","10000","2","25015"
"3900000","5000","2","25021"
"3950000","100","8","91002"
"4000000","1","2","41000"
"4050000","50","2","90005"
"4100000","500","2","23003"
"4150000","10000","2","25011"
"4200000","10000","2","25012"
"4250000","10000","2","25013"
"4300000","10000","2","25014"
"4350000","10000","2","25015"
"4400000","5000","2","25021"
"4450000","100","8","91002"
"4500000","1","2","26203"
"4550000","50","2","90005"
"4600000","500","2","23003"
"4650000","10000","2","25011"
"4700000","10000","2","25012"
"4750000","10000","2","25013"
"4800000","10000","2","25014"
"4850000","10000","2","25015"
"4900000","5000","2","25021"
"4950000","100","8","91002"
"5000000","1","2","25101"
"5100000","50","2","90005"
"5200000","500","2","23003"
"5300000","10000","2","25011"
"5400000","10000","2","25012"
"5500000","10000","2","25013"
"5600000","10000","2","25014"
"5700000","10000","2","25015"
"5800000","5000","2","25021"
"5900000","100000","2","26202"
"6000000","1","2","41000"
"6100000","50","2","90005"
"6200000","500","2","23003"
"6300000","10000","2","25011"
"6400000","10000","2","25012"
"6500000","10000","2","25013"
"6600000","10000","2","25014"
"6700000","10000","2","25015"
"6800000","5000","2","25021"
"6900000","20","11","140001"
"7000000","1","2","26203"
"7100000","50","2","90005"
"7200000","500","2","23003"
"7300000","10000","2","25011"
"7400000","10000","2","25012"
"7500000","10000","2","25013"
"7600000","10000","2","25014"
"7700000","10000","2","25015"
"7800000","5000","2","25021"
"7900000","100000","2","26202"
"8000000","1","2","21953"
"8100000","50","2","90005"
"8200000","500","2","23003"
"8300000","10000","2","25011"
"8400000","10000","2","25012"
"8500000","10000","2","25013"
"8600000","10000","2","25014"
"8700000","10000","2","25015"
"8800000","5000","2","25021"
"8900000","20","11","140001"
"9000000","1","2","26203"
"9100000","50","2","90005"
"9200000","500","2","23003"
"9300000","10000","2","25011"
"9400000","10000","2","25012"
"9500000","10000","2","25013"
"9600000","10000","2","25014"
"9700000","10000","2","25015"
"9800000","5000","2","25021"
"9900000","100000","2","26202"
"10000000","1","2","41000"
"10100000","50","2","90005"
"10200000","500","2","23003"
"10300000","10000","2","25011"
"10400000","10000","2","25012"
"10500000","10000","2","25013"
"10600000","10000","2","25014"
"10700000","10000","2","25015"
"10800000","5000","2","25021"
"10900000","20","11","140001"
"11000000","1","2","26203"
"11100000","50","2","90005"
"11200000","500","2","23003"
"11300000","10000","2","25011"
"11400000","10000","2","25012"
"11500000","10000","2","25013"
"11600000","10000","2","25014"
"11700000","10000","2","25015"
"11800000","5000","2","25021"
"11900000","100000","2","26202"
"12000000","1","2","21953"
"12100000","50","2","90005"
"12200000","500","2","23003"
"12300000","10000","2","25011"
"12400000","10000","2","25012"
"12500000","10000","2","25013"
"12600000","10000","2","25014"
"12700000","10000","2","25015"
"12800000","5000","2","25021"
"12900000","20","11","140001"
"13000000","1","2","26203"
"13100000","50","2","90005"
"13200000","500","2","23003"
"13300000","10000","2","25011"
"13400000","10000","2","25012"
"13500000","10000","2","25013"
"13600000","10000","2","25014"
"13700000","10000","2","25015"
"13800000","5000","2","25021"
"13900000","100000","2","26202"
"14000000","1","2","41000"
"14100000","50","2","90005"
"14200000","500","2","23003"
"14300000","10000","2","25011"
"14400000","10000","2","25012"
"14500000","10000","2","25013"
"14600000","10000","2","25014"
"14700000","10000","2","25015"
"14800000","5000","2","25021"
"14900000","150","8","91002"
"15000000","1","2","25101"
"15150000","50","2","90005"
"15300000","500","2","23003"
"15450000","10000","2","25011"
"15600000","10000","2","25012"
"15750000","10000","2","25013"
"15900000","10000","2","25014"
"16050000","10000","2","25015"
"16200000","5000","2","25021"
"16350000","100000","2","26202"
"16500000","1","2","41000"
"16650000","50","2","90005"
"16800000","500","2","23003"
"16950000","10000","2","25011"
"17100000","10000","2","25012"
"17250000","10000","2","25013"
"17400000","10000","2","25014"
"17550000","10000","2","25015"
"17700000","5000","2","25021"
"17850000","20","11","140001"
"18000000","1","2","26203"
"18150000","50","2","90005"
"18300000","500","2","23003"
"18450000","10000","2","25011"
"18600000","10000","2","25012"
"18750000","10000","2","25013"
"18900000","10000","2","25014"
"19050000","10000","2","25015"
"19200000","5000","2","25021"
"19350000","100000","2","26202"
"19500000","1","2","21953"
"19650000","50","2","90005"
"19800000","500","2","23003"
"19950000","10000","2","25011"
"20100000","10000","2","25012"
"20250000","10000","2","25013"
"20400000","10000","2","25014"
"20550000","10000","2","25015"
"20700000","5000","2","25021"
"20850000","20","11","140001"
"21000000","1","2","26203"
"21150000","50","2","90005"
"21300000","500","2","23003"
"21450000","10000","2","25011"
"21600000","10000","2","25012"
"21750000","10000","2","25013"
"21900000","10000","2","25014"
"22050000","10000","2","25015"
"22200000","5000","2","25021"
"22350000","100000","2","26202"
"22500000","1","2","41000"
"22650000","50","2","90005"
"22800000","500","2","23003"
"22950000","10000","2","25011"
"23100000","10000","2","25012"
"23250000","10000","2","25013"
"23400000","10000","2","25014"
"23550000","10000","2","25015"
"23700000","5000","2","25021"
"23850000","20","11","140001"
"24000000","1","2","26203"
"24150000","50","2","90005"
"24300000","500","2","23003"
"24450000","10000","2","25011"
"24600000","10000","2","25012"
"24750000","10000","2","25013"
"24900000","10000","2","25014"
"25050000","10000","2","25015"
"25200000","5000","2","25021"
"25350000","100000","2","26202"
"25500000","1","2","21953"
"25650000","50","2","90005"
"25800000","500","2","23003"
"25950000","10000","2","25011"
"26100000","10000","2","25012"
"26250000","10000","2","25013"
"26400000","10000","2","25014"
"26550000","10000","2","25015"
"26700000","5000","2","25021"
"26850000","20","11","140001"
"27000000","1","2","26203"
"27150000","50","2","90005"
"27300000","500","2","23003"
"27450000","10000","2","25011"
"27600000","10000","2","25012"
"27750000","10000","2","25013"
"27900000","10000","2","25014"
"28050000","10000","2","25015"
"28200000","5000","2","25021"
"28350000","100000","2","26202"
"28500000","1","2","41000"
"28650000","50","2","90005"
"28800000","500","2","23003"
"28950000","10000","2","25011"
"29100000","10000","2","25012"
"29250000","10000","2","25013"
"29400000","10000","2","25014"
"29550000","10000","2","25015"
"29700000","5000","2","25021"
"29850000","150","8","91002"
"30000000","1","2","25101"
