c30e4caf8832db6e8ab62d1445aa6624995c06dde4c07a08df32a7dedd06e323,6ab9d210ad83d9dfd59c46991ba9cc7f4a77ffd87ef74bec8e30aabd59ac1604,e7d10638f7a57a1b947c1c5a0939c390554c2a8f8836362747c1ddc4c67fa279,aef95d4a182f4fddd15eb5a816d71d338bb36363fdfa61b359211fa6749b53ad,3be18c3f74ce66213c15648af9880174d7a57eff358cec825aefd5d310212cc6,f28b17b675c512c1418cae5a0b8b24ef5fed8dfc6fdfa443acfd078df5ac1d44
"212","803100263","2146041","1","211","3001"
"212","803100263","2146042","1","211","3002"
"212","803100263","2146043","1","211","3003"
"212","803100263","2146044","1","211","3004"
"212","803100272","2147041","1","213","3006"
"212","803100272","2147042","1","213","3007"
"313","803100253","2145039","1","202","30011"
"302","803100253","2145040","0","105","30012"
"311","803100256","2145069","1","204","30021"
"312","803100256","2145070","1","205","30022"
"310","803100259","2145099","1","212","30031"
"301","803100259","2145100","0","107","30032"
"307","803100262","2146039","0","110","30041"
"302","803100262","2146040","0","105","30042"
"314","803100267","2146081","1","203","30051"
"312","803100269","2147019","1","205","30061"
"303","803100269","2147020","0","106","30062"
"313","803100271","2147039","1","202","30071"
"310","803100271","2147040","1","212","30072"
"100","803100251","2145011","0","104","300101"
"100","803100251","2145012","0","104","300102"
"102","803100251","2145013","0","105","300103"
"100","803100251","2145014","0","104","300104"
"102","803100251","2145015","0","105","300105"
"103","803100251","2145016","0","106","300106"
"102","803100251","2145017","0","105","300107"
"103","803100251","2145018","0","106","300108"
"111","803100251","2145019","1","204","300109"
"100","803100251","2145020","0","104","300110"
"100","803100252","2145021","0","104","300111"
"102","803100252","2145022","0","105","300112"
"100","803100252","2145023","0","104","300113"
"102","803100252","2145024","0","105","300114"
"103","803100252","2145025","0","106","300115"
"102","803100252","2145026","0","105","300116"
"103","803100252","2145027","0","106","300117"
"111","803100252","2145028","1","204","300118"
"100","803100252","2145029","0","104","300119"
"100","803100252","2145030","0","104","300120"
"102","803100253","2145031","0","105","300121"
"100","803100253","2145032","0","104","300122"
