435beca02b2b1dd0c07f05f974ed5bd2b634add54593ba8628e741d636ce1782,1430903aaa7ad773169b2fe9dfc5f79ae19ce2b79314ad7003fda160b2f38f7c,c52c12256feb16d9f0d67cde215e9da4d07ab872690f6abc4cd89c30a5747cdd,afaaf8d9601d546bb7a2836023a82c8d128e55e8449d9c3c66e4c8dce63283a5,3120099a043347e837f4029b633921ae90d778f0fea712b5195f3f24d0ed7275,56b48defaba638c1e90efdb2c9e783be757b4ce8fbd473ac2a1c630c589c2b79,6ddb08520bb0cdebbd408413a1df69c76faee4df3c651f9d55a1af80d8fa38e1,9c5475f939288b8e5d9deefa0c0a2732b90ccef4c17d378f1e29fb2b8f4929ac,87f0e606dd503f5c4939e8efc16be78e2e546c5c4604dd0a502eab88993d3c5b,09717e57e6e8ed878bd9f83c7d4edddfd954fe43dfa54885d0db2d94116d23b4,cd99b79c262c680ea9ba3653bbe56bfbb34295d5d29e6a41da08820e311ec081,1a0360ce9e8be8fc8d6c72fe22ed60b75141f36ee4cde262f069e3b3280f479d,25e0693b8016863dd0b6e570451a07cd3743f6934959d52ffbe9794d2937bf90,23d701336158b32d9598da441ef6ce4e6c4cf1b7e936b6bbe6dbe06f766feec1,6910dc0c5da134cc56ca2cd3bdbbd53ace20b6c6954090ae34612fc4a6b3a706,b7e2aa99a1a75bbd5201dfc1d39f9254eea5c2357de1e7ada3e16f2081062824,90a77dfc44aaaca217fb4a885286ab753aedff109dc1c7bbcc26fb820eea580c,9ca9f5bb436936b89c2c5ddcfbcbdd1d329b6a89b52d9c56a195e2a7e02708e4,8b22678bd810bd9843b6613761669c210bc0cf28a513e813e13cde2dab100d4b,d2da77e2be3aae75c7b2ee924b0502426b26cc391d1eb5f7921dbd8ff41b03f7,b6228cc7d7fdf59e273e3bc95130bc8c525291697fbb548ed37fccbb2c562856,0b72503f51f1a07784cfc852343e1396a92bb6fe82a62ddaeff44a6f35d8f3b5,6d03af8d75ffa8401c32ac512d59d10f20c6bfa63aa05abe7f87bc073d4bfb08,55954175cf7d913b89ac028bf469f5ce4de067a6a4493cfed6c1bb229f9df010
"-120","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","-356","31009","11063","5","【トワイライトキャラバン】出動！","5","15063001","31013","30","5","1","31056","2","8","91002","300010","0"
"-168","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","-214","31043","11063","5","裏世界での戦闘訓練","5","15063002","31005","30","5","1","31053","2","8","91002","300010","0"
"-65","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","-84","31016","11063","5","裏世界への修学旅行？","5","15063003","31050","30","5","1","31018","2","8","91002","300010","0"
"109","バトルに勝利する。","0","0","0","2015/12/17 15:00:00","0","-116","0","11063","0","《EX》危険な影の群れ","0","15063004","0","150","0","2","0","0","8","91002","300020","0"
"-120","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","614","31020","11063","5","リトル・リバース・アドベンチャー","5","15063005","31036","30","5","1","31004","2","8","91002","300010","0"
"51","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","655","31006","11063","5","いざ、裏世界出征？","5","15063006","31022","30","5","1","31044","2","8","91002","300010","0"
"30","バトルに勝利する。","0","0","0","2015/12/17 15:00:00","0","881","0","11063","0","《EX》危険な影の群れ","0","15063007","0","150","0","2","0","0","8","91002","300020","0"
"-179","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","0","-247","31066","11064","0","挨拶代わりの裏世界カチコミ！","5","15064001","0","30","5","1","31065","2","8","91002","300010","0"
"-105","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","0","31048","11064","5","新ビジネスの甘～い香り","5","15064002","31034","30","5","1","31032","2","8","91002","300010","0"
"-90","バトルに勝利する。","0","0","0","2015/12/17 15:00:00","0","159","0","11064","0","《EX》危険な魔物・胡狼と眼蔓","0","15064003","0","150","0","2","0","0","8","91002","300020","0"
"-79","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","0","453","0","11064","0","ロケットパンチで魔物さん退治！","0","15064004","0","30","10","1","90005","0","8","91002","300010","0"
"58","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","570","31021","11064","5","裏世界でのピクニック？","5","15064005","31023","30","5","1","31028","2","8","91002","300010","0"
"-18","バトルに勝利する。","0","0","0","2015/12/17 15:00:00","0","905","0","11064","0","《EX》危険な影と怪鳥獣","0","15064006","0","150","0","2","0","0","8","91002","300020","0"
"-123","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","-442","31022","11065","5","妹たちのお世話合戦","5","15065001","31011","30","5","1","31006","2","8","91002","300010","0"
"117","バトルに勝利する。","1","2","2","2015/12/17 15:00:00","2","-289","31033","11065","5","裏世界開拓記","5","15065002","31026","30","5","1","31052","2","8","91002","300010","51011"
"-162","バトルに勝利する。","0","0","0","2015/12/17 15:00:00","0","-150","0","11065","0","《EX》危険な影の群れ","0","15065003","0","150","0","2","0","0","8","91002","300020","0"
"-109","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","0","141","31049","11065","0","ワクワク森パニック！","5","15065004","0","30","5","1","31037","2","8","91002","300010","0"
"-34","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","332","31055","11065","1","甘海に掲げる大漁旗","5","15065005","51012","30","5","1","31030","2","8","91002","300010","0"
"77","バトルに勝利する。","0","0","0","2015/12/17 15:00:00","0","640","0","11065","0","《EX》危険な魔物・狂熊と翼竜","0","15065006","0","150","0","2","0","0","8","91002","300020","0"
"-56","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","-701","31185","11066","1","裏世界復興支援本部","5","15066001","51013","30","5","1","31180","2","8","91002","300010","0"
"109","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","0","-427","31017","11066","0","姫たちのお風呂外交","5","15066002","0","30","5","1","31010","2","8","91002","300010","0"
"-180","バトルに勝利する。","0","0","18","2015/12/17 15:00:00","0","-573","0","11066","0","《EX》天才発明家の三女、襲来","0","15066003","0","150","1","2","4102402","0","8","91002","300020","0"
"-25","バトルに勝利する。","1","2","2","2015/12/17 15:00:00","2","-165","31012","11066","5","裏世界安全講習会","5","15066004","31040","30","5","1","31015","2","8","91002","300010","51016"
"-88","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","2","110","31054","11066","5","裏世界オンステージ！","5","15066005","31042","30","5","1","31029","2","8","91002","300010","0"
"97","バトルに勝利する。","0","0","2","2015/12/17 15:00:00","0","135","0","11066","0","ドラゴン姉妹の頼みごと","0","15066006","0","30","10","1","90005","0","8","91002","300010","0"
