fc1af823e34b59b9ab17174e642b948a5e19a94c3d646112ce13071f043b0687,2434c53aa410ed6ad71a6cd63fcca317d72615ac4eaf84bb3e52187e4784c5ae,eb0a1d71ae2761805680ef26b4b10a1684e49b8e623c474ada02ec955e9c4321,5c8b068255a00db2ed434b9f3716ce41209e086048ff275bd2eaea0032f49e8d
"1","10000","1","ＨＰ"
"1","10000","2","物理攻撃力"
"1","10000","3","物理防御力"
"1","10000","4","魔法攻撃力"
"1","10000","5","魔法防御力"
"1","10000","6","物理クリティカル"
"1","10000","7","魔法クリティカル"
"0","1","8","回避"
"0","1","9","ＨＰ吸収"
"0","1","10","ＨＰ自動回復"
"0","1","11","ＴＰ自動回復"
"0","1","12","物理貫通ダメージ"
"0","1","13","魔法貫通ダメージ"
"0","1","14","ＴＰ上昇"
"0","1","15","回復量上昇"
"0","1","16","ＴＰ消費軽減"
"0","1","17","命中"
"1","100","100","物理クリティカルダメージ"
"1","100","101","魔法クリティカルダメージ"
"1","100","102","物理与ダメージ"
"1","100","103","魔法与ダメージ"
"1","10000","104","属性ボーナス"
"0","1","105","状態異常命中"
"0","1","107","通常攻撃強化"
"0","1","108","バフ強化"
"0","1","110","回復強化"
