abad18317e3c87db3336b9a2fdc43309f47fd347c0e6ed47fdfa3665033d72b2,96651b8e469656a37bc9feb23e1e95c488180fafcbb293cc57889da2937539a2,49f9d0401c8589d9e1fb70e505af8d8b0b86eb0efb2b419adf975c77747a6712,ca4392c8541471c9937159324e8c07f3f857101d4b6fcf8018741c4c11286a69,33c511d49f9ed3ca04d24c3d888e7eee14e0dd88892d3f61f0ffa97beec9b02b,feb5c9bd5f325cbb9f656a51d2d796c62b174bd918746006c48471dd27de6251,c63ef2f2a19d4d9d0115c6526fbdf1950032b9f96d65c6b2d633766321e4e6c3,fd4d52635af37ad221e1b08a27fbbd9aa2995815021b38a40235104dd2af9a02,22c05d54452f89610f09ea240e7b6ee874cbe30d787b313a65da60482b9226d4,75cc152e3e9671c63718dc12acbed9508ce571e8324d24f49134ae7bb1c4cf8a,b4201e01cb6100fb31cf51e2c3dc4ad3151081460dcfea9a904a0f5eba565799
"193","1001","2030/12/17 14:59:59","1","517411","ヒヨリ","0","1001","0","2015/04/01 15:00:00","0"
"262","1002","2030/12/17 14:59:59","1","720111","ユイ","0","1002","0","2015/04/01 15:00:00","0"
"310","1003","2030/12/17 14:59:59","1","830111","レイ","0","1003","0","2015/04/01 15:00:00","0"
"235","1004","2030/12/17 14:59:59","1","612411","ミソギ","0","1004","0","2015/04/01 15:00:00","0"
"217","1005","2030/12/17 14:59:59","1","603211","マツリ","0","1005","0","2015/04/01 15:00:00","0"
"7","1006","2030/12/17 14:59:59","1","1011","アカリ","0","1006","0","2015/04/01 15:00:00","0"
"250","1007","2030/12/17 14:59:59","1","617011","ミヤコ","0","1007","0","2015/04/01 15:00:00","0"
"272","1008","2030/12/17 14:59:59","1","721111","ユキ","0","1008","0","2015/04/01 15:00:00","0"
"28","1009","2030/12/17 14:59:59","1","9431","アンナ","0","1009","0","2015/04/01 15:00:00","0"
"223","1010","2030/12/17 14:59:59","1","605411","マホ","0","1010","0","2015/04/01 15:00:00","0"
"291","1011","2030/12/17 14:59:59","1","814411","リノ","0","1011","0","2015/04/01 15:00:00","0"
"188","1012","2030/12/17 14:59:59","1","503211","ハツネ","0","1012","0","2015/04/01 15:00:00","0"
"168","1013","2030/12/17 14:59:59","1","404011","ナナカ","0","1013","0","2015/04/01 15:00:00","0"
"61","1014","2030/12/17 14:59:59","1","102211","カスミ","0","1014","0","2015/04/01 15:00:00","0"
"232","1015","2030/12/17 14:59:59","1","612021","ミサト","0","1015","0","2015/04/01 15:00:00","0"
"140","1016","2030/12/17 14:59:59","1","222211","スズナ","0","1016","0","2015/04/01 15:00:00","0"
"58","1017","2030/12/17 14:59:59","1","100411","カオリ","0","1017","0","2015/04/01 15:00:00","0"
"31","1018","2030/12/17 14:59:59","1","10411","イオ","0","1018","0","2015/04/01 15:00:00","0"
"247","1020","2030/12/17 14:59:59","1","616111","ミミ","0","1020","0","2015/04/01 15:00:00","0"
"92","1021","2030/12/17 14:59:59","1","128211","クルミ","0","1021","0","2015/04/01 15:00:00","0"
"279","1022","2030/12/17 14:59:59","1","748111","ヨリ","0","1022","0","2015/04/01 15:00:00","0"
"18","1023","2030/12/17 14:59:59","1","6411","アヤネ","0","1023","0","2015/04/01 15:00:00","0"
"144","1025","2030/12/17 14:59:59","1","222221","スズメ","0","1025","0","2015/04/01 15:00:00","0"
