68d183c058419ea89bb2285f969c8abeed293bbaf0606cfe34c077b90363b8b5,0b353c2861be8ed8cbdcff6490435f88e319845bf041d731f0ecb458f0843ef7,e7b549f8f32615b17893b3ae0e3453e9fa8b1193d0a1c14794d3687d30bc49fa,977b4d1d0a7d19a9f263c96b29b315778701a6d5846a9fe4cc9eb41d62f6537d,b417f9b791790892045c07a38197670f7d8e6d534ff0b0644ac72c345aef4fd0,c8c5f9fb95fd44a0f6656cd5c0a8ac1fcf9782ece029bcb08b884c8b4e903d6d,fcd053dcd9f65d5c0ca846c54b7972326d4cca449149554f664837ac199be1b2,f4ee0ad7fadec076db9b95ca76c303f4064d586cc82ec2a1cf6b04af19285bcd,8bba4a8813f7730137ccae70b74224a4b3f7a9eb481febdff7b0b8e36c844be0,4db6b10050bc81174ba59bb501e8c26f39f3b90098b0c957c53e7bcbecffedce,61ab8975b6b6a259fe56c812bd95b4f2a383de2c88ad31673d76a36cdbf135c1
"0","1","2.2","5","52","talk_sad","-250","30","12","1","12001"
"0","1","0","6","1","","0","1","12","1","12002"
"0","0","1","5","29","black","0","50","12","0","12003"
"0","0","0","6","1","","0","1","12","1","12004"
"","0","","91","","","","","12","","12005"
"0","1","0.2","6","1","","1","1","12","1","12006"
"0","0","0.2","6","1","","1","1","12","1","12007"
"","1","","2","-250","","2","0.3","12","-20","12008"
"","0","","2","0","","2","0.3","12","0","12009"
"","0.6","","93","","","","","12","0","12010"
"","vo_asb","","21","0","","","0","12","vo_asb_0121","12011"
"0","1","0","11","10","0","1","1","12","思えば手土産すらも、\n持参できず仕舞いでした……","12012"
"","0","","91","0","","","0","12","","12013"
"","1","0.2","3","1","","","","12","guts2_talk_shy","12014"
"","vo_asb","","21","0","","","0","12","vo_asb_0122","12015"
"0","1","0","11","10","0","1","1","12","次に伺う時は必ず……！","12016"
"","0","","91","0","","","0","12","","12017"
"","1","0.2","3","1","","","","12","sad_talk_surprise","12018"
"","vo_asb","","21","0","","","0","12","vo_asb_0123","12019"
"0","1","0","11","10","0","1","1","12","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","12020"
"","0","","91","0","","","0","12","","12021"
"","1","0.3","3","1","","","","12","surprise_talk_dere","12022"
"","vo_asb","","21","0","","","0","12","vo_asb_0124","12023"
"0","1","0","11","10","0","1","1","12","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","12024"
"","0","","91","0","","","0","12","","12025"
"0","1","0.4","3","0","","1","sad_idle_red_riri","12","sad_talk_riri_in","12026"
"","vo_asb","","21","0","","","0","12","vo_asb_0125","12027"
"0","1","0","11","10","0","1","1","12","……一緒に……手土産を……\n……ぽっ。","12028"
"","0","","91","0","","","0","12","","12029"
"","12031","","101","","","","","12","","12030"
"0","1","0.3","6","1","","0","1","12","1","12031"
"0","0","0.3","6","1","","0","1","12","1","12032"
"","1","","2","-250","","1","0.3","12","-120","12033"
"","0","","2","0","","1","0.3","12","-100","12034"
"","0","","22","","","","","12","0","12035"
"","0.4","","93","","","","","12","0","12036"
"0","1","2.2","5","17","riri_idle_look_shy","-230","20","13","1","13001"
"0","2","2.2","5","19","clear_idle_look_shy","-255","-140","13","2","13002"
"1","3","2.2","5","18","idle_look_precia","-245","270","13","3","13003"
"0","1","0","6","1","","0","1","13","1","13004"
"0","2","0","6","1","","0","1","13","1","13005"
"0","3","0","6","1","","0","1","13","1","13006"
"","1","0","31","0","","1","0","13","100","13007"
"","100","","35","","","","","13","0","13008"
"0","0","1","5","16","black","0","50","13","0","13009"
"0","0","0","6","1","","0","1","13","1","13010"
"","0","","91","","","","","13","","13011"
"","0.1","","93","","","","","13","0","13012"
"0","1","0.2","6","1","","1","1","13","1","13013"
"0","2","0.2","6","1","","1","1","13","1","13014"
"0","3","0.2","6","1","","1","1","13","1","13015"
"0","0","0.2","6","1","","1","1","13","1","13016"
"","1","","2","-230","","2","0.3","13","-30","13017"
"","2","","2","-255","","2","0.3","13","-190","13018"
"","3","","2","-245","","2","0.3","13","220","13019"
"","0","","2","0","","2","0.3","13","0","13020"
"","100","","32","","","","","13","1","13021"
"","0.6","","93","","","","","13","0","13022"
"","1","0.2","3","1","","","","13","sad_talk_look_shy_riri","13023"
"","vo_asb","","21","0","","","0","13","vo_asb_1521","13024"
"0","1","0","11","10","0","1","1","13","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","13025"
"","0","","91","0","","","0","13","","13026"
"","1","0.2","3","1","","","","13","sad_idle_normal_look_shy_riri","13027"
"","2","0.2","3","1","","","","13","clear_talk_look_shy","13028"
"","vo_asb","","21","0","","","0","13","vo_asb_1522","13029"
