b41b028b9f70bec0aab4e7b2de0149a306e6272347e7427ff5b425394791b9a5,8ff54253d8bdcac5f07058fcddb227a972b03f91f8f4f5bf177227c0d2103bee,fd9e1e13dfde8d4f4105bb87ed967e0f681952e81593571b26f1f0d5cea6f963,570b03b4c127a87da6c34585524ae8b574ee25bcbbda6d95b9a44ac6abd0d773,ca4e4d36e6f9062a0ee17ff0425b6f048629d8b2f02cc15adc8d31e93608bfaf,6d929391f340718719720516e8cb567ff148c1dd64d760d101125cc7c9692a0d,9061940dd02854062dccfbd05bfa6d7288c3165301f338b34a012e94ce6a54d5,7cd1fc0cbd0d41e7339175a9496bf222f797f9d0b5974db15d1b824577a577fe
"1","170","182","1","-90","-401","71","1"
"2","170","182","1","-90","-401","81","2"
"3","255","182","1","90","-255","121","3"
"4","255","182","1","90","-255","131","4"
"5","255","182","1","90","-255","141","5"
"6","229","176","1","-80","-107","191","6"
"7","229","176","1","-80","-107","201","7"
"8","218","151","1","-85","136","271","8"
"9","218","151","1","-85","136","281","9"
"10","218","151","1","-85","136","291","10"
"11","156","219","1","80","280","331","11"
"12","156","219","1","80","280","341","12"
"13","156","219","1","80","280","351","13"
"14","213","183","1","-97","417","401","14"
"15","213","183","1","-97","417","411","15"
"1","242","229","2","-73","-259","451","2"
"2","226","179","2","124","-222","481","4"
"3","219","192","2","-67","-101","501","6"
"4","168","190","2","-27","-26","521","8"
"5","192","260","2","-50","117","551","11"
"6","159","138","2","120","241","601","14"
"7","159","138","2","120","241","611","14"
"8","224","229","2","-71","243","621","14"
"1","71","43","3","32","-353","781","1"
"2","235","268","3","-30","-228","801","2"
"3","80","45","3","144","-243","831","3"
"4","221","225","3","-76","20","851","4"
"5","211","222","3","-74","230","861","5"
"6","115","136","3","44","-100","891","6"
"7","115","136","3","44","-100","901","7"
"8","306","250","3","76","116","991","8"
"9","306","250","3","76","116","1001","9"
"10","306","250","3","76","116","1011","10"
"11","96","188","3","40","322","1041","11"
"12","96","188","3","40","322","1051","12"
"1","294","272","4","-6","-211","1091","1"
"2","92","115","4","129","-288","1101","2"
"3","92","115","4","129","-288","1111","3"
"4","135","174","4","128","-58","1121","4"
"5","222","184","4","133","143","1151","5"
"6","134","98","4","-129","-277","1161","6"
"7","134","98","4","-129","-277","1171","7"
"8","67","70","4","-12","-60","1211","8"
"9","67","70","4","-12","-60","1221","9"
"10","132","185","4","-55","116","1231","10"
"11","93","89","4","-103","-17","1261","11"
"12","93","89","4","-103","-17","1271","12"
"13","150","239","4","23","232","1311","13"
"1","114","72","5","-161","-289","1391","1"
"2","114","72","5","-161","-289","1401","2"
"3","228","248","5","80","-261","1411","3"
"4","223","211","5","-91","-103","1431","4"
"5","186","181","5","95","-87","1471","5"
"6","132","176","5","-122","69","1551","6"
"7","132","176","5","-122","69","1561","7"
"8","143","184","5","91","54","1611","8"
"9","211","247","5","45","204","1641","9"
"10","137","167","5","141","308","1651","10"
"11","175","174","5","-46","282","1661","11"
"1","222","240","6","-11","-252","1741","1"
"2","311","245","6","-96","-19","1761","2"
"3","261","221","6","95","-46","1771","3"
"4","166","237","6","83","152","1781","4"
"5","183","229","6","-100","227","1782","5"
"1","223","183","7","-46","-249","1811","1"
"2","337","247","7","54","-159","1881","2"
"3","202","191","7","-70","30","1921","3"
"4","176","215","7","0","173","1941","4"
"5","204","236","7","77","292","1981","5"
"1","209","254","8","89","-472","2001","1"
"2","250","282","8","-77","-375","2031","2"
"3","241","223","8","110","-280","2051","3"
"4","243","270","8","-85","-148","2101","4"
"5","274","264","8","74","3","2131","5"
"6","321","302","8","-36","155","2171","6"
"7","199","277","8","82","283","2201","7"
"8","349","344","8","0","374","2271","8"
"1","240","301","9","-30","-275","2321","1"
"2","106","108","9","-115","-132","2361","2"
"3","106","108","9","-115","-132","2371","3"
"4","202","246","9","32","-73","2381","4"
