c0bfe1acb1b4d20209bf26e9cc17faf300780b82475bfe819afe7fc4fcf02001,2d3e79bd6f49c0340d536b561f5e90ca383b7d4f8d11d66a64b21a41eef11a43,dbc101c6f44dbc693e10a0239d8b789435893c1c49c5548f6b9f907899c82f3b,ee956977f8816907b55a4229253286e1deb47f06b3ece9990401a6bd5ea095ae
"0","1001","100101","戦闘不能になったキャラが0人以下で勝利"
"1","1001","100102","戦闘不能になったキャラが1人以下で勝利"
"2","1001","100103","戦闘不能になったキャラが2人以下で勝利"
"74001","1002","100201","バトルの残り時間が1:15以上で勝利"
"69001","1002","100202","バトルの残り時間が1:10以上で勝利"
"59001","1002","100203","バトルの残り時間が1:00以上で勝利"
"49001","1002","100204","バトルの残り時間が0:50以上で勝利"
"44001","1002","100205","バトルの残り時間が0:45以上で勝利"
"39001","1002","100206","バトルの残り時間が0:40以上で勝利"
"29001","1002","100207","バトルの残り時間が0:30以上で勝利"
"1000","1003","100301","味方のTotal HPが100%以上で勝利"
"900","1003","100302","味方のTotal HPが90%以上で勝利"
"800","1003","100303","味方のTotal HPが80%以上で勝利"
"700","1003","100304","味方のTotal HPが70%以上で勝利"
"600","1003","100305","味方のTotal HPが60%以上で勝利"
"500","1003","100306","味方のTotal HPが50%以上で勝利"
"990","1003","100307","味方のTotal HPが99%以上で勝利"
