aed5daf44f1a6944c3c83430372550863533d1e6f56ecff918be029555fdd1e6,d81348213b88663306787043a5ebf5327225c803cd0e1deee44bcc53a601d2e7,a66e64cd544554e07945d3fbdfca703893b5729347c939345ae6265063da2525,c303590df8465810d0b0b6904aff778b9433512263c2618f0dfce7e32e9e1136,e674171ac3ac212ec38ec13605fd7472efdd7395aa526837d3d3d688d9e16b24,10895aa5b093b8c58cd1e70ccd5dc11d5e47159d8ab1069b2978abb5a0c8bf7a,78d33f665d0c4cd17754ec0de93f587b04ffaefe02d8e96e7e88134e6c9ee0bc,9c8eac92da1a6e7e8609e1c4088e04d4023c0d19fd5c7162382c168ceeae0675,5d2e9a40fe96a565e8fbe61fcea22fb8d560fbbbbd056439ebcffe81a5e065fa,5fb2961e1c32d4beddd3ce8c52fde4d27e2b97e5f7064af5b4cdfc8398011045,063a31e7e4c676ab6c1f544a0fd922992355205f049ca3de5f38ae1f6bcf0081
"1","1.55","-280","1","382","idle_normal","110","110311","5152061","1","61001"
"1","1.55","-210","0","145","idle_normal","106","131911","5152061","1","61002"
"1","1.55","-225","0","-50","joy_idle_normal","107","102311","5152061","1","61003"
"1","1.55","-240","0","-245","wish_idle","108","102111","5152061","1","61004"
"1","1.55","-255","0","-440","idle_normal","109","107711","5152061","1","61005"
"1","1.45","-105","0","40","doya_idle","103","122811","5152061","1","61006"
"1","1.45","-120","0","-160","idle_normal","104","122911","5152061","1","61007"
"1","1.45","-135","0","-355","idle_normal","105","122711","5152061","1","61008"
"13","","","","","","","210","5152061","110311","61009"
"13","","","","","","","206","5152061","131911","61010"
"13","","","","","","","209","5152061","107711","61011"
"13","","","","","","","205","5152061","122711","61012"
"13","","","","","","","203","5152061","122811","61013"
"13","","","","","","","204","5152061","122911","61014"
"13","","","","","","","208","5152061","102111","61015"
"13","","","","","","","207","5152061","102311","61016"
"5","0.75","160","0","-110","empty","210","2","5152061","2","61017"
"5","1","-45","0","352","empty","210","3","5152061","3","61018"
"31","1","1","","0","","0","1","5152061","1","61019"
"31","0","1","","0","","0","2","5152061","2","61020"
"31","1","1","","0","","0","3","5152061","3","61021"
"31","0","1","","0","","0","11","5152061","11","61022"
"91","","","","","","","0","5152061","0","61023"
