1b66cb2230714686930d081dac1f0dbe18902f2755715275d1fc4fb8a5e59189,e449ca69984f09be2df39c514aa35b803218074ab146a3118144b959b9a70494,af29114571ed833ca75ee0780429527993d68137cc12c32a1eabc436f1e5bdf6,ead0f198efa1027d10f73a4846ce5456a4f10add7e35b08ebc28e0808bb63a64,800068bc0b828b312d816a113f7719b73fe9cbf12e4d44fe2b1b91f6a81db85b,41b2a3fd11f2a1fca8e9416465d54f9a45b6923441ba0d14d715dcb771a24b52,6cfe7695333d31267881660195ed48b431b823d2e2d85741f3faf0c7339f0a9c,41da572dfa38c1d99324a10c029c30724d64cf33a3be11d289dc50f2317400ba,54fa0aa835b20f1c45207383f3d8c1102e7a65e6b097b23f747f606fae962412,6d791e541f598564df0191baac89f5b9be4b496455309e6c1c4ab4338dfc4396,61aaa48cbca4429d0868427dc637762188074ae2eef59bf5b0baae0e4ce8ff19,a44e9ffee57ba8e0080ab014248d501b2863fbdb7d4ac24cd1869091868b7ca0,8c2f71ac0e2395ff9f6ab64e1f6d1d0308bdb6087f24c30c3a4a06b5a38f2443,cc754b14b4240bc9357a1e8ab8b3af0453df4a71d588dd77a8c0968c800c38a6,a3a40cd25c6bcabbdfed1619e3c65fbcfc34dc427401b1ae863f06b5886619bb,664e567804de55ae713d58812ae344b2726484dde71f33871ea8c4ccc67e9256
"90006","0","0","2","1","91002","0","8","0","0","40","22002","2","0","40","1001101"
"90006","0","0","2","2","91002","0","8","0","0","60","22002","2","0","50","1001102"
"90006","0","0","2","3","91002","0","8","0","0","80","22002","2","0","60","1001103"
"90006","0","0","2","4","91002","0","8","0","0","100","22002","2","0","80","1001104"
"90006","0","0","2","2","91002","0","8","0","0","200","22003","2","0","150","1001105"
"22002","0","0","2","0","90006","0","2","0","0","20","0","0","0","1","1001106"
"22002","0","0","2","0","90006","0","2","0","0","20","0","0","0","1","1001107"
"22002","0","0","2","0","90006","0","2","0","0","20","0","0","0","1","1001108"
"22002","0","0","2","0","90006","0","2","0","0","20","0","0","0","1","1001109"
"22003","0","0","2","0","90006","0","2","0","0","20","0","0","0","1","1001110"
"90006","0","0","2","1","91002","0","8","0","0","40","22002","2","0","40","1002101"
"90006","0","0","2","2","91002","0","8","0","0","60","22002","2","0","50","1002102"
"90006","0","0","2","3","91002","0","8","0","0","80","22002","2","0","60","1002103"
"90006","0","0","2","4","91002","0","8","0","0","100","22002","2","0","80","1002104"
"90006","0","0","2","2","91002","0","8","0","0","200","22003","2","0","150","1002105"
"22002","0","0","2","0","90006","0","2","0","0","40","0","0","0","1","1002106"
"22002","0","0","2","0","90006","0","2","0","0","40","0","0","0","1","1002107"
"22002","0","0","2","0","90006","0","2","0","0","40","0","0","0","1","1002108"
"22002","0","0","2","0","90006","0","2","0","0","40","0","0","0","1","1002109"
"22003","0","0","2","0","90006","0","2","0","0","40","0","0","0","1","1002110"
"90006","0","0","2","1","91002","0","8","0","0","40","22002","2","0","40","1003101"
"90006","0","0","2","2","91002","0","8","0","0","60","22002","2","0","50","1003102"
"90006","0","0","2","3","91002","0","8","0","0","80","22002","2","0","60","1003103"
"90006","0","0","2","4","91002","0","8","0","0","100","22002","2","0","80","1003104"
"90006","0","0","2","2","91002","0","8","0","0","200","22003","2","0","150","1003105"
