f4317cabd07af08124a3160b9fd69876a8cc112408e240b9795f886f323723cc,88f03862cf02515da9f9e2e6b5bf7fdc9a066fd4aa8a6ad7e30c8db1f6575175,cb52e891a34bfd6ba99ec0cff3080736771fc5a0877df56b0726c87ca414e8fb,222ac2b67bd52d3bc3123e3b18a47ba6b118e51b0cb7042c3f5dad52d114e9a2,7b6dcb94ecc251725f0d33231d4f8eae52b61bff806fe707519896be5774afd6,ddf9cbfe4c8dd8a7cad4baf178fc85e0b51ab5ab6da507e676771bad0cf538de,4475d71f28fdf019dbd7da65963c1b5e74a85cf3a5417424a336f80630dc5d93,444df9d5ee5292f9baa1093e7b9d4e22bc2356bbb7d82d545fc2a26eadc00a35,7fad8443109cda3f06070e75d8c01ab4300a040aa2ccc00d326401f6f6a4b266
"2","3","2","6","2","1","3","1","100101"
"1","2","1","5","1","2","3","3","100201"
"3","3","2","7","1","3","2","1","100301"
"2","3","2","13","2","3","2","1","100401"
"2","1","3","18","2","2","3","2","100501"
"2","2","3","25","1","2","3","1","100601"
"3","2","1","26","2","2","3","3","100701"
"3","1","1","40","2","3","2","3","100801"
"3","3","3","34","1","2","2","1","100901"
"1","2","1","8","1","2","3","3","101001"
"2","2","1","56","3","2","3","2","101101"
"2","3","2","43","3","2","1","1","101201"
"2","1","3","33","1","3","3","1","101301"
"1","1","2","11","1","2","2","3","101401"
"1","2","1","42","1","3","2","3","101501"
"2","1","1","46","3","3","3","2","101601"
"2","1","2","10","3","2","3","1","101701"
"1","1","2","45","1","3","2","3","101801"
"1","3","2","12","2","1","3","2","102001"
"1","2","2","30","1","3","3","1","102101"
"1","2","2","24","3","3","1","1","102201"
"2","3","3","31","2","1","3","1","102301"
"1","1","1","29","3","2","2","3","102501"
"1","2","1","51","2","1","3","3","102601"
"3","3","1","36","2","3","1","2","102701"
"1","1","1","28","2","3","2","2","102801"
"1","2","1","52","2","2","3","2","102901"
"2","1","2","39","1","3","3","2","103001"
"3","3","1","27","2","1","2","3","103101"
"2","3","1","19","2","2","1","3","103201"
"2","3","2","48","1","1","3","2","103301"
"1","2","3","20","2","2","1","2","103401"
"3","1","3","14","2","2","1","3","103601"
"3","1","3","17","2","3","2","1","103701"
"3","2","3","49","1","1","2","3","103801"
"1","2","3","44","3","1","1","2","104001"
"3","1","2","53","2","2","2","3","104201"
"3","3","1","9","3","2","2","1","104301"
"3","3","2","23","1","1","2","3","104401"
"1","2","3","38","1","2","2","2","104501"
"2","2","1","21","3","1","2","3","104601"
"3","1","3","15","3","2","2","1","104701"
"3","2","2","22","3","3","1","1","104801"
"1","3","1","55","2","2","2","2","104901"
"1","1","2","47","3","2","3","2","105001"
"3","1","2","35","3","1","1","3","105101"
"2","2","1","50","2","2","3","2","105201"
"3","3","1","37","2","3","2","1","105301"
"2","2","1","54","3","1","3","2","105401"
"1","3","3","41","1","1","2","2","105501"
"3","2","1","32","3","2","3","1","105601"
"1","2","2","67","2","2","3","1","105701"
"2","2","1","1","2","2","3","2","105801"
"1","2","2","2","1","2","2","3","105901"
"3","1","3","3","3","1","2","2","106001"
"2","3","2","58","2","2","3","1","106101"
"1","3","2","68","2","1","3","1","106301"
"1","2","3","4","2","2","3","1","106401"
"3","1","3","61","2","2","3","1","106501"
"2","1","3","62","2","1","3","3","106601"
"3","1","2","60","1","2","2","2","106701"
"1","1","3","57","2","2","1","1","106801"
"3","2","2","59","1","1","1","3","107001"
"3","2","2","16","2","3","1","1","107101"
"1","2","2","70","1","2","2","2","109201"
"2","2","1","72","3","2","3","2","109301"
"3","1","2","71","3","3","2","1","109401"
"1","2","2","64","3","2","2","1","110801"
"2","1","1","65","2","3","2","2","110901"
"3","1","2","63","1","1","3","3","111001"
"2","2","3","69","3","1","2","2","111401"
"2","1","2","66","3","2","1","3","118001"
