b392afec95109ef93a3d519ac3498d755f0cb369bb27ef6398dcd6c595e4f9d3,ded88069d3ac9a5bf4c83f7f7bb2a57c1567cd204f9a45a1e1b26f001478d8dc,7697108e427ab5110fd7187a0ccf758976fb826b11be1981041f77dc650b91d9,55416837f0a51d1e3ba586cdc61475c3541717b2676d104c4641ed0dcdaa7e19,5d9432abba3b328d55c4bc186a7e0f94a733f4cca08cdda4343f1ccebc3cb993,33022e46819f60b541d0dad115bcc0bb5d68e45f2d3c64609c28a0ef16e4fe15,9a589a7deb9ff8196a3ec450ba99967cd4d292f30c0339500cd26ebfcf30a635,a44c80bd8d2c024ef5fe287d796ed0e7253af87de16a3fdf0bb6befcaa046bd1,edb983dbd0672b0a5dabe882f6cc0623196b33bdecf5b4f06c7b304a3c3fcb6b,0bc3c0cb9db5b91937c64a2b47ffaad9d53f8a2b3b8f5910a1093805cdf7a167,6db3f16dafbdc55181843ed7f2f4ff50a5a22e378f10e7c9a262dc27946bbc7c,585e9e11dfb61aecd0677c01174352489a898d20d6d60010f7c6834300569c98,512c3fc81ad36db9f78ca49f4d985c38a36239a52932264a4841d58cd01073bf,3e7dcfec1a9821672671d0b0b33a396b1898e4863b2e9607f49fbb4a9173f286
"1","1","-1","1","6","30","1","7","30","4","1","1","1","1001"
"1","1","-1","1","6","60","1","11","60","31","1","1","1","1002"
"1","1","-1","1","6","90","1","15","90","61","1","1","1","1003"
"1","1","-1","1","6","120","1","19","120","91","1","1","1","1004"
"1","1","-1","1","6","150","1","23","150","121","1","1","1","1005"
"1","1","-1","1","6","180","1","27","180","151","1","1","1","1006"
"1","1","-1","1","6","210","1","29","210","181","1","1","1","1007"
"1","1","-1","1","6","240","1","31","240","211","1","1","1","1008"
"1","1","-1","1","6","270","1","31","270","241","1","1","1","1009"
"1","1","-1","1","6","300","1","31","300","271","1","1","1","1010"
"1","1","-1","1","6","-1","1","31","310","301","1","1","1","1011"
"1","1","-1","1","5","30","1","7","30","4","1","1","2","1101"
"1","1","-1","1","5","60","1","11","60","31","1","1","2","1102"
"1","1","-1","1","5","90","1","15","90","61","1","1","2","1103"
"1","1","-1","1","5","120","1","19","120","91","1","1","2","1104"
"1","1","-1","1","5","150","1","23","150","121","1","1","2","1105"
"1","1","-1","1","5","180","1","27","180","151","1","1","2","1106"
"1","1","-1","1","5","210","1","29","210","181","1","1","2","1107"
"1","1","-1","1","5","240","1","31","240","211","1","1","2","1108"
"1","1","-1","1","5","270","1","31","270","241","1","1","2","1109"
"1","1","-1","1","5","300","1","31","300","271","1","1","2","1110"
"1","1","-1","1","5","-1","1","31","310","301","1","1","2","1111"
"1","1","-1","1","5","30","1","7","-1","4","1","1","3","1201"
"1","1","-1","1","5","60","1","11","-1","31","1","1","3","1202"
"1","1","-1","1","5","90","1","15","-1","61","1","1","3","1203"
"1","1","-1","1","5","120","1","19","-1","91","1","1","3","1204"
"1","1","-1","1","5","150","1","23","-1","121","1","1","3","1205"
"1","1","-1","1","5","180","1","27","-1","151","1","1","3","1206"
"1","1","-1","1","5","210","1","29","-1","181","1","1","3","1207"
"1","1","-1","1","5","240","1","31","-1","211","1","1","3","1208"
"1","1","-1","1","5","270","1","31","-1","241","1","1","3","1209"
"1","1","-1","1","5","300","1","31","-1","271","1","1","3","1210"
"1","1","-1","1","5","-1","1","31","-1","301","1","1","3","1211"
"1","1","-1","1","5","30","1","7","30","4","1","1","4","1301"
"1","1","-1","1","5","60","1","10","60","31","1","1","4","1302"
"1","1","-1","1","5","90","1","13","90","61","1","1","4","1303"
"1","1","-1","1","5","120","1","16","120","91","1","1","4","1304"
"1","1","-1","1","5","150","1","19","150","121","1","1","4","1305"
"1","1","-1","1","5","180","1","22","180","151","1","1","4","1306"
"1","1","-1","1","5","210","1","25","210","181","1","1","4","1307"
"1","1","-1","1","5","240","1","28","240","211","1","1","4","1308"
"1","1","-1","1","5","270","1","28","270","241","1","1","4","1309"
"1","1","-1","1","5","300","1","28","300","271","1","1","4","1310"
"1","1","-1","1","5","-1","1","28","310","301","1","1","4","1311"
"1","1","-1","1","5","30","1","7","-1","4","1","1","5","1401"
"1","1","-1","1","5","60","1","10","-1","31","1","1","5","1402"
"1","1","-1","1","5","90","1","13","-1","61","1","1","5","1403"
"1","1","-1","1","5","120","1","16","-1","91","1","1","5","1404"
"1","1","-1","1","5","150","1","19","-1","121","1","1","5","1405"
"1","1","-1","1","5","180","1","22","-1","151","1","1","5","1406"
"1","1","-1","1","5","210","1","25","-1","181","1","1","5","1407"
"1","1","-1","1","5","240","1","28","-1","211","1","1","5","1408"
"1","1","-1","1","5","270","1","28","-1","241","1","1","5","1409"
"1","1","-1","1","5","300","1","28","-1","271","1","1","5","1410"
"1","1","-1","1","5","-1","1","28","-1","301","1","1","5","1411"
"1","1","-1","1","3","30","1","7","-1","4","1","1","6","1501"
"1","1","-1","1","3","60","1","10","-1","31","1","1","6","1502"
"1","1","-1","1","3","90","1","13","-1","61","1","1","6","1503"
"1","1","-1","1","3","120","1","16","-1","91","1","1","6","1504"
"1","1","-1","1","3","150","1","19","-1","121","1","1","6","1505"
"1","1","-1","1","3","180","1","22","-1","151","1","1","6","1506"
"1","1","-1","1","3","210","1","22","-1","181","1","1","6","1507"
"1","1","-1","1","3","240","1","22","-1","211","1","1","6","1508"
"1","1","-1","1","3","270","1","22","-1","241","1","1","6","1509"
"1","1","-1","1","3","-1","1","22","-1","271","1","1","6","1510"
"1","1","5","1","6","30","1","7","30","4","1","1","7","1601"
"1","1","5","1","6","60","1","11","60","31","1","1","7","1602"
"1","1","5","1","6","90","1","15","90","61","1","1","7","1603"
"1","1","5","1","6","120","1","19","120","91","1","1","7","1604"
"1","1","5","1","6","150","1","23","150","121","1","1","7","1605"
"1","1","5","1","6","180","1","27","180","151","1","1","7","1606"
"1","1","5","1","6","210","1","29","210","181","1","1","7","1607"
"1","1","5","1","6","240","1","31","240","211","1","1","7","1608"
"1","1","5","1","6","270","1","31","270","241","1","1","7","1609"
"1","1","5","1","6","300","1","31","300","271","1","1","7","1610"
"1","1","5","1","6","-1","1","31","310","301","1","1","7","1611"
"1","1","5","1","5","30","1","7","30","4","1","1","8","1701"
"1","1","5","1","5","60","1","11","60","31","1","1","8","1702"
"1","1","5","1","5","90","1","15","90","61","1","1","8","1703"
"1","1","5","1","5","120","1","19","120","91","1","1","8","1704"
"1","1","5","1","5","150","1","23","150","121","1","1","8","1705"
"1","1","5","1","5","180","1","27","180","151","1","1","8","1706"
"1","1","5","1","5","210","1","29","210","181","1","1","8","1707"
"1","1","5","1","5","240","1","31","240","211","1","1","8","1708"
"1","1","5","1","5","270","1","31","270","241","1","1","8","1709"
"1","1","5","1","5","300","1","31","300","271","1","1","8","1710"
"1","1","5","1","5","-1","1","31","310","301","1","1","8","1711"
