a67cd655662b5e60c62943fef30dd413bef4bcf370d4ee6d045d7cf8a13e0b26,eae018ba1b7a5d9120920ab43c087c078004698f567b958870133cf3a9121d07,b2380d4a42e67aa3f5e0fd7cc87a87367040cadc9dfa44796f888a73a75dc948,e2341d81f4cf9737f72e754184ce3442079b9182e52335f77d7976160ac21d62,e4aac41eab6bbbbf2beb3f869c5b621da62b05c3488e0e5fae810cdb26c0d9ca,94f44ef4bb9584cdbbb1c689612736d664bccd4a23af530e529e3f65090b3c38,e1953d011f8cf964476ef56fbfb7e0eff1b1153122b7db3e94b33403a73f511f,124d0ab988b1052714054104a6e3512cd4ae91c64d69f3ed343415b343891ea3,a86837f5825c7269421a2511442e72cd7fe55fe870d3942897bc137b8779f162,f13bdec00be3f666c5df7457349f4c8c6d3e5553a118ab8ce813e5b514872804,d5ff4a8dd3a82b9057de4f8df6b31d84c564a3a8765d0a1708d3dadc135ab810,d14b29871508ed48f74839b47af4cd0b36224ca39a0608fbe2ba6d1a78ad3579,940c10f405177145b120918bc5b6eb706a6a486fb23ab8cc0f89d1960524aff8,03e7ee52a3336653ba21126f1c5f79fbbc2b883038b94d2bb36bec5af6f81dbf
"0","201","1","20001","0","0","bgm_M32","1","0","0","タルグム地方","0","bgm_M32","20001101"
"0","201","1","20001","0","0","bgm_M32","0","0","0","タルグム地方","0","bgm_M32","20001201"
"0","201","1","20002","0","0","bgm_M98_2","0","0","0","マシーナ地方","0","bgm_M98","20002101"
"0","201","1","20002","0","0","bgm_M98_2","0","0","0","マシーナ地方","0","bgm_M98","20002201"
"0","201","1","20003","0","0","bgm_M106","0","0","0","ランドソル郊外","0","bgm_M106","20003101"
"0","201","1","20003","0","0","bgm_M106","0","0","0","ランドソル郊外","0","bgm_M106","20003201"
"0","201","1","20004","0","0","bgm_M112","0","0","0","タパスビーチ周辺","0","bgm_M112","20004101"
"0","201","1","20004","0","0","bgm_M112","0","0","0","タパスビーチ周辺","0","bgm_M112","20004201"
"0","201","1","20005","0","0","bgm_M121","0","0","0","イルシオンの孤島","0","bgm_M121","20005101"
"0","201","1","20005","0","0","bgm_M121","0","0","0","イルシオンの孤島","0","bgm_M121","20005201"
"0","201","1","20006","0","0","bgm_M128","0","0","0","王都ランドソル","85","bgm_M128","20006101"
"0","201","1","20006","0","0","bgm_M128","0","0","0","王都ランドソル","0","bgm_M128","20006201"
"0","201","1","20007","0","0","bgm_M135","1","0","0","ランドソル郊外","0","bgm_M135","20007101"
"0","201","1","20007","202","80","bgm_M29","2","1","208","霊界","0","bgm_M29","20007102"
"1","201","1","20007","202","0","bgm_M135","3","1","209","ランドソル中央部","0","bgm_M135","20007103"
"31","201","1","20007","0","0","bgm_M135","1","0","0","ランドソル郊外","0","bgm_M135","20007201"
"0","201","1","20008","0","0","bgm_M162","0","0","0","ランドソル近郊","35","bgm_M162","20008101"
"0","201","1","20008","0","0","bgm_M162","0","0","0","ランドソル近郊","0","bgm_M162","20008201"
"11","201","1","20009","0","0","bgm_M171","1","0","0","サレンディア救護院","110","bgm_M171","20009101"
"0","201","1","20009","0","0","bgm_M171","1","0","0","王都ランドソル","0","bgm_M171","20009201"
"0","201","1","20010","0","180","bgm_M182","1","0","0","神殿への参道","1","bgm_M182","20010101"
"0","201","1","20010","0","0","bgm_M182","1","0","0","神殿への参道","0","bgm_M182","20010201"
"0","201","1","20011","0","0","bgm_M189","1","0","0","王都ランドソル","0","bgm_M189","20011101"
"0","201","1","20011","0","0","bgm_M189","2","0","0","キッチンスタジアム","110","bgm_M189","20011102"
"0","201","1","20011","0","0","bgm_M189","1","0","0","キッチンスタジアム","0","bgm_M189","20011201"
"0","201","1","20012","0","0","bgm_M206","1","0","0","王都ランドソル","115","bgm_M206","20012101"
"0","201","1","20012","0","0","bgm_M206","1","0","0","王都ランドソル","0","bgm_M206","20012201"
"0","201","1","20013","0","0","bgm_M215","1","0","0","ガストロス山","100","bgm_M215","20013101"
"11","201","1","20013","202","0","bgm_M215","2","1","208","光の裂け目","0","bgm_M215","20013102"
"0","201","1","20013","0","0","bgm_M215","1","0","0","光の裂け目","0","bgm_M215","20013201"
"0","201","1","20014","0","0","bgm_M223","1","0","0","オーエド町","120","bgm_M223","20014101"
"0","201","1","20014","0","0","bgm_M223","1","0","0","オーエド町","0","bgm_M223","20014201"
"12","201","1","20015","0","0","bgm_M237","1","0","0","サンレインビーチ","98","bgm_M237","20015101"
