451d72ad6b09522fc8f49b5888dd25018a64426ccf87be49d8f7709355fd678d,0f0ca7e1c8bbc2f733c9cf7440ff24e5b63f49b2e0e01b40bf048c0e543d5da1,ee6270e3bf20a33af5e10582dce025ae5fcca92c5a421d79d16160441642d182,e819e483602b996fbccc9ada66e32d4165a5f2449ed9127c6fcb9d058541fc58,eedded409c31d7923c37285bae441c7601e84544cd45cb90fe6c20848824952b,079579615e7d4573f243cfe54d513007a0b8f16000862b9178877f2c798a9cf2,8c4e1f742557f4ebed6ac23fb1e1b149f22755fa76bd3716080d48e898eae781
"1","0","1","0","3","料理入手イベント","0"
"2","0","2","0","1","ダイス入手イベント1","0"
"3","0","2","0","2","ダイス入手イベント2","0"
"4","3","3","0","0","ターン数カウントスキップ","1"
"5","2","4","1","100","マイル+100%","0"
"6","2","5","1","100","ミニゲームマイル+100%","0"
"7","3","6","1","300","ショップ割引イベント","0"
"8","3","6","1","300","ショップ割引イベント","0"
"98001","3","3","0","0","ターン数カウントスキップ1","2"
"98011","3","3","0","0","ターン数カウントスキップ1","1"
"98012","3","3","0","0","ターン数カウントスキップ2","2"
