dba4cec30bf9f5b9788c46b99db7e99877725be05b8db4e80c34def6b4a0be29,4010f99cdab12ba79d9de5960984727d55ceff747600c9d4edc470f4e2815de9,f848cf4d6f1e7d93ede5bd5a13cc2230774cb531ffabc6b4e2be9bac745e6bc0,61d88b55df442f9c5830068ee2af7c7f38b65a25363ae06a1aefacd6bbe685f1,f3ecbea1eba4ab46b455d3af0c9b2ad5e9c5d8e4e17ba0524eda169088dbab06,93c53928773cf19e00d56427f0a072b9f5d7e9555a3cf8aaab655c6dfc8a7551,f702512e1e59796b44eac708bccd51330d1c0b67e141dfb48088710f5df7f771,64b3e67e34b1db8bdae4a1b541e02987decc2a56b0d320c2e7f6b4db67539f2e
"-401","-90","1","182","1","71","170","1"
"-401","-90","1","182","2","81","170","2"
"-255","90","1","182","3","121","255","3"
"-255","90","1","182","4","131","255","4"
"-255","90","1","182","5","141","255","5"
"-107","-80","1","176","6","191","229","6"
"-107","-80","1","176","7","201","229","7"
"136","-85","1","151","8","271","218","8"
"136","-85","1","151","9","281","218","9"
"136","-85","1","151","10","291","218","10"
"280","80","1","219","11","331","156","11"
"280","80","1","219","12","341","156","12"
"280","80","1","219","13","351","156","13"
"417","-97","1","183","14","401","213","14"
"417","-97","1","183","15","411","213","15"
"-259","-73","2","229","2","451","242","1"
"-222","124","2","179","4","481","226","2"
"-101","-67","2","192","6","501","219","3"
"-26","-27","2","190","8","521","168","4"
"117","-50","2","260","11","551","192","5"
"241","120","2","138","14","601","159","6"
"241","120","2","138","14","611","159","7"
"243","-71","2","229","14","621","224","8"
"-353","32","3","43","1","781","71","1"
"-228","-30","3","268","2","801","235","2"
"-243","144","3","45","3","831","80","3"
"20","-76","3","225","4","851","221","4"
"230","-74","3","222","5","861","211","5"
"-100","44","3","136","6","891","115","6"
"-100","44","3","136","7","901","115","7"
"116","76","3","250","8","991","306","8"
"116","76","3","250","9","1001","306","9"
"116","76","3","250","10","1011","306","10"
"322","40","3","188","11","1041","96","11"
"322","40","3","188","12","1051","96","12"
"-211","-6","4","272","1","1091","294","1"
"-288","129","4","115","2","1101","92","2"
"-288","129","4","115","3","1111","92","3"
"-58","128","4","174","4","1121","135","4"
"143","133","4","184","5","1151","222","5"
"-277","-129","4","98","6","1161","134","6"
"-277","-129","4","98","7","1171","134","7"
"-60","-12","4","70","8","1211","67","8"
"-60","-12","4","70","9","1221","67","9"
"116","-55","4","185","10","1231","132","10"
"-17","-103","4","89","11","1261","93","11"
"-17","-103","4","89","12","1271","93","12"
"232","23","4","239","13","1311","150","13"
"-289","-161","5","72","1","1391","114","1"
"-289","-161","5","72","2","1401","114","2"
"-261","80","5","248","3","1411","228","3"
"-103","-91","5","211","4","1431","223","4"
"-87","95","5","181","5","1471","186","5"
"69","-122","5","176","6","1551","132","6"
"69","-122","5","176","7","1561","132","7"
"54","91","5","184","8","1611","143","8"
"204","45","5","247","9","1641","211","9"
"308","141","5","167","10","1651","137","10"
"282","-46","5","174","11","1661","175","11"
"-252","-11","6","240","1","1741","222","1"
"-19","-96","6","245","2","1761","311","2"
"-46","95","6","221","3","1771","261","3"
"152","83","6","237","4","1781","166","4"
"227","-100","6","229","5","1782","183","5"
"-249","-46","7","183","1","1811","223","1"
"-159","54","7","247","2","1881","337","2"
"30","-70","7","191","3","1921","202","3"
"173","0","7","215","4","1941","176","4"
"292","77","7","236","5","1981","204","5"
"-472","89","8","254","1","2001","209","1"
"-375","-77","8","282","2","2031","250","2"
"-280","110","8","223","3","2051","241","3"
"-148","-85","8","270","4","2101","243","4"
"3","74","8","264","5","2131","274","5"
"155","-36","8","302","6","2171","321","6"
"283","82","8","277","7","2201","199","7"
"374","0","8","344","8","2271","349","8"
"-275","-30","9","301","1","2321","240","1"
"-132","-115","9","108","2","2361","106","2"
"-132","-115","9","108","3","2371","106","3"
"-73","32","9","246","4","2381","202","4"
"-43","-140","9","84","5","2411","114","5"
"-43","-140","9","84","6","2421","114","6"
"50","65","9","84","8","2461","86","7"
"50","65","9","84","9","2471","86","8"
"80","-110","9","137","10","2481","185","9"
"80","-110","9","137","11","2491","185","10"
"131","24","9","377","7","2521","301","11"
"280","-50","9","305","12","2531","190","12"
"-527","-137","10","145","3","2601","123","1"
"-527","-137","10","145","4","2611","123","2"
"-379","35","10","295","1","2621","408","3"
"-299","103","10","192","2","2622","171","4"
"-138","-64","10","244","6","2623","342","5"
"-47","9","10","254","5","2701","224","6"
"131","-88","10","204","8","2781","253","7"
"89","23","10","139","9","2791","110","8"
"89","23","10","139","10","2801","110","9"
"275","42","10","249","7","2811","292","10"
"274","-120","10","151","11","2821","126","11"
