5ca30916f3f5b101b845b6531317d3f9ba2e684ad5f10eeea4055ef07cb689ef,9817872198b67022ca95c97cd1dd6eeb4d3408c041c2b780c736c65c2d77dbb6,6f684b435e1c0f69df77e364fd033dda85fcb02113892b08219dfae5638b34db,16b1086cf2cf97290f70da46ee51ff66486b3f83c30c38d4004bef869babd128
"1","180701","1001","4"
"2","180701","1002","4"
"3","180701","1003","4"
"4","180701","1004","4"
"5","180701","1005","4"
"6","180701","1014","2"
"7","180701","1015","2"
"8","180701","1016","2"
"9","180701","1017","2"
"10","180701","1010","2"
"11","180701","1011","2"
"12","180701","1012","2"
"13","180701","1013","2"
"14","180801","1001","6"
"15","180801","1002","6"
"16","180801","1003","6"
"17","180801","1004","6"
"18","180801","1005","6"
"19","180801","1014","3"
"20","180801","1015","3"
"21","180801","1016","3"
"22","180801","1017","4"
"23","180801","1010","3"
"24","180801","1011","3"
"25","180801","1012","3"
"26","180801","1013","3"
"27","180801","1009","3"
"28","180901","1001","4"
"29","180901","1002","4"
"30","180901","1003","4"
"31","180901","1004","4"
"32","180901","1005","4"
"33","180901","1014","2"
"34","180901","1015","2"
"35","180901","1016","2"
"36","180901","1017","4"
"37","180901","1010","2"
"38","180901","1011","2"
"39","180901","1012","2"
"40","180901","1013","2"
"41","181001","1001","4"
"42","181001","1002","4"
"43","181001","1003","4"
"44","181001","1004","4"
"45","181001","1005","4"
"46","181001","1009","2"
"47","181001","1010","2"
"48","181001","1011","2"
"49","181001","1012","2"
"50","181001","1013","2"
"51","181001","1014","2"
"52","181001","1015","2"
"53","181001","1016","2"
"54","181001","1017","2"
"55","181101","1001","4"
"56","181101","1002","4"
"57","181101","1003","4"
"58","181101","1004","4"
"59","181101","1005","4"
"60","181101","1009","2"
"61","181101","1010","2"
"62","181101","1012","2"
"63","181101","1013","2"
"64","181101","1014","2"
"65","181101","1015","2"
"66","181101","1016","2"
"67","181101","1017","2"
