e166fd798e436ceffa2c46e4acc1690737aadc739abfac729053bfb5b5d59f22,0f954a6b535090295642715592e52007c8a4dd2711805bbd0ace11cfdfd60a1d,1a7ae2575a6236c92e824f376beba3c972aee03e5086938f7b6013759a5cf965,020dee1888a34131c27029c60825086e6902abc107b1b5d474065310eb434fb8,683a6b570ca4802526c2671f1b1130f61f90de3c87ae1c8334edb4b3a145d2b6,30ccd6d2b1ec7f853d61d1def58b81ade9e9407a677719b295595d2bda05dd94,265d76998b3d29879fca138da1810884d5464790c553f03aeef495bf0405306d
"11011","11012","2","1101","2","ギルド管理協会です！どんなお仲間をお探しですか？","0"
"11021","11022","2","1102","2","ギルド管理協会です！どんなお仲間をお探しですか？","0"
"11031","11032","2","1103","2","ギルド管理協会です！どんなお仲間をお探しですか？","0"
"11041","11042","2","1104","2","ギルド管理協会です！どんなお仲間をお探しですか？","0"
"11051","11052","4","1105","4","魔物たちが集まる闘技場を見つけた！","0"
"11073","11072","7","1107","7","不思議な石板を発見！どうする？","11071"
"11082","11081","8","1108","8","ダンジョンで迷った！どっちに進む？","0"
"11091","11092","4","1109","4","魔物たちが集まる闘技場を見つけた！","0"
"11101","11102","3","1110","3","じゃんけん……ぽん！","11103"
"11111","11112","10","1111","10","箱の中から声が聞こえる……","0"
"11121","11122","11","1112","11","イベント会場に魔物が現れた！","0"
"11131","11132","4","1113","4","魔物たちが集まる闘技場を見つけた！","0"
"11171","11172","4","1117","4","魔物たちが集まる闘技場を見つけた！","0"
"13141","0","5","1314","5","釣りスポットを発見！","0"
"13151","0","9","1315","9","絶好のピクニック日和だ！","0"
"13161","0","6","1316","6","スロットマシンだ！挑戦する？","0"
"23141","0","5","2314","5","ラッキー！もう一回釣れるぞ！","0"
"23152","23151","9","2315","9","料理ができた！でも、まだ材料はあるぞ！","0"
"23162","23161","6","2316","6","もう一勝負だ！","0"
"33141","0","5","3314","5","ラストもう一回！","0"
"33152","33151","9","3315","9","完璧！でも、まだまだ材料はあるぞ！","0"
"33162","33161","6","3316","6","ラスト一発！","0"
