070e1278e471d14eb6d79fd41b06bf8648674915f21501057315f4fc4d958a36,1e436f348bd5992e7ee265c1159a3663e617e5dc694820e4d0ac59879a7b3ae4,2040508b248acba1c4dd307ca2242fe1ece418c27a55aa2d989a8da7e43b6ea6,c067952b8d85eeebb125c49998df557ad39fd81aa6a84df7b4bc2a74cb9ddfc7
"1","1","10000","ＨＰ"
"2","1","10000","物理攻撃力"
"3","1","10000","物理防御力"
"4","1","10000","魔法攻撃力"
"5","1","10000","魔法防御力"
"6","1","10000","物理クリティカル"
"7","1","10000","魔法クリティカル"
"8","0","1","回避"
"9","0","1","ＨＰ吸収"
"10","0","1","ＨＰ自動回復"
"11","0","1","ＴＰ自動回復"
"12","0","1","物理貫通ダメージ"
"13","0","1","魔法貫通ダメージ"
"14","0","1","ＴＰ上昇"
"15","0","1","回復量上昇"
"16","0","1","ＴＰ消費軽減"
"17","0","1","命中"
"100","1","100","物理クリティカルダメージ"
"101","1","100","魔法クリティカルダメージ"
"102","1","100","物理与ダメージ"
"103","1","100","魔法与ダメージ"
"104","1","10000","属性ボーナス"
