856081a80ca2b62eac797cd683b9541a1c69c82077f44e938c127b427ade6daa,376881aebfd57804d0cd354cd93070449d4b38d019ad289bc41f7de87e2bf523,e516335ce69ce4548be55aa900359b2883f0181cb644d7b45a53c52ed3b2a456,527a227d8bbf76b0081d4cab27d7bd1321132032d8e6aa93377cae1c56355977,9e75ee32c09f7b8758811f5605bf7dde3f55414693df20c5cb8c649d43808346,2fe6050bd114174ad77886c9961233cf3e4bf261e8995d11a4cb4def41a398bc,3c90aa9d959f5b1af70cc547813ea20f6b8bb693cc7ab0c837c2e459e49ea9c3,61b98b787e11b939a0bf73ed564935514437ce69328ee7a562af58fc6cf852a6,8d6cf2721cae800a3b429d169e689bbea8e303c8d2fcb95cdcbda5459d9bfd02,fcbef3b0866de41f2c28deccfe071f0c252f1aca894190c885e4f182c4b51cee,7483bf151d583beb3e109ad3c3467f0dc7cdf2af1002c6cee45a0aee1ac0c358,cd19723157b4cee3df0f13a588c05736ba177074987e2e49d12dd8821e066818,486b58436c22fa38173d4a39451e620bf36a90ab16f81e0499c6f330ef476fc4,867ab8adfc57161e8776865974ce04dd8526ed74f64f6ed6a069e909d627c283,32d6a1cb259e224ad9c8bd7fe28cb088f2f1fa7b7534cb39f267a23fff549ea1,6ca1aae93e82987029caa331b4c6c07956fa7dd82f16a9fb3d9ad305f036ce6c,d45a827fd801a1e7f84e7590edef25a0c430c621946901f691c8a4e036da6a92,e67600efd734e10e75920631bfe2a4af27e2ab9cc11045441e5ef10d6a679768,c91d61279ab23a0066922cef0d6487357d54384e20a662c07a1123d5c19ed32d,2eb6caf570488c32b3b8ae0a396daeff034d0901bb9090ee31aa2ef9fcb6eed5,0eaf1c125ca36d8c15365f6547c8dab4661587b1c8d85c6c2027ed943e180646
"901000106","0","0","0","901000105","0","512000011","0","0","0","901000102","ラストバトル","0","51200001","0","0","90","2000001","100182","901000103","0"
"0","512000022","100022","bgm_M06","901000104","bgm_M06","512000021","0","bgm_M06","0","901000201","チュートリアルバトル","0","51200002","0","0","90","2000002","100021","901000202","bgm_M06"
"0","512000022","100022","bgm_M06","901000104","bgm_M06","512000021","0","bgm_M06","0","901000201","チュートリアルバトル","0","51200006","0","0","90","2000006","100021","901000202","bgm_M06"
"0","0","0","bgm_M17_03_and_M29","901000303","0","520030051","0","0","0","901000301","ADVバトル","0","52003005","0","0","90","2003005","100671","901000302","bgm_M17"
"0","0","0","bgm_M06","901000403","0","520040021","0","0","0","901000401","ADVバトル","0","52004002","0","0","90","2004002","100011","901000402","bgm_M06"
"0","0","0","bgm_M47","0","0","550010041","0","0","0","901000501","ジズバトル","0","55001004","0","0","90","5001004","81000111","0","bgm_M47"
"0","0","0","bgm_M47","901000502","0","550010041","0","0","0","901000401","ジズバトル","0","55001006","0","0","90","5001006","81000106","901000501","bgm_M47"
"0","0","0","bgm_M102","901000603","0","550020051","0","0","0","901000601","アルマバトル","0","55002005","0","0","90","5002005","81000205","901000602","bgm_M102"
"0","0","0","bgm_M102","901000603","0","550020052","0","0","0","901000601","アルマバトル","0","55002006","0","0","90","5002006","81000206","901000602","bgm_M102"
"901000703","0","0","bgm_M109","901000702","0","550030061","0","0","0","901000601","ガルグバトル","0","55003006","0","0","90","5003006","81000305","901000701","bgm_M109"
"901000803","0","0","bgm_M116","901000802","0","550040051","0","0","0","901000601","水着バトル","0","55004005","0","0","90","5004005","100931","901000801","bgm_M116"
"901000903","0","0","bgm_M124","901000902","0","550050061","0","0","901000904","901000906","島クジラバトル","0","55005006","0","0","90","5005006","81000505","901000901","bgm_M124"
"901001003","0","0","bgm_M192","901001002","0","550110051","0","0","0","901000906","バレンタインボスバトル","0","55011005","0","0","90","5011005","81001105","901001001","bgm_M192"
"0","0","0","0","901001003","0","550110051","0","0","0","901001001","バレンタインボスバトル","0","55011006","0","0","90","5011006","81001106","901001002","0"
