f291054fbb70bbbabfad3ab818a8ec83914548b25865887d68916df9a8a9af0d,478dabb7eca99cab621f1e4f430d7d45d99e7ea66a9fce0c1ddeec7a8f31644d,94d664ec10a1d0e0a286375a59e342bdeab27509ba158728b9075ae43f2fad1b,f5f429b461af799420533b4a4c1633059a81549aabc7adf647f05898847397e9,f808f7cd31ef53bd35352333d4bb137b682159522cd5e78b4fabe7e183a0c7d9,87e281ba41088642f405a44220101a6283097e0c90df49232bcec731b2f69824,a8b312518cd1b5612d03412a55ec67b45c89d25878b74adf191b69d810864c7f,575554ceadc032e7ceb7a69d95e2835e2214077c3f1e4c49e34b4c0bcd8d68a5,b06fea8e816ff302ded0831af08fbf9bfa51075e3e35a43da8a7a2c72a0253f6,3487dde25e6856411c2421db37a2fc51e9324cad863e387fb49977602e21ac7c,d5a45d85d20319099dc4b4550ac745042f8a1278b47ac8f402de95163afa76ee,440500b315286613034504165694a35cd8b89c9fefa54ed084b1d169315b7669,e869a0fd8e691511cdabc18902fd606d98d5c23da0d88d8ed0b84ff7210221a1,255f7b080f9d8c784a35f85ae5144a181b4a0460302be53f507ee93321a157b2,5e6d5b981970f1ab7b62dc50845807e3602f91d1745abf5785d2ec0ca458004d,f0427a4ea7c9ed039533711b01b327f2c8af69042b3bea47aad11f5f473fa264
"3","70","301","1008201","215","401","501","101","2","455","1","1","980","-110","2","201"
"3","70","302","1008202","215","402","502","102","2","230","1","2","515","-110","2","202"
"3","70","303","1008203","215","403","503","103","2","230","1","3","515","-110","1","203"
"3","70","304","1008204","215","404","504","104","2","230","1","4","515","-110","1","204"
"3","78","305","1008205","233","405","505","105","2","355","1","5","787","-110","2","205"
"3","78","306","1008206","233","406","506","106","2","355","1","6","787","-110","3","206"
"3","88","307","1008207","233","407","507","107","2","345","1","7","777","-110","3","207"
"3","88","308","1008208","233","408","508","108","2","345","1","8","777","-110","1","208"
"3","88","309","1008209","233","409","509","109","2","345","1","9","777","-110","1","209"
"3","88","310","1008210","233","410","510","110","2","355","1","10","810","-110","3","210"
"3","88","311","1008211","233","411","511","111","2","345","1","11","777","-110","2","211"
"3","70","312","1008212","215","412","512","112","2","230","1","12","515","-110","2","212"
"3","78","313","1008213","233","413","513","113","2","355","1","13","810","-110","1","213"
"3","70","314","1008214","215","414","514","114","2","230","1","14","515","-110","1","214"
"3","70","315","1008215","215","415","515","115","2","230","1","15","515","-110","3","215"
"3","70","316","1008216","215","416","516","116","2","275","1","16","655","-110","2","216"
"3","70","317","1008217","215","417","517","117","2","230","1","17","515","-110","3","217"
"3","88","318","1008218","233","418","518","118","2","345","1","18","777","-110","3","218"
