aae536f860a1152bdb60c44c37986dc42e8b93c479c601c9abc29653d635640e,bcfb091caa447a9022ac70389858f75b69deef314931c804f7cdc10edaee416f,5c6df65fdd631f165d7cebe93d977c6134b15b906b85b09e8e1acdf206e1db03,b153570aabacf4eb5cddeecc4b605c36c81f5c8ad54b5634c7ae18a3689cdd0b,024c07ba3ec61a60ac6806bf816de66aa0e674c82dbd34114f6758a7033bb783,0c9752c5d32643b383a422e7d0f178fa8a5f070418ea64c9db959be725a391ae,41599dd11876416941a9f10b7835f6a29fa6c4141f45be32edec10aa66d3b318,193c29f239b0e7a8a99ec0c7a680d4e901e15dbd79445f383fcb4be701d1faf7,83280ef5c36ec99bb89baa356cf31088e05a9cedb16216457cc116e5cdaaf8e5,f3c8f3b5c2530e887c901458e0c352073d62e98d97466985ce7913ca3318eef6,dedab6d48155eabf7e18dd10c7c5f3c42f5223349e3de5199c8c90e8189a114c
"1.4","-103","100","idle_normal","1","1","-216","5","1","1001","1"
"0","1","-57","","13","1","-140","31","13","1002",""
"0","1","-57","","14","1","-140","31","14","1003",""
"","","","","0","1","","91","0","1004",""
"0.2","1","0","","top_luis_arm_crossed_in","1","top_luis_arm_crossed_idle","3","1","1005","0"
"","","","","0","1","","93","4","1006",""
"0.2","1","0","","top_luis_approach_in","1","top_luis_approach_idle","3","1","1007","0"
"","","","","0","1","","93","3.5","1008",""
"0.2","","1","","top_luis_thinking","1","","3","1","1009",""
"","","","","0","1","","93","3.5","1010",""
"0.2","","1","","top_luis_walk_think","1","","3","1","1011",""
"","0","-103","","-495","1","2","2","1","1012",""
"","","","","0","1","","93","2","1013",""
"","","","","0","1","","4","1","1014",""
"","0","-103","","-216","1","2","2","1","1015",""
"","","","","0","1","","93","2","1016",""
"0","","1","","top_luis_notice","1","","3","1","1017",""
"","","","","0","1","","93","1","1018",""
"0.2","","1","","top_luis_walk_jog","1","","3","1","1019",""
"","0","-130","","-100","1","0.5","2","1","1020",""
"","","","","0","1","","93","0.5","1021",""
"","","","","1","1","","4","1","1022",""
"0.2","1","0","","top_luis_sit_in","1","top_luis_sit_idle","3","1","1023","0"
"","","","","0","1","","93","0.1","1024",""
"","0","-140","","-57","1","0.4","2","1","1025",""
"","","","","0","1","","93","1","1026",""
"0.2","","0","","top_luis_experiment_failer_in","1","","3","1","1027",""
"","","","","0","1","","93","2.3","1028",""
"0.1","","0","","top_luis_experiment_failer_mix","1","","3","1","1029",""
"","","","","0","1","","93","2.7","1030",""
"","","","","1","1","","32","13","1031",""
"0.1","","0","","top_luis_experiment_failer_burst","1","","3","1","1032",""
"","","","","0","1","","93","2.7","1033",""
"0.1","","0","","top_luis_experiment_failer_out","1","","3","1","1034",""
"","","","","0","1","","93","1.1","1035",""
"0.2","1","0","","top_luis_sit_out","1","idle_normal","3","1","1036","0"
"","0","-130","","-100","1","0.3","2","1","1037",""
"","","","","0","1","","93","1","1038",""
"0.2","","0","","walk_normal","1","","3","1","1039",""
"","0","-103","","-216","1","1","2","1","1040",""
"","","","","0","1","","93","1","1041",""
"0.1","","0","","idle_normal","1","","3","1","1042",""
"","","","","0","1","","93","0.8","1043",""
