2ea7fc6afe8aeb28482a27d56087bb4add7e3cb64761a82c5c75e92148f7545a,00ddac583f0585e11b3177db33a503f2acf0557e1013e6b8c9e01e09ec710f94,63679609f053aeefd2d89b8b88fc1a32bdb63df0a8eb5ae1f0d461497a3ae581,688f78339799d47fefd742c2ebd12a4eab3ac67f6ec068eeeb109b1d6cc269f7,3d7058c135cc3e964c0396d854ad5eef90b89c04b745174c26e7dc104bd32379,d0526832ce12bf33c897c65ad14e180c6c5b0cd350ba7f30f45971e8122f759e,c6c9c4db0b24eb3262beca8902440996261b771282537bd876fe1dc5af0ce85e,33e53c59d364c1f40c520d0545748aafff69b8b28ed582d4477c48965321f482,ca5d8e1f7a6f2fe6408e407ba8c52a9c140edc66f2de07877255831594e93e42
"1","21600","","2","1","2","23001","","1"
"2","19800","","3","1","2","23001","","1"
"3","18000","","3","1","2","23001","","1"
"4","16200","","3","1","2","23001","","1"
"5","14400","","4","1","2","23001","","1"
"6","12960","","4","1","2","23001","","1"
"7","11520","","5","1","2","23001","","1"
"8","10080","","6","1","2","23001","","1"
"9","8640","","7","1","2","23001","","1"
"10","7200","","8","1","2","23001","","1"
"11","5760","","10","1","2","23001","","1"
"12","5040","","12","1","2","23001","","1"
"13","4320","","14","1","2","23001","","1"
"14","7200","","16","1","2","23001","","2"
"15","5400","","18","1","2","23001","","2"
"16","5040","","18","1","2","23001","","2"
"17","4800","","18","1","2","23001","","2"
"18","4500","","20","1","2","23001","","2"
"19","4320","","20","1","2","23001","","2"
"20","6000","","24","1","2","23001","","3"
"21","5700","","48","1","2","23001","","3"
"22","5400","","48","1","2","23001","","3"
"23","5220","","51","1","2","23001","","3"
"24","4980","","54","1","2","23001","","3"
"25","4800","","54","1","2","23001","","3"
"26","4500","","60","1","2","23001","","3"
"27","4320","","60","1","2","23001","","3"
"28","4200","","63","1","2","23001","","3"
"29","5400","","64","1","2","23001","","4"
"30","5220","","68","1","2","23001","","4"
"31","5040","","72","1","2","23001","","4"
"32","4920","","72","1","2","23001","","4"
"33","4800","","72","1","2","23001","","4"
"34","4680","","76","1","2","23001","","4"
"35","4500","","80","1","2","23001","","4"
"36","4320","","80","1","2","23001","","4"
"1","21600","","80","2","6","93001","","20"
"2","21600","","96","2","6","93001","","24"
"3","21600","","112","2","6","93001","","28"
"4","21600","","120","2","6","93001","","30"
"5","21600","","128","2","6","93001","","32"
"6","21600","","136","2","6","93001","","34"
"7","21600","","144","2","6","93001","","36"
"8","21600","","152","2","6","93001","","38"
"9","21600","","160","2","6","93001","","40"
"10","21600","","168","2","6","93001","","42"
"11","21600","","176","2","6","93001","","44"
"12","21600","","184","2","6","93001","","46"
"13","21600","","192","2","6","93001","","48"
"14","21600","","200","2","6","93001","","50"
"15","21600","","208","2","6","93001","","52"
"16","21600","","216","2","6","93001","","54"
"17","21600","","224","2","6","93001","","56"
"18","21600","","232","2","6","93001","","58"
"19","21600","","240","2","6","93001","","60"
"20","21600","","248","2","6","93001","","62"
"21","21600","","256","2","6","93001","","64"
"22","21600","","264","2","6","93001","","66"
"23","21600","","272","2","6","93001","","68"
"24","21600","","280","2","6","93001","","70"
"25","21600","","288","2","6","93001","","72"
"26","21600","","296","2","6","93001","","74"
"27","21600","","304","2","6","93001","","76"
"28","21600","","312","2","6","93001","","78"
"29","21600","","320","2","6","93001","","80"
"30","21600","","328","2","6","93001","","82"
"31","21600","","336","2","6","93001","","84"
"32","21600","","340","2","6","93001","","85"
"33","21600","","344","2","6","93001","","86"
"34","21600","","348","2","6","93001","","87"
"35","21600","","352","2","6","93001","","88"
"36","21600","","356","2","6","93001","","89"
"1","14400","","3","3","2","20001","","1"
"2","9600","","5","3","2","20001","","1"
"3","7200","","7","3","2","20001","","1"
"4","5400","","10","3","2","20001","","1"
"5","3600","","15","3","2","20001","","1"
"6","9600","","6","3","2","20002","","1"
"7","7200","","8","3","2","20002","","1"
"8","4800","","12","3","2","20002","","1"
"9","3600","","16","3","2","20002","","1"
"10","2700","","20","3","2","20002","","1"
"11","10800","","6","3","2","20003","","1"
"12","9000","","8","3","2","20003","","1"
"13","7200","","12","3","2","20003","","1"
"14","5400","","16","3","2","20003","","1"
"15","3600","","20","3","2","20003","","1"
"16","2880","","30","3","2","20003","","1"
"17","12600","","7","3","2","20004","","1"
"18","11400","","8","3","2","20004","","1"
"19","10200","","9","3","2","20004","","1"
"20","9300","","10","3","2","20004","","1"
"21","8700","","10","3","2","20004","","1"
"22","6600","","13","3","2","20004","","1"
"23","6300","","14","3","2","20004","","1"
"24","6000","","15","3","2","20004","","1"
"25","5700","","15","3","2","20004","","1"
"26","5400","","16","3","2","20004","","1"
"27","5100","","17","3","2","20004","","1"
"28","4860","","18","3","2","20004","","1"
"29","4620","","19","3","2","20004","","1"
"30","4440","","20","3","2","20004","","1"
"31","4260","","21","3","2","20004","","1"
"32","4080","","22","3","2","20004","","1"
"33","3960","","22","3","2","20004","","1"
"34","3840","","23","3","2","20004","","1"
"35","3720","","24","3","2","20004","","1"
"36","3600","","24","3","2","20004","","1"
"1","21600","","12000","4","12","94002","","3000"
"2","21600","","18000","4","12","94002","","4500"
"3","21600","","24000","4","12","94002","","6000"
"4","21600","","30000","4","12","94002","","7500"
"5","21600","","42000","4","12","94002","","10500"
"6","21600","","54000","4","12","94002","","13500"
"7","21600","","66000","4","12","94002","","16500"
"8","21600","","84000","4","12","94002","","21000"
"9","21600","","102000","4","12","94002","","25500"
"10","21600","","120000","4","12","94002","","30000"
"11","21600","","144000","4","12","94002","","36000"
"12","21600","","168000","4","12","94002","","42000"
"13","21600","","192000","4","12","94002","","48000"
"14","21600","","222000","4","12","94002","","55500"
"15","21600","","252000","4","12","94002","","63000"
"16","21600","","282000","4","12","94002","","70500"
"17","21600","","318000","4","12","94002","","79500"
"18","21600","","354000","4","12","94002","","88500"
"19","21600","","390000","4","12","94002","","97500"
