2ddf6b7af4b1645ac19f7da3662f2d12fd4efd3d313b5cc8c6420bdfff65f5a6,1058dfcdb4858111d8392346db0f062cbe8cf0cb7f0555b2c59c2c883b01085b,0ebe3d5b5cbc3566acc1263cddbeed93993cfa5287e9dd6cb73c3ff8d66d6c7e,aec7a9a7e8235364190d2607dc0d9433f1aa9b36ea874b172e63698bde33dc9b,1fea7741bdad440db0948d6772984b438878fe98aadec732704ec604d2821226,b93fa3725995f43a87a98b65818fa4d1b1ed1dafc8bdabb5d37d2882b855af9d,d64902a52f46d0b80017ffa241614b06a4246414d601d2b16a69255eada3d7ac,f65a78e530e0d04e901da9fbf605c15a3ed30b51516799f07db07a1d4a5c0cd1,7ab639f6845ccd156a3302ec8b48961a8611f1b72306819ee29c4a21bff282ed,00db9b507172748366f6dee3bc3f4f77610f14ffd02c36cc5dbe1fd78013576e,0c0e403f62c4501ad654184515d12eb364424716acac4958e6a1613ee0c0e025,dbb28bc2c1d8181bd945c13f8067816f1b0dd41f97a5ccd60682e05b649bf841
"0","0","1","0","0","0","0","1","4","1","3","1010001"
"vo_minigame_1005","0","2","vo_minigame_1005_nikki01_000","0","0","0","0","2","1","0","1010002"
"0","1","3","0","0","202","1.418","0","1","1","0","1010003"
"0","0","4","0","0","0","0","1.858","4","1","1","1010004"
"0","2","5","0","0","316","2.536","0","1","1","0","1010005"
"0","0","6","0","0","0","0","3.484","4","1","1","1010006"
"vo_minigame_1005","0","7","vo_minigame_1005_nikki01_001","0","0","0","0","2","1","0","1010007"
"0","3","8","0","0","121","1.131","0","1","1","0","1010008"
"0","0","9","0","0","0","0","1.407","4","1","1","1010009"
"0","3","10","0","121","276","1.043","0","1","1","0","1010010"
"0","0","11","0","0","0","0","1.719","4","1","1","1010011"
"0","3","12","0","276","389","0.69","0","1","1","0","1010012"
"0","0","13","0","0","0","0","0.69","4","1","1","1010013"
"0","4","14","0","0","224","1.694","0","1","1","0","1010014"
"0","0","15","0","0","0","0","2.204","4","1","1","1010015"
"0","4","16","0","224","384","1.298","0","1","1","0","1010016"
"0","0","17","0","0","0","0","1.298","4","1","1","1010017"
"0","5","18","0","0","131","1.118","0","1","1","0","1010018"
"0","0","19","0","0","0","0","1.199","4","1","1","1010019"
"0","5","20","0","131","244","0.958","0","1","1","0","1010020"
"0","0","21","0","0","0","0","1.269","4","1","1","1010021"
"0","5","22","0","244","394","1.373","0","1","1","0","1010022"
"0","0","23","0","0","0","0","1.373","4","1","1","1010023"
"0","6","24","0","0","25","0.193","0","1","1","0","1010024"
"0","0","25","0","0","0","0","0.552","4","1","1","1010025"
"0","6","26","0","25","368","2.64","0","1","1","0","1010026"
"0","0","27","0","0","0","0","3.195","4","1","1","1010027"
"0","7","28","0","0","65","0.599","0","1","1","0","1010028"
"0","0","29","0","0","0","0","0.929","4","1","1","1010029"
"0","7","30","0","65","252","1.302","0","1","1","0","1010030"
"0","0","31","0","0","0","0","2.395","4","1","1","1010031"
"vo_minigame_1005","0","32","vo_minigame_1005_nikki01_002","0","0","0","0","2","1","0","1010032"
"0","8","33","0","0","271","2.09","0","1","1","0","1010033"
"0","0","34","0","0","0","0","2.512","4","1","1","1010034"
"0","8","35","0","271","400","0.868","0","1","1","0","1010035"
"0","0","36","0","0","0","0","0.907","4","1","1","1010036"
"0","9","37","0","0","315","2.214","0","1","1","0","1010037"
"0","0","38","0","0","0","0","2.562","4","1","1","1010038"
"0","10","39","0","0","242","1.65","0","1","1","0","1010039"
"0","0","40","0","0","0","0","2.654","4","1","1","1010040"
"vo_minigame_1005","0","41","vo_minigame_1005_nikki01_003","0","0","0","0","2","1","0","1010041"
"0","10","42","0","242","345","0.685","0","1","1","0","1010042"
"0","0","43","0","0","0","0","1.036","4","1","1","1010043"
"0","10","44","0","345","397","0.378","0","1","1","0","1010044"
"0","0","45","0","0","0","0","0.378","4","1","1","1010045"
"0","11","46","0","0","377","2.438","0","1","1","0","1010046"
"0","0","47","0","0","0","0","3.395","4","1","1","1010047"
"vo_minigame_1005","0","48","vo_minigame_1005_nikki01_004","0","0","0","0","2","1","0","1010048"
"0","12","49","0","0","83","0.642","0","1","1","0","1010049"
"0","0","50","0","0","0","0","1.061","4","1","1","1010050"
"0","12","51","0","83","159","0.539","0","1","1","0","1010051"
"0","0","52","0","0","0","0","0.877","4","1","1","1010052"
"0","12","53","0","159","316","1.135","0","1","1","0","1010053"
"0","0","54","0","0","0","0","2.635","4","1","1","1010054"
"0","0","1","0","0","0","0","1","4","2","3","1020001"
"vo_minigame_1005","0","2","vo_minigame_1005_nikki02_000","0","0","0","0","2","2","0","1020002"
"0","1","3","0","0","345","2.91","0","1","2","0","1020003"
"0","0","4","0","0","0","0","3.814","4","2","1","1020004"
"vo_minigame_1005","0","5","vo_minigame_1005_nikki02_001","0","0","0","0","2","2","0","1020005"
"0","2","6","0","0","239","1.67","0","1","2","0","1020006"
"0","0","7","0","0","0","0","2.19","4","2","1","1020007"
