3510f64696172670f7299c1b367bba872754f4c3454dcf0545ea57aae96ee8e4,e96b63f2c50ae3eb9be73d8b42c0b658cb620f0a2fe797a83a51712ffe916d1d,3476e2fd1c4cac7be7915f6c48a70f333bb6b83392fda597c00802a6f9d4a779,8bde7c26c3266158645168d7d2cc4785c917608cbe4792c400373068a737c918,fa966bbbc6fc9eb30d99cdeba7eb5c097afbc4730df0b0fcd5a5639c454c906a,73ee9e413e2cf754ba70c3cae728eea29884122ce5a72e3c40a2d59146d4b65a,33bb76db035c9afd565fad401dcdc5bad4d864e7b578b16c8ef2f70f7ded9a83,12dc069da20bff6d6e929f1449cdee821ddd6bab9b3fa69a5fbc918ec021b940
"0","400","1","440","4000","4","1","100"
"0","1000","2","1100","10000","10","2","120"
"0","1400","3","1540","14000","12","3","140"
"0","2000","4","2200","20000","14","4","170"
"0","2700","5","2970","27000","18","5","200"
"0","3600","6","4000","36600","20","6","220"
"0","3900","7","4300","39700","20","7","240"
"0","4200","8","4700","42800","20","8","260"
"0","4500","9","5000","45600","20","9","280"
"0","4800","10","5300","48900","20","10","300"
