3779d35294bac82289a839fe800d8e274c3a0ca99f45f5410c693a88cc77e99f,0b4b3fdd3a25f83c68582efab3f0fcc633c8c8bd722897fccb630eda043abfdd,e336b95b01e8dbf58035d2889d09708605f97d1eb6e75426a4c3470aa2d965b6,e5edac13fe3e96d6cd2c8032e8fa1efff7c54409f765a5938ddea039b58545e0,0e022c3b69571b07e75a6d2ad126e6d2ed6664856038f35e5dab659a06faaadd,30d49d56b27d8c642f4a914a75080581a19a1065ab949db87b0105655fdecb70,2fef6dca14a68e8fb7a649e1623e73cab11b065e6d4d1fcb783ddc0cfaedb3bf,e68a3b7df368436a79458eafbbfd71da25672478836c271f2b5e34f2f39d5234,26a24d7670ce3886243bddf4a2bcd5ca7beb351bceddb63e8c9c149478cc57c6,26059d04fb42c1271d806cadfba50ab9e245ab770ab301a3b5691fce93d6a7b1,fc55a1d2a6fd48efdc870d65f3d09d00bf49778e6b1b049e50c8cc8f5142540e
"1","110931","nyx_idle_normal","-421","0","1","-209.3","110","1.35","101","11010001"
"1","104831","nyx_idle_normal","121.8","0","1","-182.5","110","1.35","101","11010002"
"1","104631","nyx_idle_normal","227.7","0","1","-182.5","110","1.35","101","11010003"
"1","103231","nyx_talk_normal","340.3","1","1","-182.5","110","1.35","101","11010004"
"1","103431","nyx_idle_normal","449.6","1","1","-182.5","110","1.35","101","11010005"
"5","2","NoItem","-421","0","2","-209.3","120","1.35","101","11010006"
"31","1","","0","","1","1","0","1","101","11010007"
"31","3","","0","","15","1","-300","0","101","11010008"
"31","4","","0","","15","1.5","-300","0","101","11010009"
"25","bgm_M347","","","","bgm_M347","","","","101","11010010"
"93","","","","","2","","","","101","11010011"
"3","nyx_101_chieru_01","","nyx_101_chieru_loop","","2","1","0","0.2","101","11010012"
"3","nyx_101_chieru_01","","nyx_101_chieru_loop","","110931","1","0","0.2","101","11010013"
"11","ちぇる～ん♪\n最初はとにかく\nインパクト！","","","","110931","","10","","101","11010014"
"93","","","","","0.4","","","","101","11010015"
"32","0","","","","3","","","","101","11010016"
"32","1","","","","3","","","","101","11010017"
"91","","","","","11010014","","","","101","11010018"
"11","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","","","","110931","","10","","101","11010019"
"93","","","","","1","","","","101","11010020"
"3","nyx_idle_joy1","","","","103231","","1","0.2","101","11010021"
"3","nyx_cmn_05","","","","104631","","1","0.2","101","11010022"
"91","","","","","11010019","","","","101","11010023"
"3","nyx_101_chieru_01","","nyx_101_chieru_loop","","2","1","0","0.2","101","11010024"
"3","nyx_101_chieru_01","","nyx_101_chieru_loop","","110931","1","0","0.2","101","11010025"
"11","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","","","","110931","","7","","101","11010026"
"93","","","","","0.4","","","","101","11010027"
"32","0","","","","3","","","","101","11010028"
"32","1","","","","3","","","","101","11010029"
"93","","","","","0.6","","","","101","11010030"
"3","nyx_talk_bitter","","","","103431","","1","0.2","101","11010031"
"3","nyx_cmn_04","","","","104631","","1","0.2","101","11010032"
"93","","","","","2","","","","101","11010033"
"3","nyx_101_chieru_02","","nyx_101_chieru_loop","","2","1","0","0.2","101","11010034"
"3","nyx_101_chieru_02","","nyx_101_chieru_loop","","110931","1","0","0.2","101","11010035"
"93","","","","","0.4","","","","101","11010036"
"32","0","","","","3","","","","101","11010037"
"32","1","","","","4","","","","101","11010038"
"91","","","","","11010026","","","","101","11010039"
"3","nyx_idle_bitter","","","","103431","","1","0.2","101","11010040"
"3","nyx_talk_sad","","","","104831","","1","0.2","101","11010041"
"11","ね、ねぇ…\n廊下の方から\n何か聞こえない？","","","","104831","","10","","101","11010042"
"91","","","","","0","","","","101","11010043"
"4","1","","","","110931","","","","101","11010044"
"4","1","","","","2","","","","101","11010045"
"3","nyx_101_chieru_02","","nyx_101_chieru_loop","","2","1","0","0.2","101","11010046"
"3","nyx_101_chieru_02","","nyx_101_chieru_loop","","110931","1","0","0.2","101","11010047"
"3","nyx_idle_sad","","","","104831","","1","0.2","101","11010048"
"3","nyx_talk_sad","","","","104631","","1","0.2","101","11010049"
"11","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","","","","104631","","10","","101","11010050"
"91","","","","","0","","","","101","11010051"
"3","nyx_idle_sad","","","","104631","","1","0.2","101","11010052"
"3","nyx_talk_sad","","","","103431","","1","0.2","101","11010053"
"11","学校の七不思議的な\nやつかしら…\nか、帰りたい…","","","","103431","","10","","101","11010054"
"91","","","","","0","","","","101","11010055"
"3","nyx_idle_sad","","","","103431","","1","0.2","101","11010056"
"3","nyx_talk_joy2","","","","103231","","1","0.2","101","11010057"
"11","面白いですわね！\n何が出てくるか\nワクワクしますわ！","","","","103231","","10","","101","11010058"
"91","","","","","0","","","","101","11010059"
"93","","","","","0.4","","","","101","11010060"
"4","0","","","","110931","","","","101","11010061"
"4","0","","","","2","","","","101","11010062"
"3","nyx_101_chieru_01","","nyx_101_chieru_loop","","110931","1","0","0.2","101","11010063"
"3","nyx_101_chieru_01","","nyx_101_chieru_loop","","2","1","0","0.2","101","11010064"
"12","1","","","","104831","","1","","101","11010065"
"3","nyx_talk_sad","","nyx_idle_sad","0.2","104831","1","0","0.2","101","11010066"
"93","","","","","0.4","","","","101","11010067"
"32","0","","","","3","","","","101","11010068"
"32","1","","","","3","","","","101","11010069"
"93","","","","","1.6","","","","101","11010070"
"12","15","","","","104631","","1","","101","11010071"
"3","nyx_talk_sad","","nyx_idle_sad","0.2","104631","1","0","0.2","101","11010072"
"93","","","","","3","","","","101","11010073"
"4","1","","","","110931","","","","101","11010074"
"4","1","","","","2","","","","101","11010075"
"3","nyx_101_chieru_02","","nyx_101_chieru_loop","","110931","1","0","0.2","101","11010076"
"3","nyx_101_chieru_02","","nyx_101_chieru_loop","","2","1","0","0.2","101","11010077"
"12","10","","","","103231","","1","","101","11010078"
"3","nyx_talk_joy1","","nyx_idle_joy1","0.2","103231","1","0","0.2","101","11010079"
"93","","","","","2","","","","101","11010080"
"12","2","","","","103431","","1","","101","11010081"
"3","nyx_talk_sad","","nyx_idle_sad","0.2","103431","1","0","0.2","101","11010082"
"93","","","","","2.5","","","","101","11010083"
"101","","","","","11010060","","","","101","11010084"
"1","110831","nyx_102_chloe_01","-362","1","1","-209.3","110","1.35","102","11020001"
"1","104831","nyx_102_mifuyu_01","90","0","1","-182.5","110","1.35","102","11020002"
"1","104631","nyx_idle_normal","220","0","1","-182.5","110","1.35","102","11020003"
"1","103231","nyx_talk_normal","336","1","1","-182.5","110","1.35","102","11020004"
"1","103431","nyx_idle_normal","457","1","1","-182.5","110","1.35","102","11020005"
"31","1","","0","","1","1","0","1","102","11020006"
"5","2","NoItem","-362","0","2","-209.3","120","1.35","102","11020007"
"25","bgm_M347","","","","bgm_M347","","","","102","11020008"
"93","","","","","2","","","","102","11020009"
"3","nyx_102_chloe_02","","","","110831","","1","0.2","102","11020010"
"11","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","","","","110831","","10","","102","11020011"
"91","1","","","","0","","","","102","11020012"
"3","nyx_idle_sad","","","","110831","","1","0.2","102","11020013"
"11","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","","","","110831","","10","","102","11020014"
"91","1","","","","0","","","","102","11020015"
"3","cmn_pose02_def_N","","nyx_102_chloe_02","0.2","110831","1","0","0.2","102","11020016"
"11","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","","","","110831","","10","","102","11020017"
"93","","","","","3","","","","102","11020018"
"3","nyx_idle_normal","","","","103231","","1","0.2","102","11020019"
"3","nyx_talk_sad","","","","104631","","1","0.2","102","11020020"
"4","0","","","","110831","","","","102","11020021"
"91","","","","","11020016","","","","102","11020022"
"93","","","","","1","","","","102","11020023"
"3","nyx_102_chloe_01","","","","110831","","1","0.2","102","11020024"
"11","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","","","","110831","","10","","102","11020025"
"93","","","","","2.5","","","","102","11020026"
"3","nyx_102_chloe_03","","nyx_102_chloe_03_loop","","110831","1","0","0.2","102","11020027"
"3","nyx_102_chloe_03","","nyx_102_chloe_03_loop","","2","1","0","0.2","102","11020028"
"91","","","","","11020025","","","","102","11020029"
"93","","","","","1","","","","102","11020030"
"11","ちぇる…ちぇる…","","","","104831","","10","","102","11020031"
"93","","","","","1.5","","","","102","11020032"
"4","1","","","","104631","","0","","102","11020033"
"3","cmn_shock_def_N","","nyx_idle_surprise2","0.2","104631","1","0","0.2","102","11020034"
"3","cmn_shock_def_N","","nyx_idle_surprise2","0.2","103431","1","0","0.2","102","11020035"
"3","nyx_surprise","","nyx_idle_surprise1","0.2","103231","1","0","0.2","102","11020036"
"93","","","","","1.5","","","","102","11020037"
"3","nyx_talk_surprise2","","","0.2","104631","1","1","0.2","102","11020038"
"3","nyx_102_yukari_01","","","","103431","","1","0.2","102","11020039"
"11","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","","","","103431","","10","","102","11020040"
"91","1","","","","0","","","","102","11020041"
"3","cmn_shock_def_N","","nyx_102_tamaki_01_loop","0.2","103431","1","0","0.2","102","11020042"
"4","0","","","","103231","","0","","102","11020043"
"4","0","","","","104631","","0","","102","11020044"
"91","","","","","0","","","","102","11020045"
"11","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","","","","104631","","10","","102","11020046"
"93","","","","","2.6","","","","102","11020047"
"3","nyx_102_tamaki_01","","nyx_102_tamaki_01_loop","0.2","104631","1","0","0.2","102","11020048"
"93","","","","","0.1","","","","102","11020049"
"4","1","","","","103231","","0","","102","11020050"
"93","","","","","1.5","","","","102","11020051"
"11","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","","","","103231","","10","","102","11020052"
"91","","","","","0","","","","102","11020053"
"93","","","","","1","","","","102","11020054"
