8c6d89d369cf5cc2ea68802d36652bfe1ac470a7a0695bb35e41ea3cdbb4f341,c963a1c385c10f3c9464b451f617b2769ac6c3e4f213208bf1574c1571bbddc0,22dda74551b722271d52f739e0b9ded8d6563dc4be269232bb371ad3ac2ebdc5,81e94225cff977229d1ec52ee67bcafbdc9170b5dbe0ac5e0b534a73cbd52e27,25b5d0c58051a58feb5facfe882d7d2d1ca8c0295074731e34970389595cc3e4,d62e10d1d3f0d3737c7be20bfc05b31206e1771a8f32443a985fe4e4418895ca,d0cf4a4b66d93e441c8708f2752119b3dc88123ab304805326b9cf320f32709c,74b7cb235d9ddca305bb1dfe404d7ea9fcad8d2239f8dcba2e488182cd6cae5b,34337f8905c95e695822cbb10efb3766822af1e117df77c2f61b9bce4425965b,9610f37803bfe9982842b90599233ba41bc87d23758f49d0aba38d420fc494ab,a7a8a2939ced53be797e4ef1418d32ec3e6d76120625df55c7d127f87bcd4ade
"1.7","0","mhp_sit_idle","0","1002011","100","100211","0","1","1","1002011001"
"0.2","","","","1002011","1","mhp_sit_talk_memory","","100211","3","1002011002"
"","","","","1002011","0","vo_mhp_0401","0","vo_mhp","21","1002011003"
"0","0","0","0","1002011","6","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪","0","100211","11","1002011004"
"","","","","1002011","","","","0","91","1002011005"
"0.2","","","","1002011","1","mhp_sit_idle_memory","","100211","3","1002011006"
"1.7","0","mhp_sit_idle","0","1002012","100","100211","0","1","1","1002012001"
"0.2","","","","1002012","1","mhp_sit_talk_sad","","100211","3","1002012002"
"","","","","1002012","0","vo_mhp_0402","0","vo_mhp","21","1002012003"
"0","0","0","0","1002012","5","はぁ…なにか悪い\n病気だったら\nどうしよう…","0","100211","11","1002012004"
"","","","","1002012","","","","0","91","1002012005"
"0.2","","","","1002012","1","mhp_sit_idle_sad","","100211","3","1002012006"
"1.7","0","mhp_sit_idle","0","1002013","100","100211","0","1","1","1002013001"
"0.2","","","","1002013","1","mhp_yui_sit_talk_wish","","100211","3","1002013002"
"","","","","1002013","0","vo_mhp_0403","0","vo_mhp","21","1002013003"
"0","0","0","0","1002013","4","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！","0","100211","11","1002013004"
"","","","","1002013","","","","0","91","1002013005"
"0.2","","","","1002013","1","mhp_sit_idle_sad","","100211","3","1002013006"
"1.7","-240","mhp_idle_normal","0","1007401","100","100211","-1000","1","1","1007401001"
"1.7","-220","mhp_sit_idle","1","1007401","100","117531","185","1","1","1007401002"
"1.7","-200","mhp_sit_idle","1","1007401","100","117631","365","1","1","1007401003"
"1","0.85","","","1007401","-240","1","-154","1","31","1007401004"
"0","0.85","","","1007401","-230","123","-18","23","31","1007401005"
"1.7","-220","NoItem","0","1007401","110","11","-200","1","5","1007401006"
"1.7","-220","NoItem","0","1007401","105","12","-200","1","5","1007401007"
"1.7","-220","NoItem","1","1007401","110","21","185","1","5","1007401008"
"1.7","-220","NoItem","1","1007401","105","22","185","1","5","1007401009"
"0","0","","0","1007401","1","1","1","11","6","1007401010"
"0","0","","0","1007401","1","1","1","12","6","1007401011"
"0","0","","0","1007401","1","1","1","21","6","1007401012"
"0","0","","0","1007401","1","1","1","22","6","1007401013"
"1.7","-220","NoItem","0","1007401","110","31","-1000","1","5","1007401014"
"","","","","1007401","","","","0","91","1007401015"
"0.2","","","","1007401","1","mhp_sit_talk_normal","","117531","3","1007401016"
"","","","","1007401","0","vo_mhp_4001","0","vo_mhp_1007401","21","1007401017"
"0","0","0.5","0","1007401","8","次の方どうぞー","0","117531","11","1007401018"
"","","","","1007401","","","","0","91","1007401019"
"0.2","","","","1007401","1","mhp_sit_idle","","117531","3","1007401020"
"0.2","","","","1007401","1","mhp_anna_walk_sad","","100211","3","1007401021"
"","0","","","1007401","-220","-200","4","100211","2","1007401022"
"0.2","","","","1007401","1","NoItem","","31","3","1007401023"
"","0","","","1007401","-220","-200","4","31","2","1007401024"
"","","","","1007401","","","","0","91","1007401025"
"0.2","1","","0.2","1007401","0","mhp_sit_in_sad","mhp_sit_idle_sad","100211","3","1007401026"
"","","","","1007401","","","","1","93","1007401027"
"0.2","","","","1007401","1","mhp_sit_talk_sad","","100211","3","1007401028"
"","","","","1007401","0","vo_mhp_4002","0","vo_mhp_1007401","21","1007401029"
"0","0","0.5","0","1007401","7","え、ええっと……ご無沙汰してます。","1","100211","11","1007401030"
"","","","","1007401","","","","0","91","1007401031"
"0.2","","","","1007401","1","mhp_sit_idle_sad","","100211","3","1007401032"
"0.2","","","","1007401","1","mhp_sit_talk_normal","","117531","3","1007401033"
"","","","","1007401","0","vo_mhp_4003","0","vo_mhp_1007401","21","1007401034"
"0","0","0.5","0","1007401","6","久しぶりねユイちゃん。\n前にみんなでオーエド町に\n来た時以来ね。","1","117531","11","1007401035"
"","","","","1007401","","","","0","91","1007401036"
"0.2","","","","1007401","1","mhp_sit_idle","","117531","3","1007401037"
"0.2","","","","1007401","1","mhp_sit_talk_memory","","100211","3","1007401038"
"0","","","","1007401","1","mhp_yui_sit_talk_memory","","31","3","1007401039"
"","","","","1007401","0","vo_mhp_4004","0","vo_mhp_1007401","21","1007401040"
"0","0","1.5","0","1007401","4","そうですね。あの時は大変でしたけど\n楽しかったなぁ\n温泉とかまた行きたい――\nおん、せん……あ、ああ……","1","100211","11","1007401041"
"","","","","1007401","","1","","14","93","1007401042"
"0.2","","","","1007401","1","mhp_yui_hot","","100211","3","1007401043"
"0.2","","","","1007401","1","mhp_yui_hot","","31","3","1007401044"
"","","","","1007401","","1","","123","32","1007401045"
