31720c7d84ce773814183def87460d2342a6523d4e725db6e7f971d6432cb05b,8d56ce5f4426e9547a745a039a6f43c853d4548285790a46bd9ee01a0d49cc00,9c2599832e810147f3dcc2c6e19ff4b60f9c772fd5ac36ba219cecc8de2d1a72,a30c68f552229e392dc26df2dc33d0f618ebe10966fb2258e4e5beeecf44ab5a,42d0b0020d05e0b63b536f0fad0269525912830645df28c52e327df5ce6854dc,2fd1e13742ad7eff7c86bee836cbbf35fef24b5c7e11ed30e880e2acb6a2dd50,216342d81c4069ad39c59eed4ee88d481174007bfbef4c0a1c23e0d5915ebd8c,1dddb08dd8b80f2700ec2960a33b24fa187913b54f89280f3bd79605dfcf93ae,b8b24aa56bc8d5bf2d642a3cc01348eeaf1cf0a56038749bfdb0116ca994b930
"0.7","502001102","11","1","320010106","1","43.5","0","1"
"0.65","502001103","67","2","320010106","3","13","0","2"
"0.65","0","49","3","320010106","2","-74","0","3"
"0.7","502001108","13","4","320010107","1","-49","0","1"
"0.85","502001109","62","5","320010107","3","-4","0","2"
"0.65","0","50","6","320010107","2","59","0","3"
"1.05","0","-10","7","320010108","1","0","0","1"
"1.05","0","-10","8","320010109","1","-15","0","1"
"0.43","0","-45","9","320010110","1","-85","0","1"
"0.43","0","-45","10","320010110","2","85","0","2"
"0.7","502001202","11","11","320010206","1","43.5","0","1"
"0.65","502001203","67","12","320010206","3","13","0","2"
"0.65","0","49","13","320010206","2","-74","0","3"
"0.7","502001208","13","14","320010207","1","-49","0","1"
"0.85","502001209","62","15","320010207","3","-4","0","2"
"0.65","0","50","16","320010207","2","59","0","3"
"1.05","0","-10","17","320010208","1","0","0","1"
"1.05","0","-10","18","320010209","1","-15","0","1"
"0.43","0","-45","19","320010210","1","-85","0","1"
"0.43","0","-45","20","320010210","2","85","0","2"
"0.7","502001302","11","21","320010306","1","43.5","0","1"
"0.65","502001303","67","22","320010306","3","13","0","2"
"0.65","0","49","23","320010306","2","-74","0","3"
"0.7","502001308","13","24","320010307","1","-49","0","1"
"0.85","502001309","62","25","320010307","3","-4","0","2"
"0.65","0","50","26","320010307","2","59","0","3"
"1.05","0","-10","27","320010308","1","0","0","1"
"1.05","0","-10","28","320010309","1","-15","0","1"
"0.43","0","-45","29","320010310","1","-85","0","1"
"0.43","0","-45","30","320010310","2","85","0","2"
"0.7","502001402","11","31","320010406","1","43.5","0","1"
"0.65","502001403","67","32","320010406","3","13","0","2"
"0.65","0","49","33","320010406","2","-74","0","3"
"0.7","502001408","13","34","320010407","1","-49","0","1"
"0.85","502001409","62","35","320010407","3","-4","0","2"
"0.65","0","50","36","320010407","2","59","0","3"
"1.05","0","-10","37","320010408","1","0","0","1"
"1.05","0","-10","38","320010409","1","-15","0","1"
"0.43","0","-45","39","320010410","1","-85","0","1"
"0.43","0","-45","40","320010410","2","85","0","2"
"0.7","502001502","11","41","320010506","1","43.5","0","1"
"0.65","502001503","67","42","320010506","3","13","0","2"
"0.65","0","49","43","320010506","2","-74","0","3"
"0.7","502001508","13","44","320010507","1","-49","0","1"
"0.85","502001509","62","45","320010507","3","-4","0","2"
"0.65","0","50","46","320010507","2","59","0","3"
"1.05","0","-10","47","320010508","1","0","0","1"
"1.05","0","-10","48","320010509","1","-15","0","1"
"0.43","0","-45","49","320010510","1","-85","0","1"
"0.43","0","-45","50","320010510","2","85","0","2"
"0.7","502002102","11","51","320020106","1","43.5","0","1"
"0.65","502002103","67","52","320020106","3","13","0","2"
"0.65","0","49","53","320020106","2","-74","0","3"
"0.7","502002108","13","54","320020107","1","-49","0","1"
"0.85","502002109","62","55","320020107","3","-4","0","2"
"0.65","0","50","56","320020107","2","59","0","3"
"1.05","0","-10","57","320020108","1","0","0","1"
"1.05","0","-10","58","320020109","1","-15","0","1"
"0.43","0","-45","59","320020110","1","-85","0","1"
"0.43","0","-45","60","320020110","2","85","0","2"
"0.7","502002202","11","61","320020206","1","43.5","0","1"
"0.65","502002203","67","62","320020206","3","13","0","2"
"0.65","0","49","63","320020206","2","-74","0","3"
"0.7","502002208","13","64","320020207","1","-49","0","1"
"0.85","502002209","62","65","320020207","3","-4","0","2"
"0.65","0","50","66","320020207","2","59","0","3"
"1.05","0","-10","67","320020208","1","0","0","1"
"1.05","0","-10","68","320020209","1","-15","0","1"
"0.43","0","-45","69","320020210","1","-85","0","1"
"0.43","0","-45","70","320020210","2","85","0","2"
"0.7","502002302","11","71","320020306","1","43.5","0","1"
"0.65","502002303","67","72","320020306","3","13","0","2"
"0.65","0","49","73","320020306","2","-74","0","3"
"0.7","502002308","13","74","320020307","1","-49","0","1"
"0.85","502002309","62","75","320020307","3","-4","0","2"
"0.65","0","50","76","320020307","2","59","0","3"
"1.05","0","-10","77","320020308","1","0","0","1"
"1.05","0","-10","78","320020309","1","-15","0","1"
"0.43","0","-45","79","320020310","1","-85","0","1"
