75a204a4f830af5a36c712d8b68d9191637a47985cd797b75fb14cece7dbc28f,37a8a50d98b6c12c51af76fe785aaaf2a5c2240ada3b31a4b7ddc097742ba0ad,53ba2234f4bf280123dc251b4ef4e287030937305f1833908727d16b361e6013,4cccf8dd14e323d34afb9bc87bdbb013e608d05234902a1a61da1eeb9da3f4b7,192f70388a38d7404f15d5d5797b3b17cb33cc2fc5c2d6fa58c65414b756423e,5c00557c7199dc133bf810d8dd1782deb01ba2a3af2c7b7c06ce328c3e8321bc,74189d695b34411225608177192e038213c639148d8417b6db8463a53f447cea,0798293465e6ea12b1e874ecd51eb612e23915e01382219ba6d4790e7847ca6a
"1","【料理】ダイスが2個に増える","1","52001","1","1","0","0"
"2","【料理】ダイスの目が必ず「1」になる","1","52002","1","1","0","0"
"3","【料理】次のターン数のカウントをスキップする","1","52002","3","2","0","0"
"4","【料理】ダイスの目が必ず「4」になる","1","52004","1","1","0","0"
"5","【料理】ダイスの目が\n「4・5・6」のみになる","1","52006","1","1","0","0"
"6","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","1","52007","1","1","0","0"
"7","【料理】ダイスの目が必ず「5」になる","1","52003","1","1","0","0"
"8","【料理】マイルマスの獲得マイルが200%アップする","1","52008","2","7","0","0"
"9","【イベント】次のターン数のカウントをスキップする","2","4","3","2","0","0"
"10","【イベント】マイルマスの獲得マイルが100%アップする","2","5","2","3","0","0"
"11","【イベント】ミニゲームの獲得マイルが100%アップする","2","6","2","5","0","0"
"12","【イベント】マイルショップの全商品が20%以上割引される","2","7","3","4","0","0"
"13","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","1","52009","1","1","0","0"
"14","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","1","52010","2","6","0","0"
"15","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","1","52011","1","1","0","0"
"16","【料理】ダイスの目が\n「1・2・3」のみになる","1","52012","1","1","0","0"
"17","【料理】次のターン数のカウントをスキップする","1","52012","3","2","0","0"
"18","【料理】移動時にマイルマスをスキップできる","1","52014","1","8","0","0"
"19","【料理】次回移動時に1マス分多く進める","1","52005","1","1","0","0"
"20","【料理】次回移動時に1マス分多く進める","1","52014","1","1","2","2"
"21","【料理】ダイスが2個に増える","1","52015","1","1","0","0"
"22","【料理】次回移動時に1マス分多く進める","1","52015","1","1","0","0"
"23","【料理】ダイスの目が必ず「6」になる","1","52016","1","1","0","0"
"24","【料理】移動系カテゴリーの料理が食べられなくなる","1","52017","1","9","0","0"
"25","【料理】ダイスの目が必ず「3」になる","1","52018","1","1","0","0"
"26","【料理】ダイスの目が必ず「8」になる","1","52019","1","1","0","0"
"27","【イベント】次のターン数のカウントをスキップする","2","98011","3","2","0","0"
"28","【イベント】次のターン数のカウントをスキップする","2","98012","3","2","0","0"
"29","【料理】移動時にマイルマスをスキップできる","1","52020","2","10","0","0"
"30","【料理】次回移動時に1マス分多く進める","1","52020","1","1","2","2"
"31","【料理】移動時にトレジャーマスをスキップできる","1","52021","2","10","0","0"
"32","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","1","52022","1","1","0","0"
"33","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","1","52023","1","1","0","0"
"34","【料理】次回移動時に3マス分多く進める","1","52024","1","1","0","0"
"35","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","1","52025","2","10","0","0"
"36","【料理】ダイスの目が必ず「5」になる","1","52027","1","1","0","0"
"37","【料理】ダイスの目が\n「1・2」のみになる","1","52028","1","1","0","0"
"38","【料理】ダイスの目が必ず「2」になる","1","52029","1","1","0","0"
"39","【料理】次のターン数のカウントをスキップする","1","52029","3","2","0","0"
"40","【イベント】マイルショップの全商品が20%以上割引される","2","8","3","4","0","0"
"41","【料理】「マイルマス」を「トレジャーマス」に変化させる","1","52030","3","11","0","0"
"42","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","1","52031","1","1","0","0"
"43","【料理】移動時に料理マスをスキップできる","1","52032","2","10","0","0"
"44","【料理】移動時にマイルマスをスキップできる","1","52034","1","8","0","0"
"45","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","1","52036","1","1","0","0"
"46","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","1","52037","2","6","0","0"
"47","【料理】ダイスが2個に増える","1","52038","1","1","0","0"
"48","【料理】「マイルマス」を「ショップマス」に変化させる","1","52039","3","11","0","0"
"49","【料理】移動時にトレジャーマスをスキップできる","1","52040","2","10","0","0"
"50","【料理】ダイスの目が1ターン目は必ず「7」に、2ターン目は必ず「2」になる","1","52041","1","1","0","0"
"51","【料理】ダイスの目が\n「4・5・6」のみになる","1","52042","1","1","0","0"
"52","【料理】移動系カテゴリーの料理が食べられなくなる","1","52043","1","9","0","0"
"53","【料理】ダイスの目が\n「1・2・3」のみになる","1","52044","1","1","0","0"
"54","【料理】次のターン数のカウントをスキップする","1","52044","3","2","0","0"
"55","【料理】移動時に「ショップマス」「ミニゲームマス」「イベントマス」をスキップできる","1","52045","2","10","0","0"
"56","【料理】移動時にマイルマスをスキップできる","1","52046","1","8","0","0"
"57","【料理】ダイスが2個に増える","1","52047","1","1","0","0"
"1001","最大ｎマイルを入手する","3","1","1","99","0","0"
"1002","ダイスを1回振りなおせる","3","2","1","99","0","0"
"1003","ダイスを1回振りなおせる_有効ターン2","3","3","1","99","0","0"
"11001","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1001","1","126501","0","0"
"11002","【仲間】最大1000マイルを入手する","3","1002","1","105301","0","0"
"11003","【仲間】料理を1つ入手する","3","1003","1","126401","0","0"
"11004","【仲間】ダイスの目を1回振りなおせる","3","1004","1","100501","0","0"
"11005","【仲間】ダイスの目を2回振りなおせる","3","1005","1","101301","0","0"
"11006","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3","1006","1","104301","0","0"
"11007","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","3","1007","1","102701","0","0"
"11008","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1008","1","100901","0","0"
"11009","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1009","1","105101","0","0"
"11010","【仲間】最大1000マイルを入手する","3","1010","1","101801","0","0"
"11011","【仲間】ダイスの表と裏どちらを適用するか選択できる","3","1011","1","129701","0","0"
"11012","【仲間】ダイスの目を1回振りなおせる","3","1012","1","101601","0","0"
"11013","【仲間】ダイスの目を2回振りなおせる","3","1013","1","105601","0","0"
"11014","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","3","1014","1","102001","0","0"
"11015","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1015","1","129601","0","0"
"11016","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","3","1016","1","100401","0","0"
"11017","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","3","1017","1","127701","0","0"
"11018","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","3","1018","1","127801","0","0"
"11019","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1019","1","104801","0","0"
"11020","【仲間】ダイスの目を2回振りなおせる","3","1020","1","104701","0","0"
"11021","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","1021","1","105001","0","0"
"11022","【仲間】最大2000マイルを入手する","3","1022","1","103201","0","0"
"11023","【仲間】福引券を1枚入手する","3","1023","1","130901","0","0"
"11024","【仲間】料理を1つ入手する","3","1024","1","102501","0","0"
"11025","【仲間】ダイスの表と裏どちらを適用するか選択できる","3","1025","1","100801","0","0"
"11026","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3","1026","1","123301","0","0"
"11027","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","1027","1","104601","0","0"
"11028","【仲間】ダイスの目を2回振りなおせる","3","1028","1","118101","0","0"
