d61b294ee0ab1716283cb88936b78cb0ba7879973eb8f1b6c23596ed89277e9c,0d5e8ca88bfd85631c75c67da8538a1f38b487fb6a8ef5c498046f441cc1e32e,f20e10f0ed1b85628832adb2e62b7b28ce5ad3b5bea6388f42e8490304cc449c,81b87175392730117112299f86fcdb15cc8bd14062b1c610ba3f2f8730263912,f7706edea656821b67af4406a71cf66530fbe198392e974b7df35a6f80f5130d,4684afd947dc53d07a20a5ee38031b25054befb8dcd1e937bb77341287ed2ad3,482a91ff31ea9440bd279b71ec6a842c99e2ee5fb3419d106f38d63b23382280
"1","70000","2018/12/24 5:00:00","2018/12/25 4:59:59","0","400","0"
"2","70000","2018/12/25 5:00:00","2018/12/26 4:59:59","0","401","0"
"3","70001","0","0","1","410","0"
"4","70001","0","0","2","411","0"
"5","70001","0","0","3","412","0"
"6","70002","2019/12/24 5:00:00","2019/12/25 4:59:59","0","400","0"
"7","70002","2019/12/25 5:00:00","2019/12/26 4:59:59","0","401","0"
"8","70003","0","0","1","413","0"
"9","70003","0","0","2","414","0"
"10","70003","0","0","3","415","0"
"21","70004","2020/12/24 5:00:00","2020/12/25 4:59:59","0","400","0"
"22","70004","2020/12/25 5:00:00","2020/12/26 4:59:59","0","401","0"
"23","70005","0","0","1","416","0"
"24","70005","0","0","2","417","0"
"25","70005","0","0","3","418","0"
"26","80004","2021/01/30 5:00:00","2021/01/31 4:59:59","3","9002001","0"
"27","80004","2021/01/31 5:00:00","2021/02/01 4:59:59","3","9002002","0"
"28","80004","2021/02/01 5:00:00","2021/02/02 4:59:59","3","9002003","0"
"29","80004","2021/02/02 5:00:00","2021/02/03 4:59:59","3","9002004","0"
"30","80004","2021/02/03 5:00:00","2021/02/04 4:59:59","3","9002005","0"
"31","80004","2021/02/04 5:00:00","2021/02/05 4:59:59","3","9002006","0"
"32","80004","2021/02/05 5:00:00","2021/02/06 4:59:59","3","9002007","0"
"33","80004","2021/02/06 5:00:00","2021/02/07 4:59:59","3","9002008","0"
"34","80004","2021/02/07 5:00:00","2021/02/08 4:59:59","3","9002009","0"
"35","80004","2021/02/08 5:00:00","2021/02/09 4:59:59","3","9002010","0"
"36","80004","2021/02/09 5:00:00","2021/02/10 4:59:59","3","9002011","0"
"37","80004","2021/02/10 5:00:00","2021/02/11 4:59:59","3","9002012","0"
"38","80004","2021/02/11 5:00:00","2021/02/12 4:59:59","3","9002013","0"
"39","80004","2021/02/12 5:00:00","2021/02/13 4:59:59","3","9002014","0"
"40","80004","2021/02/13 5:00:00","2021/02/14 4:59:59","3","9002015","0"
"41","80004","2021/02/14 5:00:00","2021/02/15 4:59:59","3","9002016","0"
"42","80004","2021/02/15 5:00:00","2021/02/16 4:59:59","3","9002017","1"
"43","70006","2021/12/24 5:00:00","2021/12/25 4:59:59","0","400","0"
"44","70006","2021/12/25 5:00:00","2021/12/26 4:59:59","0","401","0"
"45","80006","2022/01/30 5:00:00","2022/01/31 4:59:59","3","9004001","0"
"46","80006","2022/01/31 5:00:00","2022/02/01 4:59:59","3","9004002","0"
"47","80006","2022/02/01 5:00:00","2022/02/02 4:59:59","3","9004003","0"
"48","80006","2022/02/02 5:00:00","2022/02/03 4:59:59","3","9004004","0"
"49","80006","2022/02/03 5:00:00","2022/02/04 4:59:59","3","9004005","0"
"50","80006","2022/02/04 5:00:00","2022/02/05 4:59:59","3","9004006","0"
"51","80006","2022/02/05 5:00:00","2022/02/06 4:59:59","3","9004007","0"
"52","80006","2022/02/06 5:00:00","2022/02/07 4:59:59","3","9004008","0"
"53","80006","2022/02/07 5:00:00","2022/02/08 4:59:59","3","9004009","0"
"54","80006","2022/02/08 5:00:00","2022/02/09 4:59:59","3","9004010","0"
"55","80006","2022/02/09 5:00:00","2022/02/10 4:59:59","3","9004011","0"
"56","80006","2022/02/10 5:00:00","2022/02/11 4:59:59","3","9004012","0"
"57","80006","2022/02/11 5:00:00","2022/02/12 4:59:59","3","9004013","0"
"58","80006","2022/02/12 5:00:00","2022/02/13 4:59:59","3","9004014","0"
