a96f2e15b2bd246da33b53e00afcd470273a1eda5e73073b8732f241195e92fe,50a77c566155da64af2927f2176390c2eaef094f97118b87d301c586e776002f,67748be3ce385dd4f7ad996b6bdffb0301695250bcc9d911b989092115b0eada,2a9742e13b33bce48bd2759a4475bd7d15edb7bf3f21704a699d87399e73b25f,850c9ccb9f1c56019330ccd6275a9768be1a38e72e99e02f1b72c9b177911128,ea0c334b1ee394a861fc9e7b5474e408f773efca0e56597285ca8136e92bad84
"100","100","100","100","1000000","100"
"150","100","100","100","2000000","100"
"100","150","100","100","2000001","100"
"100","100","150","100","2000002","100"
"100","100","100","100","2000003","150"
"100","100","100","150","2000004","100"
"300","100","100","100","2000005","100"
"100","300","100","100","2000006","100"
"100","100","300","100","2000007","100"
"100","100","100","100","2000008","300"
"100","100","100","300","2000009","100"
"250","100","100","100","2000010","100"
"100","250","100","100","2000011","100"
"100","100","250","100","2000012","100"
"100","100","100","100","2000013","250"
"100","100","100","250","2000014","100"
"150","150","100","100","3000000","100"
"150","100","150","100","3000001","100"
"150","100","100","100","3000002","150"
"150","100","100","150","3000003","100"
"100","150","150","100","3000004","100"
"100","150","100","100","3000005","150"
"100","150","100","150","3000006","100"
"100","100","150","100","3000007","150"
"100","100","150","150","3000008","100"
"100","100","100","150","3000009","150"
"250","250","100","100","3000010","100"
"250","100","250","100","3000011","100"
"250","100","100","100","3000012","250"
"250","100","100","250","3000013","100"
"100","250","250","100","3000014","100"
"100","250","100","100","3000015","250"
"100","250","100","250","3000016","100"
"100","100","250","100","3000017","250"
"100","100","250","250","3000018","100"
"100","100","100","250","3000019","250"
"200","200","100","100","3000020","100"
"200","100","200","100","3000021","100"
"200","100","100","100","3000022","200"
"200","100","100","200","3000023","100"
"100","200","200","100","3000024","100"
"100","200","100","100","3000025","200"
"100","200","100","200","3000026","100"
"100","100","200","100","3000027","200"
"100","100","200","200","3000028","100"
"100","100","100","200","3000029","200"
"150","150","150","100","4000000","100"
"150","150","100","100","4000001","150"
"150","150","100","150","4000002","100"
"150","100","150","100","4000003","150"
"150","100","150","150","4000004","100"
"150","100","100","150","4000005","150"
"100","150","150","100","4000006","150"
"100","150","150","150","4000007","100"
"100","150","100","150","4000008","150"
"100","100","150","150","4000009","150"
"250","250","250","100","4000010","100"
"250","250","100","100","4000011","250"
"250","250","100","250","4000012","100"
"250","100","250","100","4000013","250"
"250","100","250","250","4000014","100"
"250","100","100","250","4000015","250"
"100","250","250","100","4000016","250"
"100","250","250","250","4000017","100"
"100","250","100","250","4000018","250"
"100","100","250","250","4000019","250"
"150","150","150","100","5000000","150"
"150","150","150","150","5000001","100"
"150","150","100","150","5000002","150"
"150","100","150","150","5000003","150"
"100","150","150","150","5000004","150"
"250","250","250","100","5000010","250"
"250","250","250","250","5000011","100"
"250","250","100","250","5000012","250"
"250","100","250","250","5000013","250"
"100","250","250","250","5000014","250"
