2113646be30f1cff2316a9a300e0e266bb58c7ab07fd54d88386ced6a0621cf3,b3c85171d49bf1c5ae42243c25b7e1e0e1a1573b7fbbbbcb39e9652f905ebea6,e42a674a5deca859a2dad92af15f3e45c5c9874c127e9a097aa4f8d53f5755bb,e2d523e441165bf50868aa43caa459e1892000c307d31b8f5511e9a7a972278e,39ff33d5297e5b87e8e4d97010dcd6b902200256a49df873cf582cfb7f47b899,8a45d0fff27dfd87d8264f0c65acafa0a5848d3d03d637fa8b2cca18f1510b88,7d9760ac391a0878cf857db7e93db3a78697bf754e841afd0b8a284559fbe3d9,906bd02cc84989428d8fba42c664db8b0cd96a1d4d35ed5fee56b3865f7fd8a5
"-401","182","1","1","71","170","1","-90"
"-401","182","2","2","81","170","1","-90"
"-255","182","3","3","121","255","1","90"
"-255","182","4","4","131","255","1","90"
"-255","182","5","5","141","255","1","90"
"-107","176","6","6","191","229","1","-80"
"-107","176","7","7","201","229","1","-80"
"136","151","8","8","271","218","1","-85"
"136","151","9","9","281","218","1","-85"
"136","151","10","10","291","218","1","-85"
"280","219","11","11","331","156","1","80"
"280","219","12","12","341","156","1","80"
"280","219","13","13","351","156","1","80"
"417","183","14","14","401","213","1","-97"
"417","183","15","15","411","213","1","-97"
"-259","229","2","1","451","242","2","-73"
"-222","179","4","2","481","226","2","124"
"-101","192","6","3","501","219","2","-67"
"-26","190","8","4","521","168","2","-27"
"117","260","11","5","551","192","2","-50"
"241","138","14","6","601","159","2","120"
"241","138","14","7","611","159","2","120"
"243","229","14","8","621","224","2","-71"
"-353","43","1","1","781","71","3","32"
"-228","268","2","2","801","235","3","-30"
"-243","45","3","3","831","80","3","144"
"20","225","4","4","851","221","3","-76"
"230","222","5","5","861","211","3","-74"
"-100","136","6","6","891","115","3","44"
"-100","136","7","7","901","115","3","44"
"116","250","8","8","991","306","3","76"
"116","250","9","9","1001","306","3","76"
"116","250","10","10","1011","306","3","76"
"322","188","11","11","1041","96","3","40"
"322","188","12","12","1051","96","3","40"
"-211","272","1","1","1091","294","4","-6"
"-288","115","2","2","1101","92","4","129"
"-288","115","3","3","1111","92","4","129"
"-58","174","4","4","1121","135","4","128"
"143","184","5","5","1151","222","4","133"
"-277","98","6","6","1161","134","4","-129"
"-277","98","7","7","1171","134","4","-129"
"-60","70","8","8","1211","67","4","-12"
"-60","70","9","9","1221","67","4","-12"
"116","185","10","10","1231","132","4","-55"
"-17","89","11","11","1261","93","4","-103"
"-17","89","12","12","1271","93","4","-103"
"232","239","13","13","1311","150","4","23"
"-289","72","1","1","1391","114","5","-161"
"-289","72","2","2","1401","114","5","-161"
"-261","248","3","3","1411","228","5","80"
"-103","211","4","4","1431","223","5","-91"
"-87","181","5","5","1471","186","5","95"
"69","176","6","6","1551","132","5","-122"
"69","176","7","7","1561","132","5","-122"
"54","184","8","8","1611","143","5","91"
"204","247","9","9","1641","211","5","45"
"308","167","10","10","1651","137","5","141"
"282","174","11","11","1661","175","5","-46"
"-252","240","1","1","1741","222","6","-11"
"-19","245","2","2","1761","311","6","-96"
"-46","221","3","3","1771","261","6","95"
"152","237","4","4","1781","166","6","83"
"227","229","5","5","1782","183","6","-100"
"-249","183","1","1","1811","223","7","-46"
"-159","247","2","2","1881","337","7","54"
"30","191","3","3","1921","202","7","-70"
"173","215","4","4","1941","176","7","0"
"292","236","5","5","1981","204","7","77"
"-472","254","1","1","2001","209","8","89"
"-375","282","2","2","2031","250","8","-77"
"-280","223","3","3","2051","241","8","110"
"-148","270","4","4","2101","243","8","-85"
"3","264","5","5","2131","274","8","74"
"155","302","6","6","2171","321","8","-36"
"283","277","7","7","2201","199","8","82"
"374","344","8","8","2271","349","8","0"
"-275","301","1","1","2321","240","9","-30"
"-132","108","2","2","2361","106","9","-115"
"-132","108","3","3","2371","106","9","-115"
"-73","246","4","4","2381","202","9","32"
"-43","84","5","5","2411","114","9","-140"
"-43","84","6","6","2421","114","9","-140"
"50","84","8","7","2461","86","9","65"
"50","84","9","8","2471","86","9","65"
"80","137","10","9","2481","185","9","-110"
"80","137","11","10","2491","185","9","-110"
"131","377","7","11","2521","301","9","24"
"280","305","12","12","2531","190","9","-50"
"-527","145","3","1","2601","123","10","-137"
"-527","145","4","2","2611","123","10","-137"
"-379","295","1","3","2621","408","10","35"
"-299","192","2","4","2622","171","10","103"
"-138","244","6","5","2623","342","10","-64"
"-47","254","5","6","2701","224","10","9"
"131","204","8","7","2781","253","10","-88"
"89","139","9","8","2791","110","10","23"
"89","139","10","9","2801","110","10","23"
"275","249","7","10","2811","292","10","42"
"274","151","11","11","2821","126","10","-120"
"274","151","12","12","2831","126","10","-120"
"448","316","13","13","2841","276","10","-17"
"-292","203","1","1","2901","158","11","-87"
"-224","187","2","2","3011","256","11","123"
"-65","225","3","3","3031","144","11","-80"
"80","214","4","4","3111","149","11","-84"
"227","194","5","5","3131","201","11","112"
"159","111","6","6","3141","161","11","-111"
"159","111","7","7","3151","161","11","-111"
"307","209","8","8","3171","166","11","-80"
"-185","206","3","1","3211","364","12","-106"
"-304","277","1","2","3221","160","12","34"
"-107","275","2","3","3231","249","12","45"
"31","233","5","4","3321","167","12","-46"
"135","130","7","5","3381","174","12","-122"
"135","130","8","6","3391","174","12","-122"
"127","223","4","7","3431","244","12","101"
"254","246","6","8","3441","235","12","-24"
"303","156","9","9","3461","167","12","-114"
"303","156","10","10","3471","167","12","-114"
"338","94","11","11","3491","108","12","152"
"338","94","12","12","3501","108","12","152"
"-286","270","3","1","3531","210","13","-48"
"-310","103","2","2","3541","92","13","144"
"-152","219","3","3","3551","228","13","-90"
"-148","103","4","4","3561","94","13","99"
"-12","71","5","5","3571","110","13","-157"
"-5","274","1","6","3581","209","13","-2"
"141","292","6","7","3691","219","13","-72"
"146","104","7","8","3701","88","13","143"
"299","135","8","9","3741","160","13","131"
"299","135","9","10","3751","160","13","131"
"301","268","10","11","3791","179","13","-82"
"-470","286","2","1","3801","197","14","6"
"-520","89","3","2","3811","134","14","-123"
"-369","236","1","3","3821","204","14","103"
"-283","241","5","4","3861","176","14","-74"
"-151","236","6","5","3891","156","14","-83"
"-174","226","4","6","3911","219","14","108"
"-51","96","10","7","3921","107","14","-130"
"-5","251","9","8","3931","179","14","50"
"100","102","11","9","3941","113","14","-106"
"268","317","12","10","3951","242","14","-41"
"138","240","7","11","3961","209","14","79"
"138","240","8","12","3971","209","14","79"
"441","93","14","13","4021","125","14","-125"
"485","279","13","14","4031","219","14","22"
