b688582413e58b42fd9f21e3f0ebfcb0efb8cff5e38302f0d06cb2199f6bba1e,a6577afddb13d86e7af22bb895c1fbfa98c83f931461c47365f8b550ab5f2bb5,29801ba8b4de34c6851a697dc6dad68e76bb8f97a3b1cb9480b0ed3a70bc69cf,2e0b94e119c2700be3fefb8dc748cf8c0be5f794fff187726364b835529ad598,3d434c41978ca0ad3685756532b6d442968e0f1988e1b7d061144ed720dbd9d4
"25","1","1","13000001","101"
"26","1","1","40001","102"
"28","1000","1","99012","103"
"25","1","2","13000002","201"
"26","1","2","40002","202"
"28","1000","2","99012","203"
"25","1","3","13000004","301"
"26","1","3","40006","302"
"28","1000","3","99012","303"
"25","1","4","13000011","401"
"26","1","4","40008","402"
"28","1000","4","99012","403"
"25","1","5","13000007","501"
"26","1","5","40007","502"
"28","1000","5","99012","503"
"25","1","6","13000005","601"
"26","1","6","40011","602"
"28","1000","6","99012","603"
"25","1","7","13000009","701"
"26","1","7","40003","702"
"28","1000","7","99012","703"
"25","1","8","13000010","801"
"26","1","8","40012","802"
"28","1000","8","99012","803"
"25","1","9","13000013","901"
"26","1","9","40010","902"
"28","1000","9","99012","903"
"25","1","10","13000006","1001"
"26","1","10","40013","1002"
"28","1000","10","99012","1003"
"25","1","11","13000008","1101"
"26","1","11","40004","1102"
"28","1000","11","99012","1103"
"25","1","13","13000012","1301"
"26","1","13","40009","1302"
"28","1000","13","99012","1303"
"25","1","14","13000014","1401"
"26","1","14","40014","1402"
"28","1000","14","99012","1403"
"25","1","15","13000003","1501"
"26","1","15","40005","1502"
"28","1000","15","99012","1503"
