46d29cdf603c3546a241da36fd0d09f410eb338b2d38f3e87d0aa2822762f408,e595381a468bfa2a4db746740f04f25ef9fff597f4665245f744a60509de6a7c,39b32cf67427b1171e075c34e03b04d2f6fbe9f0745d758f03568eb3b47e0cf2,72076c3f84ed2ee39bcd5a7f9d2f3f4ee0583d8613ad755fa641683341bdfddb,a5a7a7af8db6aa6905aa8f46f5ce57b71c1c20495a4733b84c5337f471b71576
"28","2020/03/02 4:59:59","2020/02/15 15:00:00","27001","27001"
"33","2021/03/05 11:59:59","2021/02/15 23:00:00","27001","27002"
"42","2021/09/05 11:59:59","2021/08/15 15:00:00","27001","27003"
"43","2022/01/21 11:59:59","2021/12/31 12:00:00","27001","27004"
"44","2022/03/05 14:59:59","2022/02/15 15:00:00","27005","27005"
"55","2022/09/05 11:59:59","2022/08/15 15:00:00","27001","27006"
"81","2023/01/21 11:59:59","2022/12/31 12:00:00","27001","27007"
"82","2023/03/05 14:59:59","2023/02/15 15:00:00","27005","27008"
"85","2023/05/25 14:59:59","2023/04/30 12:00:00","27009","27009"
"113","2023/09/04 14:59:59","2023/08/15 15:00:00","27001","27010"
"115","2024/01/21 11:59:59","2023/12/31 12:00:00","27012","27012"
"118","2024/03/05 14:59:59","2024/02/15 00:00:00","27005","27013"
"119","2024/05/30 23:59:59","2024/04/30 12:00:00","27012","27014"
"127","2024/09/10 23:59:59","2024/08/15 15:00:00","27012","27015"
"138","2024/12/31 11:59:59","2024/12/20 5:30:00","27012","27016"
"140","2025/01/24 23:59:59","2024/12/31 12:00:00","27012","27017"
"153","2025/03/05 23:59:59","2025/02/15 15:00:00","27018","27018"
"154","2025/03/05 23:59:59","2025/02/15 15:00:00","27012","27019"
"169","2025/05/30 23:59:59","2025/04/30 12:00:00","27012","27020"
"191","2025/09/10 23:59:59","2025/08/15 15:00:00","27012","27023"
"223","2025/12/31 11:59:59","2025/12/20 12:00:00","27012","27024"
"226","2026/01/24 23:59:59","2025/12/31 12:00:00","27012","27025"
"245","2026/03/05 23:59:59","2026/02/15 12:00:00","27018","27028"
"246","2026/03/05 23:59:59","2026/02/15 12:00:00","27005","27029"
"260","2026/05/30 23:59:59","2026/04/30 12:00:00","27005","27030"
"270","2026/05/30 23:59:59","2026/04/30 12:00:00","27031","27031"
"277","2026/09/01 23:59:59","2026/08/15 12:00:00","27005","27032"
