dd133d10d88eabf5849ae4b99cc2535f3700d1531f85da868f6f1cefdfb4b24e,7f4af6933c4acbef97918b286c6aa12d8dd050750ee66f2b3e88f3358042cae1,55f234e22cc625c36baa20e1f74f42886e95141da7993a1c84128624e178c80d,28a1d0824e6781976417843e65c57b8ac4701ff16c2859e9d1cf4a5b2756d77a,b75b335e5ed7a63376cc83bdc94df84a1c4c66f6a7b19ab46b34767123b94727,ad9eb08500e37d654a0653353cc5a478bd7f6e28f6d25bb29495c14f13ce6572,b0a2bc5340f5f17172638a1e58eea4aea9436948eace85450e5891d25547c6bd
"72004021","107601","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20004","10"
"72005021","108001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20005","12"
"72007021","108201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20007","15"
"72009021","108501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20009","17"
"72010021","108901","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20010","19"
"72011021","109001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20011","21"
"72013021","109301","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20013","22"
"72015021","110101","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20015","23"
"72016021","110501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20016","24"
"72018021","111201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20018","25"
"72020021","111601","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20020","26"
"72021021","112101","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20021","27"
"72022021","112301","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20022","28"
"72025021","113001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","20025","29"
