4c846850dea13a2e8983927560faff4d3df34ffa67f0bd9ee8b659cec002ff19,f03c0117fdf7071b29be7fbbbf04e6ea10b1f86791ee2920171d2a6fd78090f8,bcbf861ed46e5aa84fa5d53358f09b4ca46bed6c0702ab5c96a8912eaf2ad96d,c2bc32f5f1fd91cea09052665df2e84e0afc20af49e0da1f54df7b269e78ccff,ac9c8dbebc162a361a89a591e524f0273b70dfc149564395af6410aab8863b98,73ecd882ed769624df672838ba32f489ea0ab66e52e96b3fe2c8ef9a0107dfce,6afa80c2a174fa8081efb05183eb38271848fdce1966b5e647cb52b0a9888846,0e4a477213144549ca81946462c07ce4d7f654e12e853c75c44fb2dd86bdef16,4b88bf34b5cad732d3e70cb7c77aab2049ff898ee670b513d010239ad93844cb,d382773d1bc40b5bc4c90d202bd1d3235109400cc51de0b747c516e65930914e,8a15df74c0d694467c88f6927f42739dabf094fa25b6c448342809b03a52c7b2
"118511","100","1001","72","-194","1.65","1","taq_karin_idle","1","1","1"
"vo_minigame_1009_top_001","0","1002","0","","","vo_minigame_1009","","","21","1"
"賞品も用意して\nいますので頑張って\nくださいね♪","8","1003","0","0","0","118511","0","0","11","1"
"taq_karin_talk_normal","1","1004","","","0.2","118511","","","3","1"
"","","1005","","","","1003","","","91","1"
"taq_karin_idle","1","1006","","","0.2","118511","","","3","1"
"118511","100","2001","72","-194","1.65","1","taq_karin_idle","1","1","2"
"vo_minigame_1009_top_002","0","2002","0","","","vo_minigame_1009","","","21","2"
"みなさんの知識が\n試されますよ","8","2003","0","0","0","118511","0","0","11","2"
"taq_karin_talk_thinking","1","2004","","","0.2","118511","","","3","2"
"","","2005","","","","2003","","","91","2"
"taq_karin_idle","1","2006","","","0.2","118511","","","3","2"
"118511","100","3001","72","-194","1.65","1","taq_karin_idle","1","1","3"
"vo_minigame_1009_top_003","0","3002","0","","","vo_minigame_1009","","","21","3"
"世の中にはまだまだ\n知らないことが\nたくさんあるんですね","8","3003","0","0","0","118511","0","0","11","3"
"taq_karin_talk_surprise","1","3004","","","0.2","118511","","","3","3"
"","","3005","","","","3003","","","91","3"
"taq_karin_idle","1","3006","","","0.2","118511","","","3","3"
"118511","100","4001","72","-194","1.65","1","taq_karin_idle","1","1","4"
"vo_minigame_1009_top_004","0","4002","0","","","vo_minigame_1009","","","21","4"
"わからないときは\n勘に頼ってみても\nいいと思います","8","4003","0","0","0","118511","0","0","11","4"
"taq_karin_talk_normal2","1","4004","","","0.2","118511","","","3","4"
"","","4005","","","","4003","","","91","4"
"taq_karin_idle","1","4006","","","0.2","118511","","","3","4"
"118511","100","5001","72","-194","1.65","1","taq_karin_idle","1","1","5"
"vo_minigame_1009_top_005","0","5002","0","","","vo_minigame_1009","","","21","5"
"仲よく協力して\n全問正解を\n目指してくださいね♪","7","5003","0","0","0","118511","0","0","11","5"
"taq_karin_talk_joy3","1","5004","","","0.2","118511","","","3","5"
"","","5005","","","","5003","","","91","5"
"taq_karin_idle","1","5006","","","0.2","118511","","","3","5"
