b7ae205ae1c8f5a2afefd984ad0de3d3ff58b69495afec1992c9aa00b0fe8c51,d4eaa00b74866a7ed64e881219bfc567dc6e7d3943290f9a9ebc997a47061cb9,6482354cf7740e6b64c042ffc1c77efb299df72031fe8c4bd061e0c792d253ea,cb260fb4415d8dd6860ce279da6dc8c45f187f23256f4a6710e60d947a8128f3,2cb4057e850f59e2455960c7aef3d2d4dc0664893a9f806a64c041bfe9da7dea,a13c48ec74610296da0c7eb0c90acad293878acda16ae6767c8e65ac305a0fff,476b5651a24a2b699824c7677c6655d0453773c9ad5365584237825d4aaff7de
"2","10001","1","ふっふっふ、これでカヤぴぃとボスを見返してやるです！","vo_minigame_1004","vo_minigame_1004_top_1_000","1000101"
"2","10002","1","しりとりでの戦い、お兄さんにも手伝ってもらうです","vo_minigame_1004","vo_minigame_1004_top_1_003","1000201"
"1","10003","2","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","vo_minigame_1004","vo_minigame_1004_top_1_004","1000301"
"1","10004","2","石板でしりとりか……イノリのヤツおもしろいこと考えるな","vo_minigame_1004","vo_minigame_1004_top_1_005","1000401"
"1","10005","2","しりとりだろうがなんだろうが返り討ちにしてやるぜ","vo_minigame_1004","vo_minigame_1004_top_1_006","1000501"
"2","10006","3","ぐもも……（オデ、ハラヘッタ）","vo_minigame_1004","vo_minigame_1004_top_1_007","1000601"
"2","10007","3","ぐもももも（シリトリ タノシイ）","vo_minigame_1004","vo_minigame_1004_top_1_008","1000701"
"2","10008","3","ぐもももも！（イノリ イイヤツ）","vo_minigame_1004","vo_minigame_1004_top_1_009","1000801"
"2","10009","1","カヤぴぃ相手でも手加減しないです","vo_minigame_1004","vo_minigame_1004_top_2_010","1000901"
"1","10009","2","上等だ！やるからには本気で来いよな","vo_minigame_1004","vo_minigame_1004_top_2_011","1000902"
"2","10010","1","カヤぴぃ、謝るなら今のうちです","vo_minigame_1004","vo_minigame_1004_top_2_012","1001001"
"1","10010","2","イノリこそ泣きを入れるなら今のうちだぜ？","vo_minigame_1004","vo_minigame_1004_top_2_013","1001002"
"2","10011","1","カヤぴぃ、これからは知性の時代ですよ？","vo_minigame_1004","vo_minigame_1004_top_2_014","1001101"
"1","10011","2","待て！オレがバカみたいにいうな！！","vo_minigame_1004","vo_minigame_1004_top_2_015","1001102"
"1","10012","1","さあ、あたしたちの力を見せてやるです","vo_minigame_1004","vo_minigame_1004_top_2_016","1001201"
"2","10012","3","ぐも！（マカセロ！）","vo_minigame_1004","vo_minigame_1004_top_2_017","1001202"
"1","10013","1","よしよし、いいですようまくできたらチョコをあげるです！","vo_minigame_1004","vo_minigame_1004_top_2_018","1001301"
"2","10013","3","ぐも！（オデ チョコスキ）","vo_minigame_1004","vo_minigame_1004_top_2_019","1001302"
"1","10014","2","なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004","vo_minigame_1004_top_2_023","1001401"
"2","10014","1","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004","vo_minigame_1004_top_2_024","1001402"
"1","10015","2","いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004","vo_minigame_1004_top_2_025","1001501"
"2","10015","1","望むところです手加減はなしですよ","vo_minigame_1004","vo_minigame_1004_top_2_026","1001502"
"1","10016","2","へっ、なかなかやるじゃねえか","vo_minigame_1004","vo_minigame_1004_top_2_027","1001601"
"2","10016","1","カヤぴぃも思ったよりやるですね！","vo_minigame_1004","vo_minigame_1004_top_2_028","1001602"
"1","10017","2","お～い、ドラゴンもどき？","vo_minigame_1004","vo_minigame_1004_top_2_029","1001701"
"2","10017","3","ぐもっ！？（ヒッ！）","vo_minigame_1004","vo_minigame_1004_top_2_030","1001702"
"1","10018","2","いやあ、あんときは悪かったなはっはっは","vo_minigame_1004","vo_minigame_1004_top_2_031","1001801"
"2","10018","3","ぐももも……（かやピィ コワカッタ）","vo_minigame_1004","vo_minigame_1004_top_2_032","1001802"
"1","10019","2","お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004","vo_minigame_1004_top_2_033","1001901"
