e3938ce03b5e92ff543e1d8485eb24576ff36271dc2e7bd062ca46809b437e55,f1e863593597cdd951cdd1040a5e59f7145c3ae42003b61ef9e86660a6520720,46e9797ef559381e1da9e4201bdbf42f49bcc8c2a63b6408c8e9eac1cc76c8ba,3137a29510d4c37de7a6a6f9f77b4462357850f41c6125d4dede428d642bcfb9,70cebae75e0457da9623fa64c929ed423c8ee79a00c8688786421d7d5b5629f1,134ef1bfabb7ac363f644705f9b0356c984e89252debca9d4692109937d25ada,fa9e93a7efa6f83e8662e242bb12d6f9e6369608958634cc47db5971cf376a7b,f7226fc4c00434822e008fe69c033ec243566b1bb9de2e41281733b2449e0d83
"1","20000","1","21952","2","96001","1","1"
"2","10000","1","21904","2","96001","1","1"
"3","10000","1","41000","2","96001","1","1"
"4","2000","5","31803","2","96001","5","1"
"5","1500","5","31215","2","96001","5","1"
"6","1500","5","31210","2","96001","5","1"
"7","1500","5","31211","2","96001","5","1"
"8","1250","10","90005","2","96001","5","1"
"9","500","20","140001","4","96001","10","1"
"10","500","10","25001","2","96001","5","1"
"11","100","5","150003","4","96001","5","1"
"12","130","5","150004","4","96001","5","1"
"13","150","5","150005","4","96001","5","1"
"14","180","5","150006","4","96001","5","1"
"15","200","5","150007","4","96001","5","1"
"16","230","5","150008","4","96001","5","1"
"17","500","5","20004","2","96001","100","1"
"18","200","5","22003","2","96001","100","1"
"19","1000","0","20004","2","96001","100","1"
"20","400","0","22003","2","96001","100","1"
"21","20000","1","21952","2","96002","1","2"
"22","10000","1","21904","2","96002","1","2"
"23","10000","1","41000","2","96002","1","2"
"24","1500","5","31233","2","96002","5","2"
"25","1500","5","31229","2","96002","5","2"
"26","1500","5","31225","2","96002","5","2"
"27","1250","10","90005","2","96002","5","2"
"28","500","20","140001","4","96002","10","2"
"29","500","10","25001","2","96002","5","2"
"30","100","5","150003","4","96002","5","2"
"31","130","5","150004","4","96002","5","2"
"32","150","5","150005","4","96002","5","2"
"33","180","5","150006","4","96002","5","2"
"34","200","5","150007","4","96002","5","2"
"35","230","5","150008","4","96002","5","2"
"36","500","5","20004","2","96002","100","2"
"37","200","5","22003","2","96002","100","2"
"38","1000","0","20004","2","96002","100","2"
"39","400","0","22003","2","96002","100","2"
"40","20000","1","21952","2","96003","1","3"
"41","10000","1","21905","2","96003","1","3"
"42","10000","1","41000","2","96003","1","3"
"43","2000","5","31805","2","96003","5","3"
"44","1500","5","31240","2","96003","5","3"
"45","1500","5","31238","2","96003","5","3"
"46","1500","5","31236","2","96003","5","3"
"47","2500","5","90005","2","96003","10","3"
"48","2500","5","140001","4","96003","50","3"
"49","500","5","25001","2","96003","5","3"
"50","500","5","150003","4","96003","30","3"
"51","650","5","150004","4","96003","30","3"
"52","750","5","150005","4","96003","30","3"
"53","900","5","150006","4","96003","30","3"
"54","1000","5","150007","4","96003","30","3"
"55","1150","5","150008","4","96003","30","3"
"56","2500","5","20004","2","96003","500","3"
"57","1000","5","22003","2","96003","500","3"
"58","1000","0","20004","2","96003","100","3"
"59","400","0","22003","2","96003","100","3"
"60","20000","1","21952","2","96004","1","4"
"61","10000","1","21905","2","96004","1","4"
"62","10000","2","41000","2","96004","1","4"
"63","2000","5","31807","2","96004","5","4"
"64","1500","5","31245","2","96004","5","4"
"65","1500","5","31248","2","96004","5","4"
"66","1500","5","31250","2","96004","5","4"
"67","1500","5","31091","2","96004","5","4"
"68","2500","5","90005","2","96004","10","4"
"69","2500","10","140001","4","96004","50","4"
"70","1000","10","25001","2","96004","10","4"
"71","500","5","150003","4","96004","30","4"
"72","650","5","150004","4","96004","30","4"
"73","750","5","150005","4","96004","30","4"
"74","900","5","150006","4","96004","30","4"
"75","1000","5","150007","4","96004","30","4"
"76","1150","5","150008","4","96004","30","4"
"77","1300","5","150009","4","96004","30","4"
"78","2500","5","20004","2","96004","500","4"
"79","1000","5","22003","2","96004","500","4"
"80","1000","0","20004","2","96004","100","4"
"81","400","0","22003","2","96004","100","4"
"82","20000","1","25101","2","96005","1","5"
"83","20000","1","21952","2","96005","1","5"
"84","10000","1","21905","2","96005","1","5"
"85","10000","2","41000","2","96005","1","5"
"86","1500","5","31200","2","96005","5","5"
"87","1500","5","31253","2","96005","5","5"
"88","1500","5","31255","2","96005","5","5"
"89","1500","5","31256","2","96005","5","5"
"90","2500","5","90005","2","96005","10","5"
"91","2500","10","140001","4","96005","50","5"
"92","1000","10","25001","2","96005","10","5"
"93","500","5","150003","4","96005","30","5"
"94","650","5","150004","4","96005","30","5"
"95","750","5","150005","4","96005","30","5"
"96","900","5","150006","4","96005","30","5"
"97","1000","5","150007","4","96005","30","5"
"98","1150","5","150008","4","96005","30","5"
"99","1300","5","150009","4","96005","30","5"
"100","2500","5","20004","2","96005","500","5"
"101","1000","5","22003","2","96005","500","5"
"102","1000","0","20004","2","96005","100","5"
"103","400","0","22003","2","96005","100","5"
"104","20000","1","25101","2","96006","1","6"
"105","20000","1","21952","2","96006","1","6"
"106","10000","1","21905","2","96006","1","6"
"107","10000","2","41000","2","96006","1","6"
"108","1500","5","31262","2","96006","5","6"
"109","1500","5","31266","2","96006","5","6"
"110","1500","5","31269","2","96006","5","6"
"111","1500","5","31271","2","96006","5","6"
"112","2500","5","90005","2","96006","10","6"
"113","2500","10","140001","4","96006","50","6"
"114","1000","10","25001","2","96006","10","6"
"115","500","5","150003","4","96006","30","6"
"116","650","5","150004","4","96006","30","6"
"117","750","5","150005","4","96006","30","6"
"118","900","5","150006","4","96006","30","6"
"119","1000","5","150007","4","96006","30","6"
"120","1150","5","150008","4","96006","30","6"
"121","1300","5","150009","4","96006","30","6"
"122","2500","5","20004","2","96006","500","6"
"123","1000","5","22003","2","96006","500","6"
"124","1000","0","20004","2","96006","100","6"
"125","400","0","22003","2","96006","100","6"
"126","20000","1","25101","2","96007","1","7"
"127","20000","1","21952","2","96007","1","7"
"128","10000","1","21905","2","96007","1","7"
"129","10000","2","41000","2","96007","1","7"
"130","1500","5","31272","2","96007","5","7"
"131","2000","5","31808","2","96007","5","7"
"132","1500","5","31275","2","96007","5","7"
"133","2500","5","90005","2","96007","10","7"
"134","2500","10","140001","4","96007","50","7"
"135","1000","10","25001","2","96007","10","7"
"136","500","5","150003","4","96007","30","7"
"137","650","5","150004","4","96007","30","7"
"138","750","5","150005","4","96007","30","7"
"139","900","5","150006","4","96007","30","7"
"140","1000","5","150007","4","96007","30","7"
"141","1150","5","150008","4","96007","30","7"
"142","1300","5","150009","4","96007","30","7"
"143","2500","5","20004","2","96007","500","7"
"144","1000","5","22003","2","96007","500","7"
"145","1000","0","20004","2","96007","100","7"
"146","400","0","22003","2","96007","100","7"
"147","20000","1","25101","2","96008","1","8"
"148","20000","1","21952","2","96008","1","8"
"149","10000","1","21905","2","96008","1","8"
"150","10000","2","41000","2","96008","1","8"
"151","1500","5","31279","2","96008","5","8"
"152","2000","5","31809","2","96008","5","8"
"153","1500","5","31284","2","96008","5","8"
"154","1500","5","31285","2","96008","5","8"
