700d700049d4b65de7d64190440998b4729c65d02999f240eb524496f7dc59b0,2191b2a3de4c57f2685fe71fca733830c8180c0755c67248aa6067e8800cd0fd,27973e61972c57a50c7abd38962d6c64cf7f67155db935b0f476bd0d2692c09a,20b229b10fdedb3679e9f5a9845ae923a1a97c52cdc6b17424c72bc9e90cf8c7,dcfb3b5d7d0e517b86c49bd01ccd5d77c2ca3ca572440d6173ed6887f4d2603f,9c24943cf7f576b2c187d2a923407086a732da642d97d49d05a9211cd41ba1cd,4a34d131472c3db60b6881b0889ea483545d441839662286e50aec19e5e109c0,ba449af8c01064ea96c46449564244c5c9a004c10a15e6287d8783e436c3c0f8,ab37d5e17c5033758fc61dedba7def42bf07056f5f577a88669b9ab88ead16b9,1dc0d4a30ee7378c0abc99f91c8246c802785f611f3f010bd73ee33c16d9ec81
"102231","bgm_M301","-100","bgm_M301","1","102231","0","記憶領域1層","0","75000001"
"81002102","bgm_M248_02","0","bgm_M248","1","81002102","0","記憶領域2層","0","75000002"
"102241","bgm_M301","-100","bgm_M301","1","102241","0","記憶領域3層","0","75000003"
"81002502","bgm_M268","0","bgm_M268","1","81002502","0","記憶領域4層","0","75000004"
"102881","bgm_M502","-100","bgm_M502","1","102881","0","記憶領域5層","0","75000005"
"81004602","bgm_M397","0","bgm_M397","1","81004602","0","記憶領域6層","0","75000006"
"102871","bgm_M503","-100","bgm_M503","1","102871","0","記憶領域7層","0","75000007"
"81009002","bgm_M577","0","bgm_M577","1","81009002","0","記憶領域8層","0","75000008"
"102251","bgm_M301","-100","bgm_M301","1","102251","0","記憶領域9層","0","75000009"
"102861","bgm_M505","-100","bgm_M505","1","102861","0","記憶領域10層","0","75000010"
"81010002","bgm_M621","0","bgm_M621","1","81010002","0","記憶領域11層","0","75000011"
"81000605","bgm_M504","-100","bgm_M504","1","81000605","0","記憶領域12層","0","75000012"
