6157fd67471d090327735166012e4639b40595044b24a40c17f30a149eb7e9e7,b63508210681aed4847a157e8df060d07d8e3f8963ff680b4e038b7c4a4ce7ab,cfece5c58d6583a99d32ce089fa3337e8396a8a555985b07deebbecfb513eb22,95c5353d8e98e292f4c6d3bf6199f9948d5b30972718413c66fac8de581a80da,eadd771732c6460f87db13e091e3fcdbb860e66abf3b51e49b37cab1ead8b4ed,757c1930d5b49caf1a16053562ff3521f9cab3a87b7c48f90069e0eb31224614,7c152c4d960f6177972a2bc99f394197a5a2cadd7a3a886fb2d95a396fd13cef,f6a80c06ea145148f64bf1562441f2a721e7cf6b7b8d1367b91223ad2eabd325,577aa0e3863e7cf3fececaedebd74ca8e034aae30002d9980ce9b75cbd179dba,639e3ce42c8317e1facce71eff39e01ab1804eee56d43b01e4b454d42d322419,90bac3151ba5be2f608aa6ab916fac94bccb3b033267e1c957e9a2deb1b5d027,a2fb722ac56a7231a53f7d212ca01e6c439c1897ea9590b63d31f01b1e0e88ca
"515406201","0.8","0","4","0","0","0","0","5154062","0","1","1"
"515406202","0","0","2","0","vo_abd_0101","0","vo_abd","5154062","0","2","0"
"515406203","0","300","1","2","0","1","0","5154062","0","3","0"
"515406204","2.1","0","4","0","0","0","0","5154062","0","4","1"
"515406205","0","0","2","0","vo_abd_0102","0","vo_abd","5154062","0","5","0"
"515406206","0","400","1","2.05","0","2","0","5154062","0","6","0"
"515406207","3.2","0","4","0","0","0","0","5154062","0","7","1"
"515406208","0","0","2","0","vo_abd_0103","0","vo_abd","5154062","0","8","0"
"515406209","0","60","1","1","0","3","0","5154062","0","9","0"
"515406210","1.4","0","4","0","0","0","0","5154062","0","10","1"
"515406211","0","430","1","2.5","0","3","0","5154062","60","11","0"
"515406212","3.3","0","4","0","0","0","0","5154062","0","12","1"
"515406213","0","0","2","0","vo_abd_0104","0","vo_abd","5154062","0","13","0"
"515406214","0","27","1","0.2","0","4","0","5154062","0","14","0"
"515406215","0.5","0","4","0","0","0","0","5154062","0","15","1"
"515406216","0","60","1","0.2","0","4","0","5154062","27","16","0"
"515406217","0.6","0","4","0","0","0","0","5154062","0","17","1"
"515406218","0","145","1","0.8","0","4","0","5154062","60","18","0"
"515406219","1.2","0","4","0","0","0","0","5154062","0","19","1"
"515406220","0","400","1","1.8","0","4","0","5154062","145","20","0"
"515406221","2.2","0","4","0","0","0","0","5154062","0","21","1"
"515406222","0","0","2","0","vo_abd_0105","0","vo_abd","5154062","0","22","0"
"515406223","0","95","1","0.6","0","5","0","5154062","0","23","0"
"515406224","1","0","4","0","0","0","0","5154062","0","24","1"
"515406225","0","195","1","0.7","0","5","0","5154062","95","25","0"
"515406226","1.5","0","4","0","0","0","0","5154062","0","26","1"
"515406227","0","315","1","0.8","0","5","0","5154062","195","27","0"
"515406228","1","0","4","0","0","0","0","5154062","0","28","1"
"515406229","0","415","1","0.7","0","5","0","5154062","315","29","0"
"515406230","2","0","4","0","0","0","0","5154062","0","30","1"
"515406231","0","0","2","0","vo_abd_0106","0","vo_abd","5154062","0","31","0"
"515406232","0","160","1","1","0","6","0","5154062","0","32","0"
"515406233","1.3","0","4","0","0","0","0","5154062","0","33","1"
"515406234","0","415","1","1","0","6","0","5154062","160","34","0"
"515406235","2.3","0","4","0","0","0","0","5154062","0","35","1"
"515406236","0","0","2","0","vo_abd_0107","0","vo_abd","5154062","0","36","0"
"515406237","0","85","1","0.7","0","7","0","5154062","0","37","0"
"515406238","0.8","0","4","0","0","0","0","5154062","0","38","1"
"515406239","0","360","1","0.8","0","7","0","5154062","85","39","0"
"515406240","2","0","4","0","0","0","0","5154062","0","40","1"
"515406241","0","0","2","0","vo_abd_0108","0","vo_abd","5154062","0","41","0"
"515406242","0","415","1","2.63","0","8","0","5154062","0","42","0"
"515406243","2.63","0","4","0","0","0","0","5154062","0","43","1"
"515406244","0","0","2","0","vo_abd_0109","0","vo_abd","5154062","0","44","0"
"515406245","0","200","1","1","0","9","0","5154062","0","45","0"
"515406246","2","0","4","0","0","0","0","5154062","0","46","1"
"515406247","0","245","1","0.5","0","9","0","5154062","200","47","0"
"515406248","1.2","0","4","0","0","0","0","5154062","0","48","1"
"515406249","0","415","1","1.5","0","9","0","5154062","245","49","0"
"515406250","2.5","0","4","0","0","0","0","5154062","0","50","1"
"515406251","0","0","2","0","vo_abd_0110","0","vo_abd","5154062","0","51","0"
"515406252","0","35","1","0.2","0","10","0","5154062","0","52","0"
"515406253","0.6","0","4","0","0","0","0","5154062","0","53","1"
"515406254","0","400","1","1.3","0","10","0","5154062","35","54","0"
"515406255","2.3","0","4","0","0","0","0","5154062","0","55","1"
"515406256","0","0","2","0","vo_abd_0111","0","vo_abd","5154062","0","56","0"
"515406257","0","60","1","0.3","0","11","0","5154062","0","57","0"
"515406258","1.2","0","4","0","0","0","0","5154062","0","58","1"
"515406259","0","315","1","1","0","11","0","5154062","60","59","0"
"515406301","0.8","0","4","0","0","0","0","5154063","0","1","1"
"515406302","0","0","2","0","vo_abd_0201","0","vo_abd","5154063","0","2","0"
"515406303","0","350","1","1.5","0","1","0","5154063","0","3","0"
