15cc3f174185a41641fd147b71d1c3fbcccc1c860a88899362a2df0d1db3d897,028f744523ee3bf12f64edc111eb69114ae77e7cca94a29d3fd863f06844c53f,722becd3feab9fdee80a02044ec45babceefa9daa293500780727bdcacf7f19a,fac34741860e5615d39e17c660815aa1f4ff870c2cedef36699cc9ea2e3c2144,27d52d5541f9b8e85c59980a1ba3410f8789d9538ce5dc9de197b15f27960bd9,08f5f75233c7ce6c07886784ab4b5d9eb6cf09eb6e51893f834c83f9784d29ae,4a3a5c5292416d75b9f609b69a79ad208ec405c67cbb0d225798452e3532ba92,da5e768b691320283642374b5a73daea50139cc9cf1197b52908595f170930a7,81c6421dad74798534c08fbedb56bcd45df7fd5261c28fa7e7c385d99d3420f1,8930bc19eec88e64702eefa1c1fb730497e7cc1c2cdbb3e7ffb30cf5fe96d286,779ad338f9e7fc1c9f7b93c3855e55396c4bf679e2a94252820c02d97cfabae8,e5207923fa74dc84dc86a2514b71728429f922a240b051f629095a4933d2a57a,7f651cf2141179dc8b6bd6d091f43266a8686615c4ff271c654a7bf6e57a2493,310f850f8d008267043cdab444aabeb48140139274428a3d4d7240b8a81d9eca,383a61a7084e76a677e62ba333202285882edb0f0af9bf86a5ffa930080d6ca0,4579c22748b615c13eca8d9bb0b88c082405f25236207458875828231579ccc2,9635eed03efef96328870ee52dd50f30b0bd7fb6135ae5f3de4f81ccd588168a,87740c71016e771873bda1ceeaa766184bf7172c418882f35ee9fe01e0ec6f9c,b369a1f1c19206050a6babb45d0141647fa131d7c29e17bdaa164584ed699b81
"0","2","0","10010","5010321","","1","610010401","0","0","0","610010004","0","0","0","1.5","5","0","90"
"0","3","0","10010","5010322","","2","610010402","108","0","0","610010005","0","0","0","1.5","5","0","90"
"0","1","0","10010","0","","3","0","0","0","0","610010006","0","0","0","1.5","5","0","90"
"0","1","0","10011","5011322","","1","0","0","0","0","610011004","0","5011321","0","1.5","5","70","90"
"0","1","0","10011","5011323","","2","0","0","0","0","610011005","0","0","0","1.5","5","40","90"
"0","1","0","10011","0","","3","0","0","0","0","610011006","0","0","0","1.5","5","0","90"
"0","2","0","10012","5012321","","1","610012401","0","3","1","610012004","0","0","600","1.5","5","0","90"
"0","1","0","10012","5012322","","2","0","0","0","1","610012005","0","0","0","1.5","5","51","90"
"0","1","0","10012","0","","3","0","0","0","1","610012006","0","0","0","1.5","5","0","90"
"0","2","0.9","10013","5013321","","1","610013401","0","3","1","610013004","50","0","600","1.5","5","0","90"
"0","1","1","10013","5013322","","2","0","0","0","0","610013005","84","0","0","1.5","5","50","90"
"0","1","1","10013","0","","3","0","0","0","0","610013006","84","0","0","1.5","5","0","90"
"0","2","0.9","10015","5015321","","1","610015401","0","3","1","610015004","1","0","600","1.5","5","0","90"
"0","1","1.3","10015","5015322","","2","0","0","0","1","610015005","-50","0","0","1.5","5","50","90"
"0","1","1.3","10015","0","","3","0","0","0","1","610015006","-50","0","0","1.5","5","0","90"
"0","2","0.9","10017","5017321","","1","610017401","0","3","1","610017004","50","0","600","1.5","5","0","90"
"0","1","1","10017","5017322","","2","0","0","0","1","610017005","84","0","0","1.5","5","50","90"
