05fdb4aaf4587687cc5ae2971fd6ca83018f8b29056ddb5f3f7501bd92d6149b,612e1f2804921067286c1b63459c695af82f44e4ed6d112017888f8b719b4f79,995e8ad7be090f5983eebb62e39288f152eb2602141a242113d18eb9a3d3fd77,217a5ef26f08f4b4aebcaed9f7e73c3e7bd1272c0f1d55bfe803398cad103369,dab08f94e627235912711754ce0698a81a27174f0aa66f5b4b74b4dd44d11e1d,cd13e872668b61b4970bffe20369ed623d03085c986c45c4a442b3cee3bbd491,d39fea6aa3df4c4c697b130c688cbd12385911f881076929ebf631d804036150,235c156634d1d182f1dfb23725cca58699193e950b92363aca52bdfd30b2b846,12361fb5085ee89f2d2ff85e71a4490d59a3ce3cc4f1dd68c739e45f845fa576,18ce3c875f1d9172f5d778499bf3076e1cb019927380a7e4bd2d8b128c718856
"20","100","1","3","10000","1","0","パーツを20個獲得しよう","1","1"
"25","100","2","3","10001","1","0","パーツを25個獲得しよう","2","1"
"30","100","3","3","10002","1","0","パーツを30個獲得しよう","2","1"
"35","100","4","3","10003","1","0","パーツを35個獲得しよう","3","1"
"40","100","5","3","10004","1","0","パーツを40個獲得しよう","3","1"
"45","100","6","3","10005","1","0","パーツを45個獲得しよう","4","1"
"50","100","7","3","10006","1","0","パーツを50個獲得しよう","4","1"
"1500","101","101","2","20000","2","0","総戦力を1500以上にしよう","3","1"
"2000","101","102","2","20001","2","0","総戦力を2000以上にしよう","3","1"
"2500","101","103","2","20002","2","0","総戦力を2500以上にしよう","3","1"
"3000","101","104","2","20003","2","0","総戦力を3000以上にしよう","3","1"
"3500","101","105","2","20004","2","0","総戦力を3500以上にしよう","3","1"
"4000","101","106","2","20005","2","0","総戦力を4000以上にしよう","4","1"
"4500","101","107","2","20006","2","0","総戦力を4500以上にしよう","4","1"
"5000","101","108","2","20007","2","0","総戦力を5000以上にしよう","4","1"
"6000","101","109","2","20008","2","0","総戦力を6000以上にしよう","4","1"
"7000","101","110","2","20009","2","0","総戦力を7000以上にしよう","4","1"
"8000","101","111","2","20010","2","0","総戦力を8000以上にしよう","5","1"
"9000","101","112","2","20011","2","0","総戦力を9000以上にしよう","5","1"
"10000","101","600","2","20012","2","0","総戦力を10000以上にしよう","5","1"
"100","200","201","4","30000","3","0","バトルポイントを累計100pt獲得しよう","2","2"
"200","200","202","4","30001","3","0","バトルポイントを累計200pt獲得しよう","2","2"
"300","200","203","4","30002","3","0","バトルポイントを累計300pt獲得しよう","2","2"
"400","200","204","4","30003","3","0","バトルポイントを累計400pt獲得しよう","2","2"
"500","200","205","4","30004","3","0","バトルポイントを累計500pt獲得しよう","2","2"
"600","200","206","4","30005","3","0","バトルポイントを累計600pt獲得しよう","3","2"
"700","200","207","4","30006","3","0","バトルポイントを累計700pt獲得しよう","3","2"
"800","200","208","4","30007","3","0","バトルポイントを累計800pt獲得しよう","3","2"
"900","200","209","4","30008","3","0","バトルポイントを累計900pt獲得しよう","3","2"
"1000","200","210","4","30009","3","0","バトルポイントを累計1000pt獲得しよう","3","2"
"5","400","401","1","50000","5","0","フブキから5個パーツを獲得しよう","7","4"
"10","400","402","1","50001","5","0","フブキから10個パーツを獲得しよう","7","4"
"15","400","403","1","50002","5","0","フブキから15個パーツを獲得しよう","7","4"
"20","400","404","1","50003","5","0","フブキから20個パーツを獲得しよう","7","4"
"25","400","405","1","50004","5","0","フブキから25個パーツを獲得しよう","7","4"
"30","400","406","1","50005","5","0","フブキから30個パーツを獲得しよう","7","4"
"35","400","407","1","50006","5","0","フブキから35個パーツを獲得しよう","7","4"
"40","400","408","1","50007","5","0","フブキから40個パーツを獲得しよう","7","4"
"45","400","409","1","50008","5","0","フブキから45個パーツを獲得しよう","7","4"
"50","400","700","1","50009","5","0","フブキから50個パーツを獲得しよう","6","4"
"800","209","999","4","60000","6","30009","バトルポイントを800pt獲得しよう（何度でも）","7","2"
"14","300","799","3","70000","7","0","ステージ14をクリアしよう","6","3"
"50","301","800","3","70001","7","0","ステージ50をクリアしよう","8","3"
