bc31f2126dc1f50819f432a84d414c4e7c7635febbc4a0a117116a361649a943,96eb37bac7e6c589499c004e266bf0225bee03fc5b13ba72f19fe8103f3bb10f,7298edbe289cd4c2dea3653233c99815d5a491fcf727202f3df12b829186d807,bf1d62328d1f83907b2e321f30ed63a96e1c923cdb96b99849210a311479ebda,4fa9f65c8df95e3adb26e27541bb6ace02b8e74f899133711529205d5c8848fa,dabd413f3b053d5025e35877907339963e495c36b4f570b5e34ce964e3efe939,db834260196c07a3a09b3370800e3a8f043468331b5ec2c887b905ee0df58cef,206a8daca5eadd599024af6145b7e59c6e70127e67f22af532c6a2eecb0ac92e,cedb4042e265076715dbc53dfa929ae4602b90fa60502584c9548264fdbc8fe8,ac3ebc1e51c25125bdfdea8158ba78f35ee775c5da50b315102a1f381905f600,7e656f5127dadda939d7bb397473268acedf99c5ff6729ac3c58a40c1a313e53,675230fff9553e5d3846523236f4715cc5020d1666e2eb32b54c4cf86c03f9f0
"1","2","vo_10011600_1501","vo_10011600","0","0","15","0","1150001","0","0","0"
"2","1","0","0","0","240","15","0.997402597402597","1150002","1","0","0"
"3","4","0","0","0","0","15","0","1150003","1","1","2.4974025974026"
"4","2","vo_10011600_1502","vo_10011600","0","0","15","0","1150004","0","0","0"
"5","1","0","0","0","180","15","0.748051948051948","1150005","2","0","0"
"6","4","0","0","0","0","15","0","1150006","2","1","0.848051948051948"
"7","2","vo_10011600_1503","vo_10011600","0","0","15","0","1150007","0","0","0"
"8","1","0","0","180","460","15","1.16363636363636","1150008","2","0","0"
"9","4","0","0","0","0","15","0","1150009","2","1","1.96363636363636"
"10","2","vo_10011600_1504","vo_10011600","0","0","15","0","1150010","0","0","0"
"11","1","0","0","0","500","15","2.07792207792208","1150011","3","0","0"
"12","4","0","0","0","0","15","0","1150012","3","1","3.47792207792208"
"13","2","vo_10011600_1505","vo_10011600","0","0","15","0","1150013","0","0","0"
"14","1","0","0","0","300","15","1.24675324675325","1150014","4","0","0"
"15","4","0","0","0","0","15","0","1150015","4","1","2.24675324675325"
"16","2","vo_10011600_1506","vo_10011600","0","0","15","0","1150016","0","0","0"
"17","1","0","0","300","770","15","1.95324675324675","1150017","4","0","0"
"18","4","0","0","0","0","15","0","1150018","4","1","1.95324675324675"
"19","2","vo_10011600_1507","vo_10011600","0","0","15","0","1150019","0","0","0"
"20","1","0","0","0","500","15","2.07792207792208","1150020","5","0","0"
"21","4","0","0","0","0","15","0","1150021","5","1","2.97792207792208"
"22","2","vo_10011600_1508","vo_10011600","0","0","15","0","1150022","0","0","0"
"23","1","0","0","500","770","15","1.12207792207792","1150023","5","0","0"
"24","4","0","0","0","0","15","0","1150024","5","1","2.02207792207792"
"25","2","vo_10011600_1509","vo_10011600","0","0","15","0","1150025","0","0","0"
"26","1","0","0","0","320","15","1.32987012987013","1150026","6","0","0"
"27","4","0","0","0","0","15","0","1150027","6","1","2.57987012987013"
"28","2","vo_10011600_1510","vo_10011600","0","0","15","0","1150028","0","0","0"
"29","1","0","0","320","770","15","1.87012987012987","1150029","6","0","0"
"30","4","0","0","0","0","15","0","1150030","6","1","2.87012987012987"
"31","2","vo_10011600_1511","vo_10011600","0","0","15","0","1150031","0","0","0"
"32","1","0","0","0","375","15","1.55844155844156","1150032","7","0","0"
"33","4","0","0","0","0","15","0","1150033","7","1","1.75844155844156"
"34","2","vo_10011600_1512","vo_10011600","0","0","15","0","1150034","0","0","0"
"35","1","0","0","375","680","15","1.26753246753247","1150035","7","0","0"
"36","4","0","0","0","0","15","0","1150036","7","1","2.51753246753247"
"37","2","vo_10011600_1513","vo_10011600","0","0","15","0","1150037","0","0","0"
"38","1","0","0","0","480","15","1.99480519480519","1150038","8","0","0"
"39","4","0","0","0","0","15","0","1150039","8","1","2.49480519480519"
"40","2","vo_10011600_1514","vo_10011600","0","0","15","0","1150040","0","0","0"
"41","1","0","0","480","730","15","1.03896103896104","1150041","8","0","0"
"42","4","0","0","0","0","15","0","1150042","8","1","2.53896103896104"
"43","1","0","0","0","400","15","0.01","1150043","9","0","0"
"44","4","0","0","0","0","15","0","1150044","9","1","0"
"45","2","vo_10011600_1515","vo_10011600","0","0","15","0","1150045","0","0","0"
"46","1","0","0","400","720","15","1.32987012987013","1150046","9","0","0"
"1","2","vo_10011600_1601","vo_10011600","0","0","16","0","1160001","0","0","0"
"2","1","0","0","0","150","16","0.623376623376623","1160002","1","0","0"
"3","4","0","0","0","0","16","0","1160003","1","1","2.12337662337662"
"4","2","vo_10011600_1602","vo_10011600","0","0","16","0","1160004","0","0","0"
"5","1","0","0","0","700","16","3.63636363636364","1160005","2","0","0"
"6","4","0","0","0","0","16","0","1160006","2","1","5.13636363636364"
"7","2","vo_10011600_1603","vo_10011600","0","0","16","0","1160007","0","0","0"
"8","1","0","0","0","285","16","1.18441558441558","1160008","3","0","0"
"9","4","0","0","0","0","16","0","1160009","3","1","2.18441558441558"
"10","2","vo_10011600_1604","vo_10011600","0","0","16","0","1160010","0","0","0"
"11","1","0","0","285","370","16","0.353246753246753","1160011","3","0","0"
"12","4","0","0","0","0","16","0","1160012","3","1","0.553246753246753"
"13","2","vo_10011600_1605","vo_10011600","0","0","16","0","1160013","0","0","0"
"14","1","0","0","370","635","16","1.1012987012987","1160014","3","0","0"
"15","4","0","0","0","0","16","0","1160015","3","1","1.1012987012987"
"16","1","0","0","0","470","16","1.95324675324675","1160016","4","0","0"
"17","4","0","0","0","0","16","0","1160017","4","1","2.45324675324675"
"18","2","vo_10011600_1606","vo_10011600","0","0","16","0","1160018","0","0","0"
"19","1","0","0","470","660","16","0.78961038961039","1160019","4","0","0"
"20","4","0","0","0","0","16","0","1160020","4","1","1.78961038961039"
"21","2","vo_10011600_1607","vo_10011600","0","0","16","0","1160021","0","0","0"
"22","1","0","0","0","480","16","1.99480519480519","1160022","5","0","0"
"23","4","0","0","0","0","16","0","1160023","5","1","2.99480519480519"
"24","2","vo_10011600_1608","vo_10011600","0","0","16","0","1160024","0","0","0"
"25","1","0","0","480","660","16","0.748051948051948","1160025","5","0","0"
"26","4","0","0","0","0","16","0","1160026","5","1","1.99805194805195"
"27","2","vo_10011600_1609","vo_10011600","0","0","16","0","1160027","0","0","0"
"28","1","0","0","0","370","16","1.53766233766234","1160028","6","0","0"
"29","4","0","0","0","0","16","0","1160029","6","1","2.13766233766234"
"30","2","vo_10011600_1610","vo_10011600","0","0","16","0","1160030","0","0","0"
"31","1","0","0","370","710","16","1.41298701298701","1160031","6","0","0"
"32","4","0","0","0","0","16","0","1160032","6","1","1.41298701298701"
"33","1","0","0","0","190","16","0.78961038961039","1160033","7","0","0"
