452074e01850bbe9ff6241218d4b375f15a402d9495c7f9200fbe8176568f1c5,53b1b00812753af78283a186b95c731f4709a9964b81c26260f11cba50239d9a,e3d936bb9075d0ba33f8ea97842afee9002be5fca5bbd230db611b0ff52e840e,a1c2f171667fa2732dd827c6d874e87630275fe81a95fa890fca02198420dcfe,7694bf2618b22da5558650e8761200638af64d62ee30f060d4e534ed520e8f74,53fead860533d0ee622aedbc55f615ec11ed91d7661973e05e93b63cda94b4c0,b1959a174c2b7c22e52596093554b7a6acdcc8f3ea05a5fab649fc0770ea0620,97a1c5d3b06dc08df62854f42f4665c8d4ddb8b5ae0ae5c033aec53f6baa79cb,f42b33992acc47b93739244d9fe5d0202f4536dbd5b859e207b020dc2a761fae,6de89e1ce48e3259a84ffad781f5f8efb7124c3059dcecb496dd2b556c35490a,26260a3a0f2523bba8e92fdbe6da4f9c18c62eb6bcec4c6fb1b3731cebb8fb45
"284001001","1","2","8","8","2","25021","91002","25014","31","10"
"284001002","2","2","8","8","2","25021","91002","25014","31","10"
"284001003","3","2","8","8","2","25021","91002","25014","32","10"
"284001004","4","2","8","8","2","25021","91002","25014","32","10"
"284001005","5","2","8","8","2","25021","91002","25014","33","10"
"284001006","6","2","9","8","2","25021","91002","25014","33","10"
"284001007","7","2","9","8","2","25021","91002","25014","34","10"
"284001008","8","2","9","8","2","25021","91002","25014","35","10"
"284001009","9","2","9","8","2","25021","91002","25014","35","10"
"284001010","10","2","10","8","2","25021","91002","25014","37","30"
"284001011","11","2","10","8","2","25021","91002","25014","41","10"
"284001012","12","2","11","8","2","25021","91002","25014","43","10"
"284001013","13","2","11","8","2","25021","91002","25014","46","10"
"284001014","14","2","12","8","2","25021","91002","25014","48","10"
"284001015","15","2","12","8","2","25021","91002","25014","50","10"
"284001016","16","2","13","8","2","25021","91002","25014","53","10"
"284001017","17","2","14","8","2","25021","91002","25014","55","10"
"284001018","18","2","14","8","2","25021","91002","25014","58","10"
"284001019","19","2","15","8","2","25021","91002","25014","60","10"
"284001020","20","2","15","8","2","25021","91002","25014","62","30"
"284001021","21","2","16","8","2","25021","91002","25014","68","10"
"284001022","22","2","16","8","2","25021","91002","25014","70","10"
"284001023","23","2","16","8","2","25021","91002","25014","72","10"
"284001024","24","2","17","8","2","25021","91002","25014","75","10"
"284001025","25","2","18","8","2","25021","91002","25014","77","10"
"284001026","26","2","18","8","2","25021","91002","25014","79","10"
"284001027","27","2","19","8","2","25021","91002","25014","82","10"
"284001028","28","2","19","8","2","25021","91002","25014","84","10"
"284001029","29","2","19","8","2","25021","91002","25014","86","10"
"284001030","30","2","20","8","2","25021","91002","25014","89","30"
"284001031","31","2","20","8","2","25021","91002","25014","94","10"
"284001032","32","2","21","8","2","25021","91002","25014","96","10"
"284001033","33","2","21","8","2","25021","91002","25014","99","10"
"284001034","34","2","22","8","2","25021","91002","25014","101","10"
"284001035","35","2","22","8","2","25021","91002","25014","103","10"
"284001036","36","2","23","8","2","25021","91002","25014","106","10"
"284001037","37","2","23","8","2","25021","91002","25014","108","10"
"284001038","38","2","24","8","2","25021","91002","25014","111","10"
"284001039","39","2","25","8","2","25021","91002","25014","113","10"
"284001040","40","2","25","8","2","25021","91002","25014","115","30"
"284001041","41","2","26","8","2","25021","91002","25014","121","10"
"284001042","42","2","27","8","2","25021","91002","25014","123","10"
"284001043","43","2","28","8","2","25021","91002","25014","125","10"
"284001044","44","2","28","8","2","25021","91002","25014","128","10"
"284001045","45","2","29","8","2","25021","91002","25014","130","10"
"284001046","46","2","30","8","2","25021","91002","25014","132","10"
"284001047","47","2","30","8","2","25021","91002","25014","135","10"
"284001048","48","2","31","8","2","25021","91002","25014","137","10"
"284001049","49","2","31","8","2","25021","91002","25014","139","10"
"284001050","50","2","31","8","2","25021","91002","25014","142","30"
