e1173140666ab4341a7e4dcd88d0afb995f5d57ab0d68013f20a2aa640783800,6f17c43a73856cfde5755959455d28faecec52ed2caf7a04d4f87d4a41231932,506a014c467eb577533431feffffac082c171d39e69537ad1322b5279a4c9b6c,3906457b0af11317ddebf0b956aada169c04ce549884531fdbd112a49efdfe33,0146c5cdfd868357584d44c4b9306de16edd8946f79808203506e09236c4b6e3,badd0e266078312416d139541bd1f208354ef703eeb2b18ec462b19d34b406a7,60cba4fe2631fd990276d485b0dffe4afa507c1545285b871e728526a56c3c26,170af15999329c0c8b5eac2e5caa527ba2e476a0ab50b9848eeddf974797b626
"0","【料理】ダイスが2個に増える","1","52001","0","1","1","1"
"0","【料理】ダイスの目が必ず「1」になる","1","52002","0","1","1","2"
"0","【料理】次のターン数のカウントをスキップする","1","52002","0","2","3","3"
"0","【料理】ダイスの目が必ず「4」になる","1","52004","0","1","1","4"
"0","【料理】ダイスの目が\n「4・5・6」のみになる","1","52006","0","1","1","5"
"0","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","1","52007","0","1","1","6"
"0","【料理】ダイスの目が必ず「5」になる","1","52003","0","1","1","7"
"0","【料理】マイルマスの獲得マイルが200%アップする","1","52008","0","7","2","8"
"0","【イベント】次のターン数のカウントをスキップする","2","4","0","2","3","9"
"0","【イベント】マイルマスの獲得マイルが100%アップする","2","5","0","3","2","10"
"0","【イベント】ミニゲームの獲得マイルが100%アップする","2","6","0","5","2","11"
"0","【イベント】マイルショップの全商品が20%以上割引される","2","7","0","4","3","12"
"0","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","1","52009","0","1","1","13"
"0","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","1","52010","0","6","2","14"
"0","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","1","52011","0","1","1","15"
"0","【料理】ダイスの目が\n「1・2・3」のみになる","1","52012","0","1","1","16"
"0","【料理】次のターン数のカウントをスキップする","1","52012","0","2","3","17"
"0","【料理】移動時にマイルマスをスキップできる","1","52014","0","8","1","18"
"0","【料理】次回移動時に1マス分多く進める","1","52005","0","1","1","19"
"2","【料理】次回移動時に1マス分多く進める","1","52014","2","1","1","20"
"0","【料理】ダイスが2個に増える","1","52015","0","1","1","21"
"0","【料理】次回移動時に1マス分多く進める","1","52015","0","1","1","22"
"0","【料理】ダイスの目が必ず「6」になる","1","52016","0","1","1","23"
"0","【料理】移動系カテゴリーの料理が食べられなくなる","1","52017","0","9","1","24"
"0","【料理】ダイスの目が必ず「3」になる","1","52018","0","1","1","25"
"0","【料理】ダイスの目が必ず「8」になる","1","52019","0","1","1","26"
