649dd81cee2923eb66aba1fcb2e4b7c329bc2b9ae3f06aa096d83623221687fe,b981ff0f48f907ec8b16797a4dab4b694e5cc5aa985e15384b8a7a20382de1c1,99039711c0a81005d9944e5d5e10f57110578e42978a7d8724611c422af45b8c,c1020a5fe85ba9b60f660b70de72b7af2011e02fb30dd0512305721a2ac742df,16c607ed86cc6155f7d7e84a0b5d3845afaaf076a4590d6a05048ea332c394b6,12534b39550b2a03564a739526cd2cfddb3c215907c4afda3e68c27c79b7c8f6,b8325bb1e713263a48d503fe8b6a1555934bfc624885f682b8ef2ff2f2e818c8,1237b12f43898bc23a629a265f2c34703fe9544cbd9055fa9e113c0ccb154f2e,d8d773ad5f3dbea790dbb69b2e9e0e001b9fc3ba624e00f8ee2b1936d517201c,ef2133aad297e8a2def4c52f086a5507520da3bd35fb7a9bfb714560ebc44e61,97c9fa08779841f8d819880bb8730c2d91374fa795c8dd36259d258749bfe407
"72","1","1.65","118511","-194","100","taq_karin_idle","1001","1","1","1"
"0","vo_minigame_1009","","vo_minigame_1009_top_001","","0","","1002","1","","21"
"0","118511","0","賞品も用意して\nいますので頑張って\nくださいね♪","0","8","0","1003","1","0","11"
"","118511","0.2","taq_karin_talk_normal","","1","","1004","1","","3"
"","1003","","","","","","1005","1","","91"
"","118511","0.2","taq_karin_idle","","1","","1006","1","","3"
"72","1","1.65","118511","-194","100","taq_karin_idle","2001","2","1","1"
"0","vo_minigame_1009","","vo_minigame_1009_top_002","","0","","2002","2","","21"
"0","118511","0","みなさんの知識が\n試されますよ","0","8","0","2003","2","0","11"
"","118511","0.2","taq_karin_talk_thinking","","1","","2004","2","","3"
"","2003","","","","","","2005","2","","91"
"","118511","0.2","taq_karin_idle","","1","","2006","2","","3"
"72","1","1.65","118511","-194","100","taq_karin_idle","3001","3","1","1"
"0","vo_minigame_1009","","vo_minigame_1009_top_003","","0","","3002","3","","21"
"0","118511","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","0","8","0","3003","3","0","11"
"","118511","0.2","taq_karin_talk_surprise","","1","","3004","3","","3"
"","3003","","","","","","3005","3","","91"
"","118511","0.2","taq_karin_idle","","1","","3006","3","","3"
"72","1","1.65","118511","-194","100","taq_karin_idle","4001","4","1","1"
"0","vo_minigame_1009","","vo_minigame_1009_top_004","","0","","4002","4","","21"
"0","118511","0","わからないときは\n勘に頼ってみても\nいいと思います","0","8","0","4003","4","0","11"
"","118511","0.2","taq_karin_talk_normal2","","1","","4004","4","","3"
"","4003","","","","","","4005","4","","91"
"","118511","0.2","taq_karin_idle","","1","","4006","4","","3"
"72","1","1.65","118511","-194","100","taq_karin_idle","5001","5","1","1"
"0","vo_minigame_1009","","vo_minigame_1009_top_005","","0","","5002","5","","21"
"0","118511","0","仲よく協力して\n全問正解を\n目指してくださいね♪","0","7","0","5003","5","0","11"
"","118511","0.2","taq_karin_talk_joy3","","1","","5004","5","","3"
"","5003","","","","","","5005","5","","91"
"","118511","0.2","taq_karin_idle","","1","","5006","5","","3"
