2e736e30de9508439d8ae6c0cea3c724b6755384372fe697597022202335f0a8,60e0b88fb5f213940078fe446c92984eb5d272793add93321d7c3042452e3550,e0026c0fd8bf742f383f48ae9944cb39c645ec0c4e53bc9c5a48d6cb54bf32f9,be1ef0c892151bfe6b3aa0849f97ecd7166ede43764ccb42ae0da247c8162996,41c68a827da4d3337ebc8f4b3a12263048212c8e87b8f631a66b2e366088cc48,45d472c13e89a8ac31ba98398079d1f45dd9e1e1ea4b99e9685c5abb5073ec06,ad4b42976655b146af22d95b3fa4fad9c240214d05315f020e98aa02f0a51116,fc374fa7924919b9d6a8d1d51cbbc7251e0eaf107cd91d0fc4c7443682690dba,b81f1cd3e6bdf9667938b45b1317ddc3ee3305e1e91c2c5f21c34cc8018e146b,e872527e61de0fa2d03d4a17e21f14dd75099ab04fa895dac98f56b168df6d03,43d8efc36cbaa9af5713a343735f0838018d4ca377d69d3fe67199d41c5ed566
"1001","-194","sjr_talk_idle","1","100","122611","1","1.65","40","1","1"
"1002","","","3","1","sjr_talk_wish_look","122611","0.2","","1",""
"1003","","","21","0","vo_minigame_1010_top_talk_1_001","vo_minigame_1010","","0","1",""
"1004","0","1","11","10","騎士クン…見ててね\nわたし、頑張って\n走るから…！","122611","0","1","1","0"
"1005","","","91","","","0","","","1",""
"1006","","","3","1","sjr_talk_idle","122611","0.2","","1",""
"2001","-194","sjr_talk_idle","1","100","122611","1","1.65","40","2","1"
"2002","","","3","1","sjr_talk_mouth_hidden_shy","122611","0.2","","2",""
"2003","","","21","0","vo_minigame_1010_top_talk_1_002","vo_minigame_1010","","0","2",""
"2004","0","1","11","7","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","122611","0","1","2","0"
"2005","","","91","","","0","","","2",""
"2006","","","3","1","sjr_talk_idle","122611","0.2","","2",""
"3001","-194","sjr_talk_idle","1","100","122611","1","1.65","40","3","1"
"3002","1","","3","0","sjr_talk_stepback_surprise_worry","122611","0.2","sjr_talk_stepback_worry","3","0"
"3003","","","21","0","vo_minigame_1010_top_talk_1_003","vo_minigame_1010","","0","3",""
"3004","0","1","11","8","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","122611","0","1","3","0"
"3005","","","91","","","0","","","3",""
"3006","","","3","1","sjr_talk_idle","122611","0.2","","3",""
"4001","-194","sjr_talk_idle","1","100","122611","1","1.65","40","4","1"
"4002","","","3","1","sjr_talk_thinking_surprise","122611","0.2","","4",""
"4003","","","21","0","vo_minigame_1010_top_talk_1_004","vo_minigame_1010","","0","4",""
"4004","0","1","11","6","変わったコースが\nいっぱいあるね\nどれに出ようかな…","122611","0","1","4","0"
"4005","","","91","","","0","","","4",""
"4006","","","3","1","sjr_talk_idle","122611","0.2","","4",""
"5001","-194","sjr_talk_idle","1","100","122611","1","1.65","40","5","1"
"5002","1","","3","0","sjr_talk_guts2_anger","122611","0.2","sjr_talk_guts2_anger_loop","5","0"
"5003","","","21","0","vo_minigame_1010_top_talk_1_005","vo_minigame_1010","","0","5",""
"5004","0","1","11","7","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","122611","0","1","5","0"
"5005","","","91","","","0","","","5",""
"5006","","","3","1","sjr_talk_idle","122611","0.2","","5",""
"6001","-194","sjr_talk_idle","1","100","122511","1","1.65","40","6","1"
"6002","1","","3","0","sjr_talk_arm_crossed_joy_look","122511","0.2","sjr_talk_arm_crossed_look_loop","6","0"
"6003","","","21","0","vo_minigame_1010_top_talk_1_006","vo_minigame_1010","","0","6",""
"6004","0","1","11","6","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","122511","0","1","6","0"
"6005","","","91","","","0","","","6",""
"6006","","","3","1","sjr_talk_idle","122511","0.2","","6",""
"7001","-194","sjr_talk_idle","1","100","122511","1","1.65","40","7","1"
"7002","","","3","1","sjr_talk_mouth_hidden2_shy","122511","0.2","","7",""
"7003","","","21","0","vo_minigame_1010_top_talk_1_007","vo_minigame_1010","","0","7",""
"7004","0","1","11","6","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","122511","0","1","7","0"
"7005","","","91","","","0","","","7",""
"7006","","","3","1","sjr_talk_idle","122511","0.2","","7",""
"8001","-194","sjr_talk_idle","1","100","122511","1","1.65","40","8","1"
"8002","","","3","1","sjr_talk_mouth_hidden","122511","0.2","","8",""
"8003","","","21","0","vo_minigame_1010_top_talk_1_008","vo_minigame_1010","","0","8",""
"8004","0","1","11","6","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","122511","0","1","8","0"
"8005","","","91","","","0","","","8",""
"8006","","","3","1","sjr_talk_idle","122511","0.2","","8",""
"9001","-194","sjr_talk_idle","1","100","122511","1","1.65","40","9","1"
"9002","","","3","1","sjr_talk_stepback_surprise","122511","0.2","","9",""
"9003","","","21","0","vo_minigame_1010_top_talk_1_009","vo_minigame_1010","","0","9",""
"9004","0","1","11","6","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","122511","0","1","9","0"
"9005","","","91","","","0","","","9",""
"9006","","","3","1","sjr_talk_idle","122511","0.2","","9",""
"10001","-194","sjr_talk_idle","1","100","122511","1","1.65","40","10","1"
"10002","","","3","1","sjr_talk_thinking_blink","122511","0.2","","10",""
"10003","","","21","0","vo_minigame_1010_top_talk_1_010","vo_minigame_1010","","0","10",""
"10004","0","1","11","5","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","122511","0","1","10","0"
"10005","","","91","","","0","","","10",""
"10006","","","3","1","sjr_talk_idle","122511","0.2","","10",""
"11001","-194","sjr_talk_idle","1","100","122411","1","1.65","40","11","1"
"11002","1","","3","0","sjr_talk_eieio","122411","0.2","sjr_talk_eieio_loop","11","0"
"11003","","","21","0","vo_minigame_1010_top_talk_1_011","vo_minigame_1010","","0","11",""
"11004","0","1","11","6","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","122411","0","1","11","0"
"11005","","","91","","","0","","","11",""
"11006","","","3","1","sjr_talk_idle","122411","0.2","","11",""
"12001","-194","sjr_talk_idle","1","100","122411","1","1.65","40","12","1"
"12002","","","3","1","sjr_talk_arm_opened_wink","122411","0.2","","12",""
"12003","","","21","0","vo_minigame_1010_top_talk_1_012","vo_minigame_1010","","0","12",""
"12004","0","1","11","6","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","122411","0","1","12","0"
"12005","","","91","","","0","","","12",""
"12006","","","3","1","sjr_talk_idle","122411","0.2","","12",""
"13001","-194","sjr_talk_idle","1","100","122411","1","1.65","40","13","1"
"13002","1","","3","0","sjr_talk_doya","122411","0.2","sjr_talk_doya_loop","13","0"
