f5bf21730f49783091f8420ace40a650f2e0235620bf5afc116eebaaf2e9334b,76d18c62c9ff233def56900bd1cd9fd4112caa8d2aa9786ed48cf08786d7c91d,3c55e042d8553540ac873ce88fb8bf9861a156d5c906c7b369c08366258caa66,451a8a78eee65637e070d212126690b5493a17f23c190d54606b0e49f753b0df,e2128ca8f027871605375a40283d804c8516b6a49e66a02c07cb4f7b349c7e6e,6bbde61ae620e1cb2c3da604998eb93b347f585c357759d369ebf512d9596937,51051871d4be2bff359cdc27f1aab96c743bf56312b9a1aaa8328d6bc97dbee5,05b10989f62025a4c7fb7c8da0dcca41f87b4539a8c58dea566a6b0e961fde03,174fd910591f7606ccd694e9cbde83bc447963e349b720360f6a13989577a7ec,64e33be743d23624ea546501d607966d18385cbc9152e79351dee7f6be20476c,15fe1e7121699a9e1810750d4fe2dce435c369c1ca3e9595af6323b40827adf9,f51827ae016c5fce052a9078420ef7c581db5cac7a3366dafb11cc6661ac0293,131c575a61be3b9a6844346bd5ac3d1bcc31def2935a6ffef9163cc8d714d960,35972eafab9315834d0b35ae417fb1f36444fcde0fe2ed07071387b9fdcecd59,dc738c13afb308e434e0c7ee5170d3fff5b25b7d044c84dfca1ecc64fe18b872,9272d4314443f330b39b06d6897353dbcbb40cec5e463fde0c8017a2c88ded7c
"8","0","40","0","0","40","91002","0","0","2","22002","0","90006","2","1","1001101"
"8","0","50","0","0","60","91002","0","0","2","22002","0","90006","2","2","1001102"
"8","0","60","0","0","80","91002","0","0","2","22002","0","90006","2","3","1001103"
"8","0","80","0","0","100","91002","0","0","2","22002","0","90006","2","4","1001104"
"8","0","150","0","0","200","91002","0","0","2","22003","0","90006","2","2","1001105"
"2","0","1","0","0","20","90006","0","0","2","0","0","22002","0","0","1001106"
"2","0","1","0","0","20","90006","0","0","2","0","0","22002","0","0","1001107"
"2","0","1","0","0","20","90006","0","0","2","0","0","22002","0","0","1001108"
"2","0","1","0","0","20","90006","0","0","2","0","0","22002","0","0","1001109"
"2","0","1","0","0","20","90006","0","0","2","0","0","22003","0","0","1001110"
"8","0","40","0","0","40","91002","0","0","2","22002","0","90006","2","1","1002101"
"8","0","50","0","0","60","91002","0","0","2","22002","0","90006","2","2","1002102"
"8","0","60","0","0","80","91002","0","0","2","22002","0","90006","2","3","1002103"
"8","0","80","0","0","100","91002","0","0","2","22002","0","90006","2","4","1002104"
"8","0","150","0","0","200","91002","0","0","2","22003","0","90006","2","2","1002105"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1002106"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1002107"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1002108"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1002109"
"2","0","1","0","0","40","90006","0","0","2","0","0","22003","0","0","1002110"
"8","0","40","0","0","40","91002","0","0","2","22002","0","90006","2","1","1003101"
"8","0","50","0","0","60","91002","0","0","2","22002","0","90006","2","2","1003102"
"8","0","60","0","0","80","91002","0","0","2","22002","0","90006","2","3","1003103"
"8","0","80","0","0","100","91002","0","0","2","22002","0","90006","2","4","1003104"
"8","0","150","0","0","200","91002","0","0","2","22003","0","90006","2","2","1003105"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1003106"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1003107"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1003108"
"2","0","1","0","0","40","90006","0","0","2","0","0","22002","0","0","1003109"
