dfda1868050c8b77599a7fb64c20c2a4e545ebc121ce672bd991de3e634528dc,44eab9074e9fe95e4485e49b846d4e99f624acb573d4203a3d7697da988e1aab,d42a8b910365b5572b771d47f65ecf6c4bb8ccb99e4a0f5071a019bf46890c71,2575d4be18ff6f7ddc65dda9354b6cf6f65b1aeec2d978413b0a7d6488cf148b,627908ffadee22a936e0460b327eb60dfa33e5cae84cafe9e905141c3951f5d5,5f987e6eb503a5e2538ba28774945ba872d338fe5a4fa86238ce3a26f59bcc1b,3a30d8bb12dbaaed59b1aecec109f1de168167aa6e362879d0cd8ad10d03e3a6,a62a63cbaedc9dc8bdff09dca793aa684edd2ac0ed708d6afb57d04574ff51a5,8c74aed6075aab0a127a2217db4cf6ff151b2c2e2ecfc1b113bc8c6e63038cab,5a49049b24c3f1bc4ff8b669dea5f4de20ae6bb8e7e26bb536aae2f4e29bfc07
"10001","0","0","2019/02/15 14:59:59","0","0","0","0","0","2018/01/01 15:00:00"
"10002","1","0","2019/02/28 11:59:59","0","1001","1001","1001","1","2019/02/15 15:00:00"
"10003","1","0","2020/02/15 14:59:59","0","0","0","1001","1","2019/02/28 12:00:00"
"10004","1","1002","2020/02/29 11:59:59","0","1002","1002","1001","1","2020/02/15 15:00:00"
"10005","2","1002","2020/02/29 11:59:59","2015009","1002","1002","1002","2","2020/02/15 15:00:00"
"10006","1","0","2020/08/15 14:59:59","0","0","0","1001","1","2020/02/29 12:00:00"
"10007","2","0","2020/08/15 14:59:59","2015009","0","0","1002","2","2020/02/29 12:00:00"
"10008","1","1003","2020/08/31 11:59:59","0","0","0","1001","1","2020/08/15 15:00:00"
"10009","2","1003","2020/08/31 11:59:59","2015009","0","0","1002","2","2020/08/15 15:00:00"
"10010","1","0","2021/02/15 14:59:59","0","0","0","1001","1","2020/08/31 12:00:00"
"10011","2","0","2021/02/15 14:59:59","2015009","0","0","1002","2","2020/08/31 12:00:00"
"10012","1","1004","2021/02/28 11:59:59","0","1003","1003","1001","1","2021/02/15 15:00:00"
"10013","2","1004","2021/02/28 11:59:59","2015009","1003","1003","1002","2","2021/02/15 15:00:00"
"10014","1","0","2021/08/15 14:59:59","0","0","0","1001","1","2021/02/28 12:00:00"
"10015","2","0","2021/08/15 14:59:59","2015009","0","0","1002","2","2021/02/28 12:00:00"
"10016","1","1005","2021/08/31 11:59:59","0","0","0","1001","1","2021/08/15 15:00:00"
"10017","2","1005","2021/08/31 11:59:59","2015009","0","0","1002","2","2021/08/15 15:00:00"
"10018","1","0","2030/02/15 14:59:59","0","0","0","1001","1","2021/08/31 12:00:00"
"10019","2","0","2030/02/15 14:59:59","2015009","0","0","1002","2","2021/08/31 12:00:00"
"10020","1","1006","2022/02/28 11:59:59","0","1004","1004","1001","1","2022/02/15 15:00:00"
"10021","2","1006","2022/02/28 11:59:59","2015009","1004","1004","1002","2","2022/02/15 15:00:00"
