84ed99e2cc009e8a7005e46ba3f6692c8520b45b60198045fc3ac55dd976f86f,23d6d0bd4d1724c9ebffbca11af12144e70abb5f81d90c11fa60b6a0750f4c5c,b5d57949c6a7825289edc4d1419df35bf998bdca8cb9bd44678cbad753a93c1c,0831dfeeb86191558ebd0401f4c7249ea7660dccd48301485e69f04469d40807,93c19cec02a724b2e2361ccfaabd1c1de298de5a85b8276d20af4374ed557d72,09208b611987e33194a7bd0a4b856ba91e9fae1ace12e48b7c641110bbd24e82,c33ccda94f4890e75d745fb371cc27d875ae7546d2ab308d09601aae02f6ff71,9983e0a669e94aa0838e91a4a133e4ff47f4c491210633f8c593d370010fd394,ff9cb923a72313303a34f0203cf504feea610851feb679057f7d080a47e66f17
"1","10","90043","12000","90001","30000","0","10000","1"
"2","20","90047","24000","90002","30000","0","10000","2"
"3","20","90047","24000","90002","30000","0","10000","3"
"4","20","90047","24000","90002","30000","0","10000","4"
"5","20","90047","24000","90002","30000","0","10000","5"
"6","20","90047","24000","90002","30000","0","10000","6"
"7","20","90047","24000","90002","30000","0","10000","7"
"8","20","90047","24000","90002","30000","0","10000","8"
"9","20","90047","24000","90002","30000","0","10000","9"
"10","20","90047","24000","90002","30000","0","10000","10"
"11","40","90051","48000","90003","30000","90011","10000","11"
"12","40","90051","48000","90003","30000","90011","10000","12"
"13","40","90051","48000","90003","30000","90011","10000","13"
"14","40","90051","48000","90003","30000","90011","10000","14"
"15","40","90051","48000","90003","30000","90011","10000","15"
"16","40","90051","48000","90003","30000","90011","10000","16"
"17","40","90051","48000","90003","30000","90011","10000","17"
"18","40","90051","48000","90003","30000","90011","10000","18"
"19","40","90051","48000","90003","30000","90011","10000","19"
"20","40","90051","48000","90003","30000","90011","10000","20"
"21","60","90055","72000","90004","30000","90015","10000","21"
"22","60","90055","72000","90004","30000","90015","10000","22"
"23","60","90055","72000","90004","30000","90015","10000","23"
"24","60","90055","72000","90004","30000","90015","10000","24"
"25","60","90055","72000","90004","30000","90015","10000","25"
"26","60","90055","72000","90004","30000","90015","10000","26"
"27","60","90055","72000","90004","30000","90015","10000","27"
"28","60","90055","72000","90004","30000","90015","10000","28"
"29","60","90055","72000","90004","30000","90015","10000","29"
"30","60","90055","72000","90004","30000","90015","10000","30"
"31","80","90059","96000","90005","30000","90015","10000","31"
"32","80","90059","96000","90005","30000","90015","10000","32"
"33","80","90059","96000","90005","30000","90015","10000","33"
"34","80","90059","96000","90005","30000","90015","10000","34"
"35","80","90059","96000","90005","30000","90015","10000","35"
"36","80","90059","96000","90005","30000","90015","10000","36"
"37","80","90059","96000","90005","30000","90015","10000","37"
"38","80","90059","96000","90005","30000","90015","10000","38"
"39","80","90059","96000","90005","30000","90015","10000","39"
"40","80","90059","96000","90005","30000","90015","10000","40"
"41","120","90063","144000","90005","30000","90017","10000","41"
"42","120","90063","144000","90005","30000","90017","10000","42"
"43","120","90063","144000","90005","30000","90017","10000","43"
"44","120","90063","144000","90005","30000","90017","10000","44"
"45","120","90063","144000","90005","30000","90017","10000","45"
"46","120","90063","144000","90005","30000","90017","10000","46"
"47","120","90063","144000","90005","30000","90017","10000","47"
"48","120","90063","144000","90005","30000","90017","10000","48"
"49","120","90063","144000","90005","30000","90017","10000","49"
"50","120","90063","144000","90005","30000","90017","10000","50"
"51","150","90067","180000","90006","30000","90019","10000","51"
"52","150","90067","180000","90006","30000","90019","10000","52"
"53","150","90067","180000","90006","30000","90019","10000","53"
"54","150","90067","180000","90006","30000","90019","10000","54"
"55","150","90067","180000","90006","30000","90019","10000","55"
"56","150","90067","180000","90006","30000","90019","10000","56"
"57","150","90067","180000","90006","30000","90019","10000","57"
"58","150","90067","180000","90006","30000","90019","10000","58"
"59","150","90067","180000","90006","30000","90019","10000","59"
"60","150","90067","180000","90006","30000","90019","10000","60"
"61","180","90071","216000","90007","30000","90021","10000","61"
"62","180","90071","216000","90007","30000","90021","10000","62"
"63","180","90071","216000","90007","30000","90021","10000","63"
"64","180","90071","216000","90007","30000","90021","10000","64"
"65","180","90071","216000","90007","30000","90021","10000","65"
"66","180","90071","216000","90007","30000","90021","10000","66"
"67","180","90071","216000","90007","30000","90021","10000","67"
"68","180","90071","216000","90007","30000","90021","10000","68"
"69","180","90071","216000","90007","30000","90021","10000","69"
"70","180","90071","216000","90007","30000","90021","10000","70"
